,"Arabic"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","يرجى التحقق من البريد الوارد الخاص بك أو مجلد الرسائل غير المرغوب فيها في البريد الإلكتروني. <br/> يحتوي البريد الإلكتروني على رمز التأكيد التي تحتاج إلى إدخاله أدناه"
"An email to reset your password has been sent to your email account.","تم إرسال بريد إلكتروني لإعادة تعيين  كلمة المرور الخاصة بك إلى حساب البريد الإلكتروني الخاص بك."
"Home","الصفحة الرئيسية"
"A new reset code has been sent to your email account.","تم إرسال رمز إعادة تعيين جديد لحساب البريد الإلكتروني الخاص بك."
"Please enter the reset code to create your new password.","الرجاء إدخال رمز إعادة التعيين لإنشاء كلمة المرور الجديدة."
"Send","إرسال"
"Forgot your password?","نسيت كلمة المرور"
"Forgot your picture password?","نسيت كلمة مرور الصورة"
"From your Classmates","من زملاء الدراسة"
"From You","منك"
"FutureEd Online Education Platform"," منصة FutureEd للتعليم عبر الانترنت"
"Gender","الجنس"
"General","عام"
"General Tips","نصائح عامة"
"General Help Requests","طلبات المساعدة العامة"
"Give Tips","إعطاء نصائح"
"Grade|Grades","الدرجة | الدرجات"
"Grade Code","كود الصف"
"Go to link","الذهاب إلى الرابط"
"Go to My Profile","الذهاب إلى ملفي الشخصي"
"Help Request|Help Requests","طلب مساعدة | طلبات المساعدة"
"Help Request Details","تفاصيل طلب اامساعدة"
"Help Request Answers","أجابات طلب المساعدة، "
"Help Request Answer Details","تفاصيل إجابة طلب المساعدة، "
"here","هنا"
"Hi","مرحبا"
"Hi there","مرحباً"
"Highest Score","أعلى درجة"
"I agree on the","أوافق على"
"Image","صورة"
"Image Uploaded...","تم تحميل الصورة..."
"Import","استيراد"
"Inactive","غير نشط"
"Indicates a required field.","تشير إلى حقل مطلوب."
"Instructions","تعليمات"
"IP Address","عنوان أي بي الإنترنت"
"Keys","المفاتيح، "
"Launch","إطلاق"
"Last Name","الكنية"
"Later","في وقت لاحق"
"Learning Style","أسلوب التعلم"
"Learning Style Quiz","اختبار أسلوب التعليم، "
"Let\s get started, ","هيا بنا نبدأ"
"Loading...","جار التحميل..."
"Locked","مغلق"
"Login","تسجيل الدخول"
"Login Credentials","معلومات تسجيل الدخول"
"Forgot your password?","نسيت كلمة المرور، "
"Login to your account","تسجيل الدخول إلى حسابك"
"Logout","خروج"
"You have been logged out due to inactivity. Please login again.","لقد تم تسجيل الخروج بسبب عدم النشاط. يرجى تسجيل الدخول مرة أخرى."
"Logs","السجلات"
"Lowest Score","أدنى درجة"
"Male","ذكر"
"Medals","ميداليات"
"Module|Modules","وحدة | وحدات"
"Module Status","حالة الوحدة"
"My Account","حسابي"
"My Profile","ملفي الشخصي"
"My Reports","تقاريري"
"My Help Requests","طلبات المساعدة الخاصة، "
"Name","الاسم"
"New","جديد"
"New Email Address","بريد الكتورني جديد"
"New Password","كلمة مرور جديدة"
"New Student","طالب جديد"
"Next","التالى"
"No","لا"
"No Available Link","لا يوجد رابط"
"No Answers for Now","لا توجد إجابات الآن"
"No Available Points","لا توجد نقاط متاحة"
"No Available Badges","لا توجد شارات، "
"No Medals Available","لا توجد ميداليات متاحة"
"No available questions for this module.</br>Please contact the system administrator.","لا توجد إجابات متاحة لهذه الوحدة. </ br> الرجاء الاتصال بمسؤول النظام."
"No Modules Found.","لا توجد وحدات، "
"No Content Available","لا يوجد محتوى"
"No Questions Available","لا توجد أسئلة، "
"No records found","لا توجد سجلات"
"No Results...","لا توجد نتائج..."
"Number of Seats","عدد المقاعد"
"No. of seats Enrolled","عدد المقاعد المسجلة، "
"No. of Seats Taken","عدد المقاعد المحجوزة، "
"No signature required.","لا يتطلب توقيع، "
"No Tips for now...","لا توجد نصائح الآن، "
"No Tips Found","لم تم العثور على نصائح، "
"No Help Requests for now...","لا توجد طلبات مساعدة الآن، "
"No Help Request Found","لم تم العثور على طلبات مساعدة، "
"Not yet started","لم يبدأ بعد"
"Not a Student?","ليس طالب"
"Number of Students","عدد الطلاب، "
"On Going","جاري"
"or","أو"
"Other Address Information (Optional)","معلومات العناوين الأخرى (اختياري)"
"Other Requests","طلبات أخرى"
"out of","من"
"Overall School Progress","إجمالي تقدم المدرسة، "
"Paid","تم الدفع، "
"Parent","ولي الأمر، "
"Parents should be the one to register, please click","يجب أن يقوم ولي الأمر بالتسجيل، الرجاء الضغط، "
"Password","كلمة المرور، "
"Password must be at least 8 characters and with at least 1 number.","يجب أن تكون كلمة المرور مكونة من 8 أحرف على الأقل ورقم واحد على الأقل، "
"You may now use your new password to login.","يمكنك الآن استخدام كلمة المرور الجديدة لتسجيل الدخول."
"Your password has been set.","تم تعيين كلمة المرور."
"Pay Subscription","دفع الاشتراك"
"Payment","الدفع، "
"Payment List","قائمة الدفع"
"Payment Management","إدارة الدفع"
"Payment Methods","طرق الدفع"
"Payment Status","حالة الدفع، "
"Pending","معلق، "
"Pending Email","بريد الكتروني معلق، "
"Pending Email Address","بريد الكتروني معلق، "
"Personal Information","المعلومات الشخصية، "
"Picture Password","كلمة مرور الصورة، "
"Pick an Avatar for your Profile","اختر صورة للملف الشخصي، "
"Please Login","الرجاء تسجيل الدخول"
"Please add a classroom.","الرجاء إضافة فصل دراسي، "
"Please select a subject.","الرجاء اختيار المادة، "
"Please select an email or a name of a student.","الرجاء تحديد البريد الإلكتروني أو اسم الطالب."
"Please select a subscription.","الرجاء اختيار الاشتراك."
"Points","النقاط، "
"Post Status","نشر الحالة، "
"Postal Code","الرمز البريدي"
"Posted by","نشر من قبل، "
"Posted Since","نشر منذ، "
"Previous","السابق"
"Principal","مدير المدرسة"
"Price","السعر"
"Print","طباعة"
"Profile","الملف الشخصي"
"Proceed to Dashboard","الذهاب إلى لوحة التحكم، "
"Proceed to Questions","الذهاب إلى الأسئلة، "
"Proceed to next Question","انتقل إلى السؤال التالي"
"Progress","التقدم"
"Question","سؤال"
"Quick","سريع"
"Quick Stats","إحصائيات سريعة"
"Rate","تقييم، "
"Rating","تصنيف"
"Regards","التحيات"
"Register","تسجيل"
"Registration Success","نجاح التسجيل"
"Reject","رفض"
"Rejected","تم الرفض، "
"Remove Invoice","إزالة الفاتورة"
"Remove Student","إزالة الطلاب"
"Renew Subscription","تجديد الاشتراك"
"Review Contents","مراجعة المحتويات"
"You need to review the teaching content.","يجب مراجعة محتوى التدريس"
"Reports","تقارير"
"Report Card","بطاقة تقرير"
"Resend","إعادة إرسال"
"Reset","إعادة تعيين"
"RESET","إعادة تعيين"
"Resume","استئناف، "
"Reset Password","اعادة تعيين كلمة المرور، "
"Reset Password Success","تم تعيين كلمة المرور بنجاح"
"Retrieve Picture Password","استرجاع كلمة مرور الصورة"
"Review Contents","مراجعة المحتويات"
"Rewards","الجوائز، "
"Reward Points","منح النقاط، "
"Reward points to earn","منح النقاط لتكسب، "
"Rate this Answer","قيم هذه الإجابة"
"Role","الدور، "
"Save","حفظ"
"Save Subscription","حفظ الاشتراك"
"Your changes will be saved. Are you sure you want to cancel this subscription?","سيتم حفظ التغييرات. هل أنت متأكد أنك تريد إلغاء هذا الاشتراك"
"Save Status","حفظ الحالة"
"Save Changes","حفظ التغيرات"
"School","المدرسة، "
"School Address","عنوان المدرسة"
"School City","مدينة المدرسة"
"School Contact Information","معلومات اتصال المدرسة، "
"School Information","معلومات المدرسة"
"School Level","مدرسة مستوى"
"School Name","اسم المدرسة"
"School State","دولة المدرسة، "
"Scores","النقاط، "
"Search","بحث"
"Seats Taken","المقاعد المحجوزة، "
"See All Points","مشاهدة جميع النقاط"
"-- Select Answer Status --","اختر حالة الإجابة --، "
"-- Select Class --","اختر الصف --، "
"-- Select Country --","حدد الدولة--، "
"-- Select Difficulty --","حدد الصعوبة --، "
"-- Select Gender --","حدد الجنس --، "
"-- Select Grade --","حدد الدرجة --، "
"-- Select Help Request Status --","حدد حالة طلب المساعدة --"
"-- Select Learning Style --","حدد أسلوب التعلم --"
"-- Select Level --","حدد المستوى --، "
"-- Select Rate --","حدد المعدل --، "
"-- Select Role --","حدد الدور --، "
"-- Select Status --","حدد الحالة --، "
"-- Select Subject --","حدد المادة --، "
"-- Select Subscription --","حدد الاشتراك --، "
"Select a picture for your new picture password","حدد صورة لكلمة مرور الصورة الجديدة، "
"Select a picture to confirm your new picture password","حدد صورة لتأكيد كلمة مرور الصورة الجديدة"
"Sequence Number","رقم التسلسل"
"Sequence No","رقم التسلسل"
"Set New Password","تعيين كلمة المرور الجديدة"
"Set Password","تعيين كلمة المرور"
"Sign in via Facebook","تسجيل الدخول عبر الفيسبوك"
"Sign in with Google","تسجيل الدخول عبر جوجل"
"Sign Up","التسجيل، "
"Skip","تخطى"
"Starting","البدء"
"State","الدولة، "
"Status","الحالة"
"Step 1","الخطوة 1"
"Step 2","الخطوة 2"
"Stop Impersonating","وقف انتحال الشخصية"
"Street Address","عنوان الشارع"
"Struggling","الكفاح، "
"Student","الطالب، "
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","لا يمكن للطلاب بعمر 13 سنة أو أقل التسجيل. الرجاء طلب ذلك من أولي الأمر"
"Student Name","أسم الطالب"
"Student List","قائمة الطلاب"
"Student Login","تسجيل دخول الطالب، "
"Student Report","تقرير الطالب"
"Student Rewards","جوائز الطالب، "
"Student Registration","تسجيل الطالب"
"Student Status","حالة الطالب، "
"Students to watch","الطلاب للمشاهدة"
"Subject","المادة"
"Subject Area","زاوية المواد، "
"Subscription","الاشتراك"
"Submit","إرسال"
"Sub Total","المجموع الفرعي"
"Success!","نجاح!"
"Successfully Changed","تم التغيير بنجاح، "
"Successful Payment","تمت عملية الدفع بنجاح، "
"Successfully added Student","تمت إضافة الطالب بنجاح، "
"Successfully added your help request.","تمت إضافة طلب المساعدة بنجاح، "
"Successfully added your tip.","تمت إضافة النصيحة بنجاح، "
"You have successfully completed the payment process.","تمت عملية الدفع بنجاح، "
"Successfully removed Student","تمت إزالة الطالب بنجاح، "
"Successfully submitted your answer.","تم إرسال الإجابة بنجاح، "
"You have successfully changed your avatar.","تم تغيير الصورة بنجاح، "
"Success! You have added a new tip. Your content is currently being reviewed.","نجاح! لقد قمت بإضافة نصيحة جديدة. ويجري حاليا مراجعة المحتوى الخاص بك."
"Success! You have added a new help request. Your content is currently being reviewed.","نجاح! لقد قمت بإضافة طلب مساعدة جديد. ويجري حاليا مراجعة المحتوى الخاص بك."
"Summary Progress","ملخص التقدم"
"Teacher","المدرس"
"Teacher Comparison Progress","تقدم مقارنة المعلم، "
"Teaching Module Content","محتوى المادة التدريسية، "
"Teacher Management","إدارة المعلم"
"Teacher Invitation","دعوة المعلم"
"Teacher List","قائمة المعلم"
"Terms and Conditions","الأحكام والشروط"
"Test Completed","اكتمل الاختبار"
"Time Remaining","الوقت المتبقي"
"Tips","النصائح، "
"Tip List","قائمة النصائح، "
"Tip Details","تفاصيل النصائح، "
"Tips / Help","نصائح / مساعدة"
"Tips & Help Requests","النصائح وطلبات المساعدة"
"Title","العنوان، "
"To","إلى"
"to register.","للتسجيل."
"Toggle navigation","تبديل التنقل، "
"Total","المجموع، "
"Total # of Seats","إجمالي # المقاعد"
"Total Price","السعر الكلي"
"Type","النوع، "
"Update","تحديث"
"You have successfully updated your profile.","تم تحديث الملف الشخصي بنجاح، "
"Upload CSV file","تحميل ملف CSV"
"USD$","دولار، "
"User","المستخدم، "
,
"Username","اسم المستخدم"
"Username address is available.","عنوان اسم المستخدم متاح."
"Username or Email","اسم المستخدم أو البريد الالكتروني"
"Verify","التحقق، "
"View Client Account Profile","مشاهدة ملف حساب العميل، "
"View Contents","عرض المحتويات"
"View Class Details","عرض تفاصيل الصف، "
"View Image","عرض الصورة"
"View List","عرض القائمة"
"View More","شاهد المزيد"
"View Payment","عرض الدفع"
"View Payment List","عرض قائمة الدفع"
"View Profile","عرض الصفحة الشخصية"
"View Questions","عرض الأسئلة"
"View Student","عرض الطالب"
"Welcome","أهلا بك"
"Wrong.","خاطئ."
"Yes","نعم، "
"You have successfully registered.","تم التسجيل بنجاح، "
"Your Requests","طلباتك"
"Your picture password has been reset.","تم تعيين كلمة مرور الصورة، "
"You may now use your new picture password to login.","يمكنك الآن استخدام كلمة مرور الصورة الجديدة لتسجيل الدخول."
,
,
"Admin Dashboard","لوحة تحكم المشرف، "
,
,
"Enter Code","ادخل الرمز"
"Password Reset","إعادة تعيين كلمة المرور"
,
,
"Forgot Password","نسيت كلمة المرور"
,
,"إضافة المستخدم المسؤول"
"Add Admin User","المشرف المتميز"
"Super Admin",
,
,
"Delete Admin","حذف المشرف، "
"Are you sure you want to delete this admin user?","هل أنت متأكد أنك تريد حذف هذا المستخدم المسؤول"
,
,
"Edit Email Address","تحرير عنوان البريد الإلكتروني"
"New Email Address","عنوان البريد الإلكتروني الجديد"
,
,
"Admin Management","إدارة المشرف، "
"Add Admin","إضافة مشرف، "
"Admin List","قائمة المشرف، "
,
,
"An email has been sent to ","تم إرسال بريد إلكتروني إلى"
"with the password that you have set.","بكلمة المرور التي قمت بتعيينها، "
,
,
"View Admin User","عرض المستخدم المشرف، "
"Edit Admin User","تحرير المسؤول المستخدم"
,
,
"Add Age Group","إضافة الفئة العمرية"
"-- Select Age --","- حدد العمر -"
"Total Points Earned","مجموع النقاط المكتسبة"
,
,
"Edit Age Group","تحرير الفئة العمرية"
,
,
"Age Group List","قائمة المجموعة العمرية، "
"Delete Age Group","حذف الفئة العمرية"
"Are you sure you want to delete this age group?","هل أنت متأكد أنك تريد حذف هذه الفئة العمرية"
,
,
"Client Announcement","إعلان العميل"
"Successfully created this announcement.","تم إنشاء الإعلان بنجاح، "
"Your Message","رسالتك"
,
,
"Add Client","إضافة العميل"
,
,
"Client Details","تفاصيل العميل"
,
,
"Delete Client","حذف العميل"
"Are you sure you want to delete this account?","هل أنت متأكد أنك تريد حذف هذا الحساب"
,
,
"Records Not Inserted","السجلات الغير مدخلة، "
"Registered Users","المستخدمون المسجلون"
"Not Registered","غير مسجل"
,
,
"Client List","قائمة العميل"
"Import Teacher","استيراد المعلم"
,
,
"Add Content","إضافة المحتوى"
"Content Code","كود المحتوى"
"Content Text","نص المحتوى"
"Module Details","تفاصيل الوحدة، "
"Media Type","نوع الوسائط"
"-- Select Media Type --","حدد نوع الوسائط، "
"Teaching Module Name","اسم الوحدة التدريسية، "
"Video Url","رابط الفيديو، "
"Video url should have this format:","يجب أن يحتوي رابط الفيديو على هذه الصيغة، "
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
,
,
"View Content Image","عرض صورة المحتوى"
,
,
"Delete Module Content","حذف محتوى الوحدة، "
"Are you sure you want to delete this content?","هل أنت متأكد أنك تريد حذف هذا المحتوى"
,
,
"Module Content List","قائمة محتوى الوحدة، "
,
,
"Add Grade","إضافة درجة، "
"Grade Name","اسم الدرجة، "
"Grade Code","كود الوحدة، "
"Group","المجموعة، "
"-- Select Age Group --","- اختر الفئة العمرية -"
,
,
"Delete Grade","حذف الدرجة، "
"Are you sure you want to delete this grade?","هل أنت متأكد أنك تريد حذف هذه الدرجة، "
,
,
"Update Grade","تحديث الدرجة، "
,
,
"Grade List","قائمة الدرجة، "
"Grade Management","إدارة الدرجة، "
,
,
"Delete Help Request","حذف طلب المساعدة"
"Are you sure you want to delete this help request?","هل أنت متأكد أنك تريد حذف طلب المساعدة"
"Request Content","محتوى الطلب، "
"Request Details","تفاصيل الطلب، "
"-- Select Type --","حدد النوع --، "
,
,
"Request Status","حالة الطلب"
"Help Request Title","عنوان طلب المساعدة، "
,
,
"Help Request List","قائمة طلب المساعدة، "
,
,
"Delete Help Request Answer","حذف إجابة طلب المساعدة، "
"Are you sure you want to delete this help request answer?","هل أنت متأكد أنك تريد حذف إجابة طلب المساعدة؟، "
,
,
"Answer Content","محتوى الإجابة، "
"Answer Details","تفاصيل الإجابة، "
"Request Answer Status","حالة إجابة الطلب، "
,
,
"Help Answer List","قائمة إجابة المساعدة، "
,
,
"Invoice List","قائمة الفاتورة"
"Invoice Management","إدارة الفاتورة"
"Order Number","رقم الطلب"
"Order #","، طلب "
"-- Select Status --","حدد الحالة --، "
,
,
"Invoice No","رقم الفاتورة"
"Order List","قائمة الطلب، "
"View Invoice","عرض الفاتورة"
,
,
"Back to Class List","العودة إلى قائمة الصف؟ "
"View All Students under this Order","عرض جميع الطلاب تحت هذه الطلب"
,
,
"Administrator Logs","سجلات المدير، "
"Error Logs","سجلات الخطأ، "
"Security Logs","سجلات الأمان"
"System Logs","سجلات النظام"
"Users Logs","سجلات المستخدمين، "
,
,
"Administrator","المدير، "
"Error|Errors","خطأ | أخطاء"
"Users","المستخدمون، "
"Security","الأمان، "
"System","النظام، "
,
,
"API Accessed","الوصول إلى API "
"Info","معلومات"
"Log Details","تفاصيل السجل"
"Page Accessed","الوصول إلى الصفحة، "
"-- Select Response Code --","- حدد رمز الاستجابة -"
"Response Status","حالة الاستجابة، "
"-- Select Admin Type --","حدد نوع المدير--، "
"Admin Type","نوع المدير، "
"Value","القيمة"
,
,
"Download","تحميل"
"Log Files","ملفات السجل"
,
,
"Agent Used","الوكيل المستخدم، "
"HTTP Response","استجابة HTTP"
"Log Type","نوع السجل، "
"-- Select Log Type --","حدد نوع السجل --، "
,
,
"-- Select User Type --","حدد نوع المستخدم --، "
"User Type","نوع المستخدم"
,
,
"Add Module","إضافة وحدة، "
"Common Core Area","المساحة الأساسية المشتركة"
"Common Core URL","رابط المساحة الأساسية المشتركة، "
"Points to Unlock","نقاط لفتح، "
"Points to Finish","نقاط لإنهاء، "
"-- Select Subject --","حدد المادة --، "
,
,
"Delete Module","حذف الوحدة، "
"Are you sure you want to delete this module?","هل أنت متأكد أنك تريد حذف هذه الوحدة"
"Module Management","إدارة الوحدة، "
"Module Name","اسم الوحدة، "
"Module List","قائمة الوحدة، "
,
,
"Contents","المحتويات، "
"Module Content","محتوى الوحدة، "
"Q & A","سـ & جـ، "
"View Image","عرض الصورة"
"View Module","عرض الوحدة"
,
,
"Add Bulk Discount","إضافة خصم السائبة"
"Minimum Seats","أدنى حد للمقاعد، "
"Percentage","النسبة المئوية"
"Percentage List","قائمة النسبة، "
"Update Bulk Discount","تحديث خصم السائبة"
"Age Group","الفئة العمرية"
,
,
"Add Client Discount","إضافة خصم العميل"
"Client Discount List","قائمة خصم العميل"
"Update Client Discount","تحديث خصم العميل"
"Discount Percentage","نسبة الخصم"
,
,
"Add Price","إضافة الأسعار"
"Days","أيام"
"Price List","قائمة الاسعار"
"Update Price","تحديث الأسعار"
"Subscription Name","اسم الاشتراك"
,
,
"Bulk Settings","إعدادات الحجم، "
"Client Discount","خصم العميل"
"Price & Discount","السعر والخصم"
"Price Settings","إعدادات الأسعار"
,
,
"Answer Code","رمز الإجابة، "
"Answer Image","صورة الإجابة، "
"Answer List","قائمة الإجابة، "
"Correct Answer","اجابة صحيحة"
"oordinate","تنسيق، "
"Count","العدد، "
"Delete Answer","حذف الإجابة"
"Are you sure you want to delete this Answer?","هل أنت متأكد أنك تريد حذف هذه الإجابة"
"Field","حقل"
"Field Name","اسم الحقل"
"Label","التسمية"
"Points Equivalent","النقاط متكافئة، "
"-- Select Answer --","حدد الإجابة --، "
"X Axis","محور X"
"Y Axis","محور Y، "
"X Coordinates","تنسيق X، "
"Y Coordinates","تنسيق Y، "
,
,
,
"Points Earned","النقاط المكتسبة"
"Fill in the Blanks","إملأ الفراغات"
"Graph","رسم بياني"
"Horizontal","أفقي"
"Multiple Choice","الاختيار من متعدد"
"Order|Orders","طلب | طلبات"
"Orientation","توجيه"
"Provide","تزويد، "
"Quadrant","رباعي"
"Question Details","تفاصيل السؤال"
"Question Image","صورة السؤال، "
"answer should be comma separated to indicate the order.","يجب أن يكون الجواب مفصول بفاصلة للإشارة إلى الترتيب، "
"required information","معلومات مطلوبة"
"Question Text","نص السؤال"
"Question Type","نوع السؤال"
"-- Select Orientation --","حدد التوجيه --، "
"-- Select Question Type --","حدد نوع السؤال --، "
"Vertical","عمودي"
,
,
"Add Q & A",
"Delete Question","إضافة سـ & جـ، "
"Are you sure you want to delete this question?","هل أنت متأكد أنك تريد حذف هذا السؤال"
"Question List","قائمة السؤال"
,
,
"Delete Image","حذف الصور"
"Are you sure you want to delete this image?","هل أنت متأكد أنك تريد حذف هذه الصورة؟"
,
,
"Delete Student","حذف الطالب، "
"Are you sure you want to delete this account?","هل أنت متأكد أنك تريد حذف هذا الحساب"
,
,
"Date Earned","تاريخ اكتسابها"
"Delete Badge","حذف الشارة، "
"Are you sure you want to delete this Badge?","هل أنت متأكد أنك تريد حذف هذه الشارة"
"Edit Points","تحرير النقاط"
"Edit Badges","تحرير الشارات"
"Event","الحدث، "
,
,
"Manual","دليل، "
"Student Management","إدارة الطالب، "
"Student List","قائمة الطالب، "
,
,
"Badge name","اسم الشارة، "
"Point History","سجل النقاط، "
,
,
"Student Details","تفاصيل الطالب، "
"View Rewards","عرض الجوائز، "
,
,
"Add Subject","إضافة مادة، "
"Subject Code","رمز المادة، "
,
,
"Delete Subject","حذف المادة، "
"Are you sure you want to delete this subject?","هل أنت متأكد أنك تريد حذف هذه المادة، "
,
,
"Add Subject Area","إضافة مساحة المادة، "
"Area Code","رمز المنطقة"
"Subject Name","اسم المادة، "
,
,
"Delete Subject Area","حذف مساحة المادة، "
"Are you sure you want to delete this subject area?","هل أنت متأكد أنك تريد حذف هذا مساحة المادة؟، "
,
,
"Update Subject Area","تحديث مساحة المادة، "
,
,
"Back to Subject","العودة إلى المادة، "
"Subject Area List","قائمة مساحة المادة، "
"Subject Area Management","إدارة مساحة المادة، "
,
,
"Update Subject","تحديث المادة، "
,
,
"Subject List","قائمة المادة، "
"Subject Management","إدارة المادة، "
,
,
"Delete Tip","حذف النصيحة، "
"Are you sure you want to delete this tip?","هل أنت متأكد أنك تريد حذف هذه النصيحة؟، "
,
,
"Rate this tip","تقييم هذه النصيحة، "
"Tip Content","محتوى النصيحة، "
"Tip Details","تفاصيل النصيحة، "
"Tip Status","حالة النصيحة، "
,
,
"Tip List","قائمة النصيحة، "
,
,
"Admin Dashboard","لوحة تحكم المشرف، "
"Invoice","الفاتورة، "
"Manage Admin","إدارة المشرف، "
"Manage Client","إدارة العملاء"
"Manage Student","إدارة الطالب، "
