"DO NOT EDIT","Thai"
"To confirm your new Email Address, follow these steps:","สำหรับการยืนยันที่อยู่อีเมล์ของคุณใหม่โปรดทำตามขั้นตอนเหล่านี้"
"Confirm Your Email Address","ยืนยันที่อยู่อีเมล์ของคุณ"
"Confirm Invitation","ยืนยันคำเชิญ"
"Confirm New Password","ยืนยันรหัสผ่านใหม่"
"Confirm Password","ยืนยันรหัสผ่าน"
"Confirm Registration","ยืนยันการลงทะเบียน"
"Contact Person","ชื่อผู้ติดต่อ"
"Contact Number","เบอร์ติดต่อ"
"Content","เนื้อหา"
"Content Not Available","เนื้อหาที่ไม่สามารถใช้งานได้"
"Country","ประเทศ"
"Correct!","ถูกต้อง!"
"Created By","สร้างโดย"
"Credentials Information","ข้อมูลรับรอง"
"Current","ปัจจุบัน"
"Current Email Address","ที่อยู่อีเมล์ปัจจุบัน"
"Current Learning","ระดับการศึกษาปัจจุบัน"
"Current Password","รหัสผ่านปัจจุบัน"
"Data Privacy Policy","นโยบายความเป็นส่วนตัวของข้อมูล"
"Date","วันที่"
"Date Added","เพิ่มเมื่อวันที่"
"Date Created","วันที่สร้าง"
"Date End","วันที่สิ้นสุด"
"Date of Last Answer","วันที่คำตอบล่าสุด"
"Date Removed","วันที่นำออก"
"Date Start","วันที่เริ่มต้น"
"Date Started","วันที่ได้เริ่มต้น"
"Delete","ลบ"
"Delete Subscription","ลบการสมัครสมาชิก"
"Delete Student","ลบผู้เรียน"
"Delete This Request","ลบคำขอนี้"
"Delete Request","ลบคำขอ"
"Description","คำอธิบาย"
"Detail","รายละเอียด"
"Difficulty","ระดับความยาก"
"Direct Credit to","ส่งเงินไปยัง"
"Disabled","ไม่สามารถใช้การได้"
"Discount","ส่วนลด"
"Displayed At","แสดงที่"
"Download Template","ดาวน์โหลดแบบฟอร์ม"
"Drag the items to reorder.","ลากรายการที่ต้องการอีกครั้ง"
"Edit","แก้ไข"
"Edit Client Account Profile","แก้ไขโปรไฟล์บัญชีผู้รับบริการ"
"Edit Profile","แก้ไขโปรไฟล์"
"Edit Status","แก้ไขสถานะ"
"Edit Student","แก้ไขผู้เรียน"
"Electronic Invoice","ใบแจ้งหนี้อิเล็กทรอนิกส์"
"Email","อีเมล์"
"Email Address","ที่อยู่อีเมล์"
"Email address is available.","ที่อยู่อีเมล์ที่ใช้ได้"
"Email or Username","อีเมล์หรือชื่อผู้ใช้"
"Enter Confirmation Code:","ใส่รหัสยืนยัน"
"Enabled","เปิดใช้งาน"
"Enter Password","ใส่รหัสผ่าน"
"Enter your Password","ใส่รหัสผ่านของคุณ"
"Enter Your Username or Email","ใส่ชื่อผู้ใช้หรืออีเมล์ของคุณ"
"Existing Student","ผู้เรียนที่ใช้บริการปัจจุบัน"
"Exit Module","ออกจากส่วนนี้"
"Export","นำออก"
"Excelling","ยอดเยี่ยม"
"Failed Payment","การชำระเงินล้มเหลว"
"You have failed to complete the payment process.","คุณไม่สามารถดำเนินการชำระเงินให้สมบูรณ์ได้"
"Female","หญิง"
"First Name","ชื่อจริง"
"for Student Site","สำหรับผู้เรียน"
"For Students 13 years old and below","สำหรับผู้เรียนที่มีอายุไม่เกิน 13 ปี"
"for Parent / Teacher / School Site","สำหรับผู้ปกครอง / ครู / โรงเรียน"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","โปรดดูที่กล่องจดหมายหรือจดหมายขยะเพื่อตรวจสอบจดหมายของคุณ <br/> โปรดกรอกอีเมล์ที่ต้องการให้เราส่งรหัสยืนยันที่กล่องด้านล่าง"
"An email to reset your password has been sent to your email account.","อีเมล์สำหรับสร้างรหัสผ่านใหม่ได้ถูกส่งไปยังบัญชีอีเมล์ของคุณ"
"Home","หน้าแรก"
"A new reset code has been sent to your email account.","รีเซ็ตรหัสใหม่ได้รับการส่งไปยังบัญชีอีเมล์ของคุณ"
"Please enter the reset code to create your new password.","กรุณาใส่รหัสรีเซ็ตเพื่อสร้างรหัสผ่านใหม่"
"Send","ส่ง"
"Forgot your password?","ลืมรหัสผ่านหรือไม่?"
"Forgot your picture password?","ลืมรหัสผ่านภาพของคุณ?"
"From your Classmates","จากเพื่อนร่วมชั้นของคุณ"
"From You","จากคุณ"
"FutureEd Online Education Platform","FutureEd การศึกษาออนไลน์"
"Gender","เพศ"
"General","ทั่วไป"
"General Tips","คำแนะนำทั่วไป"
"General Help Requests","การร้องขอความช่วยเหลือทั่วไป"
"Give Tips","ให้คำแนะนำ"
"Grade|Grades","เกรด"
"Grade Code","รหัสเกรด"
"Go to link","ไปยังลิงค์"
"Go to My Profile","ไปที่โปรไฟล์ของฉัน"
"Help Request|Help Requests","ขอความช่วยเหลือ"
"Help Request Details","รายละเอียดการขอความช่วยเหลือ"
"Help Request Answers","คำตอบการขอช่วยเหลือ"
"Help Request Answer Details","รายละเอียดคำตอบการขอความช่วยเหลือ"
"here","ที่นี่"
"Hi","สวัสดี"
"Hi there","สวัสดี"
"Highest Score","คะแนนสูงสุด"
"I agree on the","ฉันเห็นด้วยกับ"
"Image","ภาพ"
"Image Uploaded...","ภาพที่อัพโหลด..."
"Import","นำเข้า"
"Inactive","ยังไม่เปิดใช้งาน"
"Indicates a required field.","แสดงให้เห็นส่วนข้อมูลที่ต้องการ"
"Instructions","คำแนะนำ"
"IP Address","ที่อยู่ IP"
"Keys","รหัส"
"Launch","เปิดใช้งาน"
"Last Name","นามสกุล"
"Later","ต่อมา"
"Learning Style","รูปแบบการเรียนรู้"
"Learning Style Quiz","แบบทดสอบรูปแบบการเรียนรู้"
"Let\s","เริ่ม"
"Loading...","กำลังโหลด..."
"Locked","ล็อค"
"Login","เข้าสู่ระบบ"
"Login Credentials","ข้อมูลประจำตัวเข้าสู่ระบบ"
"Forgot your password?","ลืมรหัสผ่านของคุณ?"
"Login to your account","ลงชื่อเข้าใช้บัญชีของคุณ"
"Logout","ออกจากระบบ"
"You have been logged out due to inactivity. Please login again.","คุณออกจากระบบเนื่องจากไม่มีการใช้งาน กรุณาเข้าสู่ระบบอีกครั้ง"
"Logs","บันทึก"
"Lowest Score","คะแนนต่ำสุด"
"Male","ชาย"
"Medals","เหรียญ"
"Module|Modules","โมดูล"
"Module Status","สถานะโมดูล"
"My Account","บัญชีของฉัน"
"My Profile","โปรไฟล์ของฉัน"
"My Reports","รายงานของฉัน"
"My Help Requests","การร้องขอความช่วยเหลือของฉัน"
"Name","ชื่อ"
"New","ใหม่"
"New Email Address","ที่อยู่อีเมล์ใหม่"
"New Password","รหัสผ่านใหม่"
"New Student","นักศึกษาใหม่"
"Next","ต่อไป"
"No","ไม่มี"
"No Available Link","ไม่มีลิงค์ที่ใช้งานได้"
"No Answers for Now","ไม่มีคำตอบสำหรับตอนนี้"
"No Available Points","ไม่มีคะแนนที่ใช้งานได้"
"No Available Badges","ไม่มีตราที่ใช้งานได้"
"No Medals Available","ไม่มีเหรียญที่ใช้งานได้"
"No available questions for this module.</br>Please contact the system administrator.","ไม่มีคำถามที่ใช้งานได้สำหรับส่วนนี้ </ br> กรุณาติดต่อผู้ดูแลระบบ."
"No Modules Found.","ไม่พบโมดูล"
"No Content Available","ไม่มีเนื้อหาที่ใช้งานได้"
"No Questions Available","ไม่มีคำถามที่ใช้งานได้"
"No records found","ไม่พบบันทึก"
"No Results...","ไม่มีผลลัพธ์..."
"Number of Seats","จำนวนที่นั่ง"
"No. of seats Enrolled","จำนวนที่นั่งที่ลงทะเบียนแล้ว"
"No. of Seats Taken","จำนวนที่นั่งที่ถูกจอง"
"No signature required.","ไม่ต้องใช้ลายเซ็น"
"No Tips for now...","ไม่มีข้อแนะนำสำหรับตอนนี้..."
"No Tips Found","ไม่พบข้อแนะนำ"
"No Help Requests for now...","ไม่มีการร้องขอความช่วยเหลือสำหรับตอนนี้..."
"No Help Request Found","ไม่พบการขอความช่วยเหลือ"
"Not yet started","ยังไม่เริ่ม"
"Not a Student?","ไม่ใช่ผู้เรียน?"
"Number of Students","จำนวนผู้เรียน"
"On Going","กำลังดำเนินการ"
"or","หรือ"
"Other Address Information (Optional)","ข้อมูลที่อยู่ที่อื่นๆ (ถ้ามี)"
"Other Requests","คำขออื่นๆ"
"out of","ออกจาก"
"Overall School Progress","ความคืบหน้าของสถาบันในภาพรวม"
"Paid","ชำระเงินแล้ว"
"Parent","ผู้ปกครอง"
"Parents should be the one to register, please click","ผู้ปกครองควรเป็นผู้ลงทะเบียน กรุณาคลิก"
"Password","รหัสผ่าน"
"Password must be at least 8 characters and with at least 1 number.","รหัสผ่านต้องมีอย่างน้อย 8 ตัวอักษร และมีตัวเลขอย่างน้อย 1 ตัว"
"You may now use your new password to login.","ตอนนี้คุณต้องใช้รหัสผ่านใหม่เพื่อเข้าสู่ระบบ"
"Your password has been set.","รหัสผ่านของคุณได้รับการบันทึกแล้ว"
"Pay Subscription","ชำระค่าสมาชิก"
"Payment","การชำระเงิน"
"Payment List","รายการชำระเงิน"
"Payment Management","การบริหารจัดการการชำระเงิน"
"Payment Methods","วิธีการชำระเงิน"
"Payment Status","สถานะการชำระเงิน"
"Pending","อยู่ระหว่างดำเนินการ"
"Pending Email","อีเมล์ที่กำลังดำเนินการ"
"Pending Email Address","ที่อยู่อีเมล์ที่กำลังดำเนินการ"
"Personal Information","ข้อมูลส่วนบุคคล"
"Picture Password","รหัสผ่านรูปภาพ"
"Pick an Avatar for your Profile","เลือกรูปประจำตัวสำหรับโปรไฟล์ของคุณ"
"Please Login","กรุณาเข้าสู่ระบบ"
"Please add a classroom.","กรุณาเพิ่มห้องเรียน"
"Please select a subject.","กรุณาเลือกบทเรียน"
"Please select an email or a name of a student.","กรุณาเลือกอีเมล์หรือชื่อของนักเรียน"
"Please select a subscription.","กรุณาเลือกการสมัครสมาชิก"
"Points","คะแนน"
"Post Status","ระบุสถานะ"
"Postal Code","รหัสไปรษณีย์"
"Posted by","เขียนโดย"
"Posted Since","เขียนตั้งแต่"
"Previous","ก่อนหน้านี้"
"Principal","อาจารย์ใหญ่"
"Price","ราคา"
"Print","พิมพ์"
"Profile","ข้อมูลส่วนตัว"
"Proceed to Dashboard","ดำเนินการไปหน้าแดชบอร์ด"
"Proceed to Questions","ดำเนินการไปคำถาม"
"Proceed to next Question","ดำเนินการไปคำถามถัดไป"
"Progress","ความคืบหน้า"
"Question","คำถาม"
"Quick","รวดเร็ว"
"Quick Stats","สถิติแบบสรุป"
"Rate","อัตรา"
"Rating","คะแนน"
"Regards","ความนับถือ"
"Register","ลงทะเบียน"
"Registration Success","การลงทะเบียนที่ประสบความสำเร็จ"
"Reject","ปฏิเสธ"
"Rejected","ปฏิเสธแล้ว"
"Remove Invoice","ลบใบแจ้งหนี้"
"Remove Student","ลบนักศึกษา"
"Renew Subscription","ต่ออายุการเป็นสมาชิก"
"Review Contents","ทบทวนเนื้อหา"
"You need to review the teaching content.","คุณจำเป็นต้องทบทวนนื้อหาการเรียนการสอน"
"Reports","รายงาน"
"Report Card","ใบรายงาน"
"Resend","ส่งซ้ำ"
"Reset","ส่งซ้ำแล้ว"
"RESET","คืนค่าเดิม"
"Resume","ใบประวัติการทำงาน"
"Reset Password","ตั้งรหัสผ่านใหม่"
"Reset Password Success","ตั้งรหัสผ่านใหม่เรียบร้อย"
"Retrieve Picture Password","ซ่อมแซมรหัสภาพ"
"Review Contents","ทบทวนเนื้อหา"
"Rewards","รางวัล"
"Reward Points","คะแนนสะสม"
"Reward points to earn","คะแนนสะสมที่จะได้รับ"
"Rate this Answer","ให้คะแนนคำตอบ"
"Role","บทบาท"
"Save","บันทึก"
"Save Subscription","บันทึกการสมัครสมาชิก"
"Your changes will be saved. Are you sure you want to cancel this subscription?","การเปลี่ยนแปลงของคุณจะถูกบันทึกไว้ คุณแน่ใจหรือว่าต้องการยกเลิกการสมัครรับข้อมูลนี้?"
"Save Status","บันทึกสถานะ"
"Save Changes","บันทึกการเปลี่ยนแปลง"
"School","สถาบัน"
"School Address","ที่อยู่ของสถาบัน"
"School City","เมืองที่ตั้งสถาบัน"
"School Contact Information","ข้อมูลการติดต่อสถาบัน"
"School Information","ข้อมูลสถาบัน"
"School Level","ระดับสถาบัน"
"School Name","ชื่อสถาบัน"
"School State","รัฐที่ตั้งของสถาบัน"
"Scores","คะแนน"
"Search","ค้นหา"
"Seats Taken","ที่นั่งถูกจองแล้ว"
"See All Points","ดูคะแนนทั้งหมด"
"-- Select Answer Status --","เลือกสถานะคำตอบ"
"-- Select Class --","เลือกชั้นเรียน"
"-- Select Country --","เลือกประเทศ"
"-- Select Difficulty --","เลือกระดับความยาก"
"-- Select Gender --","เลือกเพศ"
"-- Select Grade --","เลือกเกรด"
"-- Select Help Request Status --","เลือกสถานะขอความช่วยเหลือ"
"-- Select Learning Style --","เลือกรูปแบบการเรียนรู้"
"-- Select Level --","เลือกระดับ"
"-- Select Rate --","เลือกอัตรา"
"-- Select Role --","เลือกบทบาท"
"-- Select Status --","เลือกสถานะ"
"-- Select Subject --","เลือกบทเรียน"
"-- Select Subscription --","เลือกการสมัครสมาชิก"
"Select a picture for your new picture password","เลือกภาพสำหรับรหัสผ่านภาพใหม่ของคุณ"
"Select a picture to confirm your new picture password","เลือกรูปภาพเพื่อยืนยันรหัสผ่านภาพใหม่ของคุณ"
"Sequence Number","ลำดับหมายเลข"
"Sequence No","ลำดับหมายเลข"
"Set New Password","ตั้งค่ารหัสผ่านใหม่"
"Set Password","ตั้งรหัสผ่าน"
"Sign in via Facebook","เข้าสู่ระบบผ่านทาง Facebook"
"Sign in with Google","เข้าสู่ระบบด้วยบัญชี Google"
"Sign Up","ลงชื่อ"
"Skip","ข้าม"
"Starting","เริ่มต้น"
"State","สถานะ"
"Status","สถานะ"
"Step 1","ขั้นตอนที่ 1"
"Step 2","ขั้นตอนที่ 2"
"Stop Impersonating","หยุดการแอบอ้าง"
"Street Address","ถนน"
"Struggling","ดิ้นรน"
"Student","ผู้เรียน "
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","ผู้เรียนที่อายุต่ำกว่า 13 ปีไม่สามารถลงทะเบียนด้วยตนเองได้ กรุณาสอบถามผู้ปกครอง"
"Student Name","ชื่อผู้เรียน"
"Student List","รายชื่อผู้เรียน"
"Student Login","ผู้เรียนเข้าสู่ระบบที่นี่"
"Student Report","รายงานสำหรับผู้เรียน"
"Student Rewards","รางวัลสำหรับผู้เรียน"
"Student Registration","การลงทะเบียนผู้เรียน"
"Student Status","สถานภาพผู้เรียน"
"Students to watch","ผู้เรียนสมควรดู"
"Subject","รายวิชา"
"Subject Area","กลุ่มวิชา"
"Subscription","การสมัครสมาชิก"
"Submit","ส่ง"
"Sub Total","รวม"
"Success!","สำเร็จ!"
"Successfully Changed","ทำการเปลี่ยนแปลงสำเร็จ"
"Successful Payment","ดำเนินการชำระเงินสำเร็จ"
"Successfully added Student","เพิ่มผู้เรียนสำเร็จ"
"Successfully added your help request.","เพิ่มการร้องขอความช่วยเหลือของคุณสำเร็จ"
"Successfully added your tip.","เพิ่มข้อแนะนำของคุณสำเร็จ"
"You have successfully completed the payment process.","คุณได้ทำการดำเนินการชำระเงินสำเร็จ"
"Successfully removed Student","ลบผู้เรียนสำเร็จ"
"Successfully submitted your answer.","ส่งคำตอบของคุณสำเร็จ"
"You have successfully changed your avatar.","คุณได้ทำการแก้ไขรูปประจำตัวของคุณสำเร็จ"
"Success! You have added a new tip. Your content is currently being reviewed.","สำเร็จ! คุณได้เพิ่มข้อแนะนำใหม่ ขณะนี้เนื้อหาของคุณกำลังถูกตรวจสอบ"
"Success! You have added a new help request. Your content is currently being reviewed.","สำเร็จ! คุณได้เพิ่มการขอความช่วยเหลือใหม่ ขณะนี้เนื้อหาของคุณกำลังถูกตรวจสอบ"
"Summary Progress","สรุปความคืบหน้า"
"Teacher","อาจารย์"
"Teacher Comparison Progress","กระบวนการการเปรียบเทียบของอาจารย์"
"Teaching Module Content","เนื้อหาส่วนการเรียนการสอน"
"Teacher Management","การบริหารจัดการผู้สอน"
"Teacher Invitation","การเชิญผู้สอน"
"Teacher List","รายการผู้สอน"
"Terms and Conditions","ข้อตกลงและเงื่อนไข"
"Test Completed","การทดสอบเสร็จสมบูรณ์"
"Time Remaining","เวลาที่เหลืออยู่"
"Tips","เคล็ดลับ"
"Tip List","รายการเคล็ดลับ"
"Tip Details","รายละเอียดเคล็ดลับ"
"Tips / Help","เคล็ดลับ / ช่วยเหลือ"
"Tips & Help Requests","เคล็ดลับและการร้องขอความช่วยเหลือ"
"Title","หัวข้อ"
"To","ไป"
"to register.","เพื่อลงทะเบียน."
"Toggle navigation","นำสู่ที่หมาย"
"Total","ทั้งหมด"
"Total # of Seats","ที่นั่งทั้งหมด"
"Total Price","ราคารวม"
"Type","ประเภท"
"Update","ปรับปรุง"
"You have successfully updated your profile.","คุณปรับปรุงข้อมูลส่วนตัวของคุณสำเร็จ"
"Upload CSV file","อัปโหลดไฟล์ CSV"
"USD$","ดอลล่า"
"User","ผู้ใช้"
"Username","ชื่อผู้ใช้"
"Username or Email","ชื่อผู้ใช้หรืออีเมล์"
"View Client Account Profile","ดูรายละเอียดโปรไฟล์ลูกค้า"
"View Contents","ดูเนื้อหา"
"View Class Details","ดูรายละเอียดห้องเรียน"
"View Image","ดูภาพ"
"View List","ดูรายการ"
"View More","ดูเพิ่มเติม"
"View Payment","ดูวิธีการชำระเงิน"
"View Payment List","ดูรายการชำระเงิน"
"View Profile","ดูโปรไฟล์"
"View Questions","ดูคำถาม"
"View Student","ดูนักศึกษา"
"Welcome","ยินดีต้อนรับ"
"Wrong.","ไม่ถูกต้อง"
"Yes","ใช่"
"You have successfully registered.","คุณได้ลงทะเบียนเรียบร้อยแล้ว"
"Your Requests","คำร้องขอของคุณ"
"Your picture password has been reset.","รหัสผ่านภาพของคุณได้รับการตั้งค่าใหม่"
"You may now use your new picture password to login.","คุณจะต้องใช้รหัสผ่านภาพใหม่ของคุณเพื่อเข้าสู่ระบบ"
"Admin Dashboard","กระดานหลักของผู้ดูแลระบบ"
"Enter Code","ใส่รหัส"
"Password Reset","รีเซ็ตรหัสผ่าน"
"Forgot Password","ลืมรหัสผ่าน"
"Add Admin User","เพิ่มผู้ใช้ผู้ดูแลระบบ"
"Super Admin","ผู้ดูแลระบบ"
"Delete Admin","ลบผู้ดูแลระบบ"
"Are you sure you want to delete this admin user,?","คุณแน่ใจหรือว่าต้องการลบผู้ดูแลระบบนี้"
"Edit Email Address","แก้ไขที่อยู่อีเมล์"
"New Email Address","ที่อยู่อีเมล์ใหม่"
"Add Admin","เพิ่มผู้ดูแลระบบ"
"Admin List","รายการผู้ดูแลระบบ"
"An email has been sent to ","อีเมล์ถูกส่งไปยัง"
"with the password that you have set.","ด้วยระหัสผ่านที่คุณได้ตั้งค่าไว้"
"View Admin User","ดูผู้ดูแลระบบ"
"Edit Admin User","แก้ไขผู้ดูแลระบบ"
"Add Age Group","เพิ่มกลุ่มอายุ"
"-- Select Age --","เลือกกลุ่มอายุ"
"Total Points Earned","คะแนนรวมที่ได้รับ"
"Edit Age Group","แก้ไขกลุ่มอายุ"
"Age Group List","รายการกลุ่มอายุ"
"Delete Age Group","ลบกลุ่มอายุ"
"Are you sure you want to delete this age group?","คุณแน่ใจหรือว่าคุณต้องการลบกลุ่มอายุนี้?"
"Client Announcement","การประกาศของลูกค้า"
"Successfully created this announcement.","การสร้างการประกาศเสร็จเรียบร้อย"
"Your Message","ข้อความของคุณ"
"Add Client","เพิ่มลูกค้า"
"Client Details","รายละเอียดของลูกค้า"
"Delete Client","ลบลูกค้า"
"Are you sure you want to delete this account?","คุณแน่ใจหรือว่าต้องการที่จะลบบัญชีนี้?"
"Records Not Inserted","ประวัติไม่ได้ถูกแนบ"
"Registered Users","ผู้ใช้งานที่ลงทะเบียน"
"Not Registered","ไม่ได้ลงทะเบียน"
"Client List","รายการผู้รับบริการ"
"Import Teacher","นำเข้าผู้สอน"
"Add Content","เพิ่มเนื้อหา"
"Content Code","รหัสของเนื้อหา"
"Content Text","อักษรของเนื้อหา"
"Module Details","รายละเอียดโมดูล"
"Media Type","ประเภทสื่อ"
"-- Select Media Type --","- เลือกประเภทสื่อ -"
"Teaching Module Name","กลุ่มของชื่อการเรียนการสอน"
"Video Url","URL ของวิดีโอ"
"Video url should have this format:","URL ของวิดีโอควรมีรูปแบบนี้"
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
"View Content Image","ดูภาพเนื้อหา"
"Delete Module Content","ลบเนื้อหาโมดูล"
"Are you sure you want to delete this content?","คุณแน่ใจหรือว่าต้องการลบเนื้อหานี้?"
"Module Content List","รายการเนื้อหาของโมดูล"
"Add Grade","เพิ่มระดับชั้น"
"Grade Name","ชื่อระดับชั้น"
"Grade Code","รหัสระดับชั้น"
"Group","กลุ่ม"
"-- Select Age Group --","- เลือกกลุ่มอายุ -"
"Delete Grade","ลบระดับชั้น"
"Are you sure you want to delete this grade?","คุณแน่ใจหรือว่าต้องการลบระดับชั้นนี้?"
"Update Grade","ปรับปรุงระดับชั้น"
"Grade List","รายการระดับชั้น"
"Grade Management","การจัดการระดับชั้น"
"Delete Help Request","ลบคำร้องขอความช่วยเหลือ"
"Are you sure you want to delete this help request?","คุณแน่ใจหรือว่าต้องการลบคำร้องขอความช่วยเหลือนี้?"
"Request Content","เนื้อหาของการร้องขอ"
"Request Details","รายละเอียดคำร้อง"
"-- Select Type --","เลือกประเภท"
"Request Status","สถานะคำขอ"
"Help Request Title","ชื่อคำขอความช่วยเหลือ"
"Help Request List","รายการคำขอความช่วยเหลือ"
"Delete Help Request Answer","ลบคำตอบของคำขอความช่วยเหลือ"
"Are you sure you want to delete this help request answer?","คุณแน่ใจหรือว่าต้องการลบคำตอบคำขอความช่วยเหลือนี้?"
"Answer Content","เนื้อหาคำตอบ"
"Answer Details","รายละเอียดคำตอบ"
"Request Answer Status","สถานะคำตอบคำขอ"
"Help Answer List","รายการคำตอบคำขอความช่วยเหลือ"
"Invoice List","รายการใบแจ้งหนี้"
"Invoice Management","การจัดการใบแจ้งหนี้"
"Order Number","จำนวนรายการสั่งซื้อ"
"Order #","รายการสั่งซื้อ"
"-- Select Status --","- เลือกสถานะ -"
"Invoice No","ไม่มีใบแจ้งหนี้"
"Order List","รายการสั่งซื้อ"
"Back to Class List","กลับยังรายการห้องเรียน"
"View All Students under this Order","ชมผู้เรียนภายใต้คำสั่งนี้ทั้งหมด"
"Administrator Logs","ผู้ดูแลการเข้าระบบ"
"Error Logs","การเข้าระบบผิดพลาด"
"Security Logs","การรักษาความปลอดภัยในการเข้าระบบ"
"System Logs","ระบบบันทึก"
"Users Logs","บันทึกของผู้ใช้งาน"
"Administrator","ผู้ดูแลระบบ"
"Error|Errors","ข้อผิดพลาด | ข้อผิดพลาด"
"Users","ผู้ใช้งาน"
"Security","การรักษาความปลอดภัย"
"System","ระบบ"
"API Accessed","การเข้าถึง API"
"Info","ข้อมูล"
"Log Details","ข้อมูลการบันทึก"
"Page Accessed","การเข้าถึงหน้า"
"-- Select Response Code --","เลือกรหัสการตอบสนอง"
"Response Status","สถานะการตอบสนอง"
"-- Select Admin Type --","เลือกประเภทของผู้ดูแลระบบ"
"Admin Type","ประเภทของผู้ดูแลระบบ"
"Value","มูลค่า"
"Download","ดาวน์โหลด"
"Log Files","เอกสารที่บันทึก"
"Agent Used","ตัวแทนที่ใช้งาน"
"HTTP Response","การตอบสนองของ HTTP"
"Log Type","ประเภทของบันทึก"
"-- Select Log Type --","เลือกประเภทบันทึก "
"-- Select User Type --","เลือกประเภทของผู้ใช้"
"User Type","ประเภทของผู้ใช้"
"Add Module","เพิ่มโมดูล"
"Common Core Area","ส่วนหลักทั่วไป"
"Common Core URL","URL หลักทั่วไป"
"Points to Unlock","เลือกเพื่อปลดล็อก"
"Points to Finish","เลือกเพื่อเสร็จสิ้น"
"-- Select Subject --","- เลือกเรื่อง -"
"Delete Module","ลบโมดูล"
"Are you sure you want to delete this module?","คุณแน่ใจหรือไม่ที่จะลบโมดูลนี้?"
"Module Management","การจัดการโมดูล"
"Module Name","ชื่อโมดูล"
"Module List","รายการโมดูล"
"Contents","เนื้อหา"
"Module Content","เนื้อหาโมดูล"
