"DO NOT EDIT","Bahasa Malaysia"
"To confirm your new Email Address, follow these steps:","Untuk mengesahkan Alamat E-mel baru anda, ikuti langkah-langkah ini:"
"Confirm Your Email Address","Sahkan Alamat E-mel Anda"
"Confirm Invitation","Sahkan Jemputan"
"Confirm New Password","Sahkan Kata Laluan Baru"
"Confirm Password","Sahkan Kata Laluan"
"Confirm Registration","Sahkan Pendaftaran"
"Contact Person","Orang yang dapat dihubungi"
"Contact Number","Nombor telefon"
"Content","Kandungan"
"Content Not Available","Tiada Kandungan"
"Country","Negara"
"Correct!","Betul!"
"Created By","Dicipta Oleh"
"Credentials Information","Maklumat Kelayakan"
"Current","Semasa"
"Current Email Address","Alamat E-mel Semasa"
"Current Learning","Pembelajaran Semasa"
"Current Password","Kata laluan Semasa"
"Data Privacy Policy","Dasar Privasi Data"
"Date","Tarikh"
"Date Added","Tarikh Ditambah"
"Date Created","Tarikh Dicipta"
"Date End","Tarikh Tamat"
"Date of Last Answer","Tarikh Jawapan yang Terakhir"
"Date Removed","Tarikh Dikeluarkan"
"Date Start","Tarikh Mula"
"Date Started","Tarikh Bermula"
"Delete","Padam"
"Delete Subscription","Padamkan Langganan"
"Delete Student","Padamkan Pelajar"
"Delete This Request","Padam Permintaan ini"
"Delete Request","Padam Permintaan"
"Description","Penerangan"
"Detail","Butiran"
"Difficulty","Kesukaran"
"Direct Credit to","Kredit Langsung kepada"
"Disabled","Dinyahdayakan"
"Discount","Diskaun"
"Displayed At","Dipaparkan Di"
"Download Template","Muat turun Templat"
"Drag the items to reorder.","Seret item untuk menyusun semula."
"Edit","Sunting"
"Edit Client Account Profile","Sunting Profil Akaun Pelanggan"
"Edit Profile","Sunting Profil"
"Edit Status","Sunting Status"
"Edit Student","Sunting Pelajar"
"Electronic Invoice","Invois Elektronik"
"Email","E-mel"
"Email Address","Alamat E-mel"
"Email address is available.","Alamat e-mel boleh didapati."
"Email or Username","E-mel atau Nama Pengguna"
"Enter Confirmation Code:","Masukkan Kod Pengesahan:"
"Enabled","Didayakan"
"Enter Password","Masukkan Kata Laluan"
"Enter your Password","Masukkan Kata Laluan anda"
"Enter Your Username or Email","Masukkan Nama Pengguna anda atau E-mel"
"Existing Student","Pelajar yang Sedia Ada"
"Exit Module","Keluar daripada Modul"
"Export","Eksport"
"Excelling","Cemerlang"
"Failed Payment","Pembayaran Gagal"
"You have failed to complete the payment process.","Anda telah gagal untuk menyelesaikan proses pembayaran."
"Female","Wanita"
"First Name","Nama Pertama"
"for Student Site","untuk Laman Pelajar"
"For Students 13 years old and below","Untuk Pelajar yang berusia 13 tahun dan ke bawah"
"for Parent / Teacher / School Site","untuk Ibu Bapa / Guru / Laman Sekolah"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","Sila semak peti masuk anda atau folder spam anda untuk e-mel. <br/> E-mel ini mengandungi kod pengesahan yang anda perlukan untuk input di bawah."
"An email to reset your password has been sent to your email account.","Satu e-mel untuk menetapkan semula kata laluan anda telah dihantar ke akaun e-mel anda."
"Home","Rumah"
"A new reset code has been sent to your email account.","Satu kod penetapan semula yang baru telah dihantar ke akaun e-mel anda."
"Please enter the reset code to create your new password.","Sila masukkan kod penetapan semula untuk mencipta kata laluan baru anda."
"Send","Hantar"
"Forgot your password?","Lupa kata laluan anda?"
"Forgot your picture password?","Lupa kata laluan gambar anda ?"
"From your Classmates","Dari Rakan Sekelas anda"
"From You","Dari Anda"
"FutureEd Online Education Platform","Platform Pendidikan Atas Talian FutureEd"
"Gender","Jantina"
"General","Umum"
"General Tips","Tips Umum"
"General Help Requests","Permintaan Bantuan Umum"
"Give Tips","Berikan Tips"
"Grade|Grades","Gred | Gred"
"Grade Code","Kod Gred"
"Go to link","Pergi ke pautan"
"Go to My Profile","Pergi ke Profil Saya"
"Help Request|Help Requests","Permintaan Bantuan| Permintaan Bantuan"
"Help Request Details","Butiran Permintaan Bantuan"
"Help Request Answers","Jawapan Permintaan Bantuan"
"Help Request Answer Details","Butiran Jawapan Permintaan Bantuan"
"here","di sini"
"Hi","Hai"
"Hi there","Hai"
"Highest Score","Skor Tertinggi"
"I agree on the","Saya bersetuju dengan"
"Image","Imej"
"Image Uploaded...","Imej Dimuatkan ..."
"Import","Import"
"Inactive","Tidak Aktif"
"Indicates a required field.","Menunjukkan medan yang diperlukan."
"Instructions","Arahan"
"IP Address","Alamat IP"
"Keys","Kunci"
"Launch","Lancarkan"
"Last Name","Nama Terakhir"
"Later","Kemudian"
"Learning Style","Gaya Pembelajaran"
"Learning Style Quiz","Kuiz Gaya Pembelajaran"
"Let\s","Marilah"
"Loading...","Sedang Dimuat …"
"Locked","Terkunci"
"Login","Log masuk"
"Login Credentials","Kelayakan log masuk"
"Forgot your password?","Lupa kata laluan anda?"
"Login to your account","Log masuk ke akaun anda"
"Logout","Log keluar"
"You have been logged out due to inactivity. Please login again.","Anda telah log keluar kerana tidak aktif. Sila log masuk sekali lagi."
"Logs","Catatan"
"Lowest Score","Markah Terendah"
"Male","Lelaki"
"Medals","Pingat"
"Module|Modules","Modul | Modul"
"Module Status","Status Modul"
"My Account","Akaun saya"
"My Profile","Profil saya"
"My Reports","Laporan Saya"
"My Help Requests","Permintaan Bantuan Saya"
"Name","Nama"
"New","Baru"
"New Email Address","Alamat Email Baru"
"New Password","Kata Laluan Baru"
"New Student","Pelajar Baru"
"Next","Seterusnya"
"No","Tiada"
"No Available Link","Tiada Pautan"
"No Answers for Now","Tiada Jawapan Buat Masa Ini"
"No Available Points","Tiada Mata"
"No Available Badges","Tiada Lencana"
"No Medals Available","Tiada Pingat"
"No available questions for this module.</br>Please contact the system administrator.","Tiada soalan untuk modul ini. </ Br> Sila hubungi pentadbir sistem."
"No Modules Found.","Tiada Modul."
"No Content Available","Tiada Kandungan"
"No Questions Available","Tiada Soalan"
"No records found","Tiada rekod dijumpai"
"No Results...","Tiada Keputusan..."
"Number of Seats","Bilangan Tempat Duduk"
"No. of seats Enrolled","Bilangan tempat duduk yang telah Mendaftar"
"No. of Seats Taken","Bilangan Tempat Duduk yang Diambil"
"No signature required.","Tandatangan tidak diperlukan."
"No Tips for now...","Tiada Tips buat masa ini ..."
"No Tips Found","Tiada Tips"
"No Help Requests for now...","Tiada Permintaan Bantuan buat masa ini..."
"No Help Request Found","Tiada Permintaan Bantuan"
"Not yet started","Belum bermula lagi"
"Not a Student?","Bukan Pelajar?"
"Number of Students","Bilangan Pelajar"
"On Going","Dalam Proses"
"or","atau"
"Other Address Information (Optional)","Maklumat Alamat Lain-Lain (Pilihan)"
"Other Requests","Permintaan Lain"
"out of","daripada"
"Overall School Progress","Kemajuan Sekolah Keseluruhan"
"Paid","Dibayar"
"Parent","Ibu Bapa"
"Parents should be the one to register, please click","Ibu bapa harus menjadi pendaftar, sila klik"
"Password","Kata Laluan"
"Password must be at least 8 characters and with at least 1 number.","Kata laluan mestilah sekurang-kurangnya 8 aksara dan dengan sekurang-kurangnya 1 nombor."
"You may now use your new password to login.","Anda kini boleh menggunakan kata laluan baru anda untuk log masuk."
"Your password has been set.","Kata laluan anda telah ditetapkan."
"Pay Subscription","Bayar Langganan"
"Payment","Pembayaran"
"Payment List","Senarai Pembayaran"
"Payment Management","Pengurusan Pembayaran"
"Payment Methods","Cara Pembayaran"
"Payment Status","Status Pembayaran"
"Pending","Yang Belum Selesai"
"Pending Email","E-mel Belum Selesai"
"Pending Email Address","Alamat E-mel Belum Selesai"
"Personal Information","Maklumat Peribadi"
"Picture Password","Kata Laluan Gambar"
"Pick an Avatar for your Profile","Pilih Avatar untuk Profil anda"
"Please Login","Sila Daftar Masuk"
"Please add a classroom.","Sila tambah kelas."
"Please select a subject.","Sila pilih subjek."
"Please select an email or a name of a student.","Sila pilih e-mel atau nama pelajar."
"Please select a subscription.","Sila pilih langganan."
"Points","Mata"
"Post Status","Status Catatan"
"Postal Code","Poskod"
"Posted by","Dicatat oleh"
"Posted Since","Dicatat Sejak"
"Previous","Sebelumnya"
"Principal","Pengetua"
"Price","Harga"
"Print","Cetak"
"Profile","Profil"
"Proceed to Dashboard","Teruskan ke Papan Pemuka"
"Proceed to Questions","Teruskan ke Soalan"
"Proceed to next Question","Teruskan ke Soalan yang seterusnya"
"Progress","Kemajuan"
"Question","Soalan"
"Quick","Pantas"
"Quick Stats","Statistik Pantas"
"Rate","Kadar"
"Rating","Penilaian"
"Regards","Salam"
"Register","Daftar"
"Registration Success","Pendaftaran Berjaya"
"Reject","Tolak"
"Rejected","Ditolak"
"Remove Invoice","Keluarkan Invois"
"Remove Student","Keluarkan Pelajar"
"Renew Subscription","Memperbaharui Langganan"
"Review Contents","Semak Kandungan"
"You need to review the teaching content.","Anda perlu menyemak kandungan pengajaran."
"Reports","Laporan"
"Report Card","Kad Laporan"
"Resend","Hantar semula"
"Reset","Tetapkan semula"
"RESET","TETAPKAN SEMULA"
"Resume","Menyambung semula"
"Reset Password","Tetapkan Semula Kata Laluan"
"Reset Password Success","Tetapkan Semula Kata Laluan Berjaya"
"Retrieve Picture Password","Dapatkan Semula Kata Laluan Gambar"
"Review Contents","Semak Kandungan "
"Rewards","Ganjaran"
"Reward Points","Mata Ganjaran"
"Reward points to earn","Mata ganjaran yang didapati"
"Rate this Answer","Menilai Jawapan ini"
"Role","Peranan"
"Save","Simpan"
"Save Subscription","Simpan Langganan"
"Your changes will be saved. Are you sure you want to cancel this subscription?","Perubahan anda akan disimpan. Adakah anda pasti bahawa anda mahu membatalkan langganan ini ?"
"Save Status","Simpan Status"
"Save Changes","Simpan Perubahan"
"School","Sekolah"
"School Address","Alamat Sekolah"
"School City","Bandar Sekolah"
"School Contact Information","Maklumat Hubungan Sekolah"
"School Information","Maklumat Sekolah"
"School Level","Tahap Sekolah"
"School Name","Nama Sekolah"
"School State","Negeri Sekolah"
"Scores","Markah"
"Search","Cari"
"Seats Taken","Tempat Duduk Telah Diambil"
"See All Points","Lihat Semua Mata"
"-- Select Answer Status --","- Pilih Status Jawapan  -"
"-- Select Class --","- Pilih Kelas -"
"-- Select Country --","-- Pilih Negara --"
"-- Select Difficulty --","- Pilih Kesukaran -"
"-- Select Gender --","-- Pilih Jantina --"
"-- Select Grade --","- Pilih Gred -"
"-- Select Help Request Status --","- Pilih Status Permintaan Bantuan -"
"-- Select Learning Style --","- Pilih Gaya Pembelajaran -"
"-- Select Level --","- Pilih Tahap -"
"-- Select Rate --","- Pilih Kadar -"
"-- Select Role --","- Pilih Peranan -"
"-- Select Status --","- Pilih Status -"
"-- Select Subject --","- Pilih Subjek -"
"-- Select Subscription --","- Pilih Langganan -"
"Select a picture for your new picture password","Pilih gambar untuk kata laluan gambar baru anda"
"Select a picture to confirm your new picture password","Pilih gambar untuk mengesahkan kata laluan gambar baru anda"
"Sequence Number","Nombor Urutan"
"Sequence No","Nombor Urutan"
"Set New Password","Tetapkan Kata Laluan Baru"
"Set Password","Tetapkan Kata Laluan"
"Sign in via Facebook","Daftar masuk melalui Facebook"
"Sign in with Google","Daftar masuk dengan Google"
"Sign Up","Berdaftar"
"Skip","Langkau"
"Starting","Bermula"
"State","Negeri"
"Status","Status"
"Step 1","Langkah 1"
"Step 2","Langkah 2"
"Stop Impersonating","Hentikan Penyamaran"
"Street Address","Alamat Jalan"
"Struggling","Berjuang"
"Student","Pelajar"
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","Pelajar yang berusia 13 tahun atau ke bawah tidak boleh mendaftar. Sila meminta Ibu Bapa untuk mendaftar dalam"
"Student Name","Nama pelajar"
"Student List","Senarai Pelajar"
"Student Login","Log Masuk Pelajar"
"Student Report","Laporan Pelajar"
"Student Rewards","Ganjaran Pelajar"
"Student Registration","Pendaftaran Pelajar"
"Student Status","Status Pelajar"
"Students to watch","Pelajar untuk menonton"
"Subject","Subjek"
"Subject Area","Kawasan Subjek"
"Subscription","Langganan"
"Submit","Hantar"
"Sub Total","Subjumlah"
"Success!","Berjaya!"
"Successfully Changed","Berjaya mengubah"
"Successful Payment","Pembayaran Berjaya"
"Successfully added Student","Berjaya menambahkan Pelajar"
"Successfully added your help request.","Berjaya menambahkan permintaan bantuan anda."
"Successfully added your tip.","Berjaya menambahkan tip anda."
"You have successfully completed the payment process.","Anda telah berjaya menyelesaikan proses pembayaran."
"Successfully removed Student","Berjaya mengeluarkan Pelajar"
"Successfully submitted your answer.","Berjaya menghantar jawapan anda."
"You have successfully changed your avatar.","Anda telah berjaya menukar avatar anda."
"Success! You have added a new tip. Your content is currently being reviewed.","Berjaya! Anda telah menambah tip baru. Kandungan anda sedang disemak."
"Success! You have added a new help request. Your content is currently being reviewed.","Berjaya! Anda telah menambah permintaan bantuan baru. Kandungan anda sedang disemak."
"Summary Progress","Kemajuan Ringkasan"
"Teacher","Guru"
"Teacher Comparison Progress","Kemajuan Perbandingan Guru"
"Teaching Module Content","Kandungan Modul Pengajaran"
"Teacher Management","Pengurusan Guru"
"Teacher Invitation","Jemputan Guru"
"Teacher List","Senarai Guru"
"Terms and Conditions","Terma dan Syarat"
"Test Completed","Ujian Selesai"
"Time Remaining","Baki Masa"
"Tips","Tips"
"Tip List","Senarai Tip"
"Tip Details","Butiran Tip"
"Tips / Help","Tips / Bantuan"
"Tips & Help Requests","Tips & Permintaan Bantuan"
"Title","Tajuk"
"To","Kepada"
"to register.","untuk mendaftar."
"Toggle navigation","Navigasi Toggle"
"Total","Jumlah"
"Total # of Seats","Jumlah # Kerusi"
"Total Price","Jumlah Harga"
"Type","Jenis"
"Update","Kemas Kini"
"You have successfully updated your profile.","Anda telah berjaya mengemas kini profil anda."
"Upload CSV file","Muat naik fail CSV"
"USD$","USD $"
"User","Pengguna"
"Username","Nama Pengguna"
"Username or Email","Nama Pengguna atau e-mel"
"View Client Account Profile","Lihat Profil Akaun Pelanggan"
"View Contents","Lihat Kandungan"
"View Class Details","Lihat Butiran Kelas"
"View Image","Lihat Imej"
"View List","Lihat Senarai"
"View More","Lihat Lebih Banyak"
"View Payment","Lihat Pembayaran"
"View Payment List","Lihat Senarai Pembayaran"
"View Profile","Lihat Profil"
"View Questions","Lihat Soalan-soalan"
"View Student","Lihat Pelajar"
"Welcome","Selamat Datang"
"Wrong.","Salah."
"Yes","Ya"
"You have successfully registered.","Anda telah berjaya mendaftar."
"Your Requests","Permintaan Anda"
"Your picture password has been reset.","Kata laluan gambar anda telah ditetapkan semula."
"You may now use your new picture password to login.","Anda boleh menggunakan kata laluan gambar anda yang baru untuk log masuk."
"Admin Dashboard","Papan Pemuka Pentadbir"
"Enter Code","Masukkan Kod"
"Password Reset","Penetapan Semula Kata Laluan"
"Forgot Password","Lupa Kata Laluan"
"Add Admin User","Tambahkan Pengguna Pentadbir"
"Super Admin","Super Pentadbir"
"Delete Admin","Padam Pentadbir"
"Are you sure you want to delete this admin user,?","Adakah anda pasti bahawa anda mahu memadam pengguna pentadbir ini,?"
"Edit Email Address","Sunting Alamat E-mel"
"New Email Address","Alamat Email Baru"
"Add Admin","Tambah Pentadbir"
"Admin List","Senarai Pentadbir"
"An email has been sent to ","Satu e-mel telah dihantar ke"
"with the password that you have set.","dengan kata laluan yang telah anda tetapkan."
"View Admin User","Lihat Pengguna Pentadbir"
"Edit Admin User","Sunting Pengguna Pentadbir"
"Add Age Group","Tambah Kumpulan Umur"
"-- Select Age --","-- Pilih Umur --"
"Total Points Earned","Jumlah Mata yang Diperolehi"
"Edit Age Group","Sunting Kumpulan Umur"
"Age Group List","Senarai Kumpulan Umur"
"Delete Age Group","Padam Kumpulan Umur"
"Are you sure you want to delete this age group?","Adakah anda pasti bahawa anda mahu memadam kumpulan umur ini?"
"Client Announcement","Pengumuman Pelanggan"
"Successfully created this announcement.","Berjaya membuat pengumuman ini."
"Your Message","Mesej Anda"
"Add Client","Tambah Pelanggan"
"Client Details","Butiran Pelanggan"
"Delete Client","Padam Pelanggan"
"Are you sure you want to delete this account?","Adakah anda pasti bahawa anda mahu memadam akaun ini?"
"Records Not Inserted","Rekod Tidak Dimasukkan"
"Registered Users","Pengguna Berdaftar"
"Not Registered","Tidak Berdaftar"
"Client List","Senarai Pelanggan"
"Import Teacher","Import Guru"
"Add Content","Tambah Kandungan"
"Content Code","Kod Kandungan"
"Content Text","Teks Kandungan"
"Module Details","Butiran Modul"
"Media Type","Jenis Media"
"-- Select Media Type --","- Pilih Jenis Media -"
"Teaching Module Name","Nama Modul Pengajaran"
"Video Url","Url Video"
"Video url should have this format:","Url Video harus mempunyai format ini:"
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
"View Content Image","Lihat Kandungan Imej"
"Delete Module Content","Padam Kandungan Modul"
"Are you sure you want to delete this content?","Adakah anda pasti bahawa anda mahu memadam kandungan ini?"
"Module Content List","Senarai Kandungan Modul"
"Add Grade","Tambah Gred"
"Grade Name","Nama Gred"
"Grade Code","Kod Gred"
"Group","Kumpulan"
"-- Select Age Group --","- Pilih Kumpulan Umur -"
"Delete Grade","Padam Gred"
"Are you sure you want to delete this grade?","Adakah anda pasti bahawa anda mahu memadam gred ini?"
"Update Grade","Kemaskini Gred"
"Grade List","Senarai Gred"
"Grade Management","Pengurusan Gred"
"Delete Help Request","Padam Permintaan Bantuan"
"Are you sure you want to delete this help request?","Adakah anda pasti bahawa anda mahu memadamkan permintaan bantuan ini?"
"Request Content","Kandungan Permintaan"
"Request Details","Butiran Permintaan"
"-- Select Type --","- Pilih Jenis -"
"Request Status","Status Permintaan"
"Help Request Title","Tajuk Permintaan Bantuan"
"Help Request List","Senarai Permintaan Bantuan"
"Delete Help Request Answer","Padam Jawapan Permintaan Bantuan"
"Are you sure you want to delete this help request answer?","Adakah anda pasti bahawa anda mahu memadam jawapan permintaan bantuan ini?"
"Answer Content","Kandungan Jawapan"
"Answer Details","Butiran Jawapan"
"Request Answer Status","Status Jawapan Permintaan"
"Help Answer List","Senarai Jawapan Bantuan"
"Invoice List","Senarai invois"
"Invoice Management","Pengurusan Invois"
"Order Number","Nombor Pesanan"
"Order #","Pesanan #"
"-- Select Status --","- Pilih Status -"
"Invoice No","No Invois"
"Order List","Senarai Pesanan"
"Back to Class List","Kembali ke Senarai Kelas"
"View All Students under this Order","Lihat Semua Pelajar bawah Pesanan ini"
"Administrator Logs","Log Pentadbir"
"Error Logs","Log Ralat"
"Security Logs","Log Keselamatan"
"System Logs","Log Sistem"
"Users Logs","Log Pengguna"
"Administrator","Pentadbir"
"Error|Errors","Ralat | Ralat"
"Users","Pengguna"
"Security","Keselamatan"
"System","Sistem"
"API Accessed","API Diakses"
"Info","Info"
"Log Details","Butiran Log"
"Page Accessed","Halaman yang Diakses"
"-- Select Response Code --","- Pilih Kod Maklum Balas -"
"Response Status","Status Maklum Balas"
"-- Select Admin Type --","- Pilih Jenis Pentadbir -"
"Admin Type","Jenis Pentabir"
"Value","Nilai"
"Download","Muat Turun"
"Log Files","Fail Log"
"Agent Used","Agen Terpakai"
"HTTP Response","Maklum Balas HTTP"
"Log Type","Jenis Log"
"-- Select Log Type --","- Pilih Jenis Log -"
"-- Select User Type --","- Pilih Jenis Pengguna -"
"User Type","Jenis Pengguna"
"Add Module","Tambah Modul"
"Common Core Area","Kawasan Teras Umum"
"Common Core URL","URL Teras Umum"
"Points to Unlock","Mata untuk membuka kunci"
"Points to Finish","Mata untuk Selesai"
"-- Select Subject --","- Pilih Subjek -"
"Delete Module","Padam Modul"
"Are you sure you want to delete this module?","Adakah anda pasti bahawa anda mahu memadam modul ini ?"
"Module Management","Pengurusan Modul"
"Module Name","Nama Modul"
"Module List","Senarai Modul"
"Contents","Kandungan"
"Module Content","Kandungan Modul"
"Q & A","Soalan & Jawapan"
"View Image","Lihat Imej"
"View Module","Lihat Modul"
"Add Bulk Discount","Tambah Diskaun Pukal"
"Minimum Seats","Tempat Duduk Minimum"
"Percentage","Peratusan"
"Percentage List","Senarai Peratusan"
"Update Bulk Discount","Kemas kini Diskaun Pukal"
"Age Group","Kumpulan Umur"
"Add Client Discount","Tambah Diskaun Pelanggan"
"Client Discount List","Senarai Diskaun Pelanggan"
"Update Client Discount","Kemas kini Diskaun Pelanggan"
"Discount Percentage","Peratus Diskaun"
"Add Price","Tambah Harga"
"Days","Hari"
"Price List","Senarai Harga"
"Update Price","Kemas Kini Harga"
"Subscription Name","Nama Langganan"
"Bulk Settings","Tetapan Pukal"
"Client Discount","Diskaun Pelanggan"
"Price & Discount","Harga & Diskaun"
"Price Settings","Tetapan Harga"
"Answer Code","Kod Jawapan"
"Answer Image","Imej Jawapan"
"Answer List","Senarai Jawapan"
"Correct Answer","Jawapan yang Betul"
"oordinate","Menyelaras"
"Count","Kira"
"Delete Answer","Padam Jawapan"
"Are you sure you want to delete this Answer?","Adakah anda pasti bahawa anda mahu memadam Jawapan ini?"
"Field","Medan"
"Field Name","Nama Medan"
"Label","Label"
"Points Equivalent","Mata Setaraf"
"-- Select Answer --","- Pilih Jawapan -"
"X Axis","Axis X"
"Y Axis","Axis Y"
"X Coordinates","Koordinat X"
"Y Coordinates","Koordinat Y"
"Points Earned","Mata yang Diperolehi"
"Graph","Graf"
"Horizontal","Mendatar"
"Multiple Choice","Pelbagai Pilihan"
"Order|Orders","Pesanan | Pesanan"
"Orientation","Orientasi"
"Provide","Memberi"
"Quadrant","Quadrant"
"Question Details","Butiran Soalan"
"Question Image","Imej Soalan"
"answer should be comma separated to indicate the order.","jawapan hendaklah dipisahkan oleh koma untuk menunjukkan perintah itu"
"required information","Maklumat yang Diperlukan"
"Question Text","Teks Soalan"
"Question Type","Jenis Soalan"
"-- Select Orientation --","- Pilih Orientasi -"
"-- Select Question Type --","- Pilih Jenis Soalan -"
"Vertical","Menegak"
"Add Q & A","Tambahkan Soalan & Jawapan"
"Delete Question","Padam Soalan"
"Question List","Senarai Soalan"
"Delete Image","Padam Imej"
"Are you sure you want to delete this image?","Adakah anda pasti bahawa anda mahu memadam imej ini?"
"Delete Student","Padam Pelajar"
"Are you sure you want to delete this account?","Adakah anda pasti bahawa anda mahu memadam akaun ini?"
"Date Earned","Tarikh Diperoleh"
"Delete Badge","Padam Lencana"
"Are you sure you want to delete this Badge?","Adakah anda pasti bahawa anda mahu memadam Lencana ini?"
"Edit Points","Sunting Mata"
"Edit Badges","Sunting Lencana"
"Event","Acara"
"Manual","Manual"
"Student Management","Pengurusan Pelajar"
"Student List","Senarai Pelajar"
"Badge name","Nama Lencana"
"Point History","Sejarah Mata, "
"Student Details","Butiran Pelajar"
"View Rewards","Lihat Ganjaran"
"Add Subject","Tambahkan Subjek"
"Subject Code","Kod Subjek"
"Delete Subject","Padam Subjek"
"Are you sure you want to delete this subject?","Adakah anda pasti bahawa anda mahu memadam subjek ini?"
"Add Subject Area","Tambahkan Kawasan Subjek"
"Area Code","Kod Kawasan"
"Subject Name","Nama Subjek"
"Delete Subject Area","Padam Kawasan Subjek"
"Are you sure you want to delete this subject area?","Adakah anda pasti anda mahu memadam kawasan subjek ini?"
"Update Subject Area","Kemas Kini Kawasan Subjek"
"Back Links","Pautan Belakang"
"Back to Subject","Kembali ke Subjek"
"Subject Area Management","Pengurusan Kawasan Subjek"
"Update Subject","Kemas Kini Subjek"
"Subject List","Senarai Subjek"
"Subject Management","Pengurusan Subjek"
"Delete Tip","Padam Tip"
"Are you sure you want to delete this tip?","Adakah anda pasti anda mahu memadam tip ini?"
"Rate this tip","Menilai tip ini"
"Tip Content","Kandungan Tip"
"Tip Details","Butiran Tip"
"Tip Status","Status Tip"
"Tip List","Senarai Tip"
"Admin Dashboard","Papan Pemuka Pentadbir"
"Invoice","Invois"
"Manage Admin","Uruskan Pentadbir"
"Manage Client","Uruskan Pelanggan"
"Manage Student","Uruskan Pelajar"
"Master Settings","Tetapan Master"
"Module Management","Pengurusan Modul"
"Price Management","Pengurusan Harga"
"Price & Discounts","Harga & Diskaun"
"User Management","Pengurusan Pengguna"
"Client Dashboard","Papan Pemuka Pelanggan"
"Confirm Account as","Sahkan Akaun sebagai"
"Your email account has been successfully confirmed.","Akaun e-mel anda telah berjaya disahkan."
"You will be receiving an email shortly by our Admin if your registration has been approved or not.","Anda akan menerima e-mel sebentar lagi oleh Pentadbir kami jika pendaftaran anda diluluskan atau tidak."
"If you have not yet receive the email, please check your inbox or your spam folder.","Jika anda masih belum menerima e-mel, sila periksa peti masuk anda atau folder spam anda."
"Bulletin Board","Papan Buletin"
"Not a Parent / Teacher / School?","Bukan Ibu Bapa / Guru / Sekolah?"
"Enter Reset Code","Masukkan Kod Tetapan Semula"
"Reset Code Resent","Kod Tetapan Semula Dihantar Semula"
"Reset Code","Kod Tetapan Semula"
"Resend Code","Kod Dihantar Semula"
"Proceed","Teruskan"
"Retrieve Password","Mendapatkan Kata Laluan"
"Reset Code Sent","Kod Tetapan Semula Dihantar"
