,"ES"
"Not yet started","No ha comenzado todavía"
"Not a Student?","¿No eres Estudiante?"
"Number of Students","Número de Estudiantes"
"On Going","En Marcha"
"or","O"
"Other Address Information (Optional)","Información de Dirección Adicional (Optativo)"
"Other Requests","Otras Solicitudes"
"out of","Fuera de"
"Overall School Progress","Progreso Escolar Total"
"Paid","Pagado"
"Parent","Progenitor"
"Parents should be the one to register, please click","Los progenitores son los que se deberían registrar, por favor haz click"
"Password","Contraseña"
"Password must be at least 8 characters and with at least 1 number.","La contraseña debe tener 8 caracteres y 1 número como mínimo."
"You may now use your new password to login.","Ya puedes usar tu contraseña nueva para iniciar sesión."
"Your password has been set.","Se ha creado tu nueva contraseña."
"Pay Subscription","Pagar Suscripción"
"Payment","Pagos"
"Payment List","Lista de Pagos"
"Payment Management","Manejar Pagos"
"Payment Methods","Métodos de Pago"
"Payment Status","Estado de Pagos"
"Pending","Pendientes"
"Pending Email","Email pendiente"
"Pending Email Address","Dirección de Correo Pendiente"
"Personal Information","Datos Personales"
"Picture Password","Contraseña de Imagen"
"Pick an Avatar for your Profile","Elegir un Avatar para tu Perfil"
"Please Login","Inicia Sesión Por Favor"
"Please add a classroom.","Por favor añade una clase."
"Please select a subject.","Por favor elige una materia."
"Please select an email or a name of a student.","Por favor elige un email o el nombre de un estudiante."
"Please select a subscription.","Por favor elige una suscripción."
"Points","Puntos"
"Post Status","Publicar Estado"
"Postal Code","Código Postal"
"Posted by","Publicado por"
"Posted Since","Publicado desde"
"Previous","Anterior"
"Principal","Principal"
"Price","Precio"
"Print","Imprimir"
"Profile","Perfil"
"Proceed to Dashboard","Ir al Interfaz"
"Proceed to Questions","Ir a Preguntas"
"Proceed to next Question","Ir a Siguiente Pregunta"
"Progress","Progreso"
"Question","Pregunta"
"Quick","Rápido"
"Quick Stats","Estadísticas"
"Rate","Puntuar"
"Rating","Puntuación"
"Regards","Saludos"
"Register","Regístrate"
"Registration Success","Registro completado con éxito"
"Reject","Rechazar"
"Rejected","Rechazado"
"Remove Invoice","Eliminar Factura"
"Remove Student","Eliminar Estudiante"
"Renew Subscription","Renovar Suscripción"
"Review Contents","Revisar Contenidos"
"You need to review the teaching content.","Debes revisar el contenido de la lección."
"Reports","Informes"
"Report Card","Libreta de calificaciones"
"Resend","Reenviar"
"Reset","Reiniciar"
"RESET","REINICIAR"
"Resume","Reanudar"
"Reset Password","Crear contraseña"
"Reset Password Success","Contraseña creada con éxito"
"Retrieve Picture Password","Recuperar la Contraseña de Imagen"
"Review Contents","Revisar Contenido"
"Rewards","Recompensas"
"Reward Points","Puntos de recompensa"
"Reward points to earn","Puntos de recompensa a ganar"
"Rate this Answer","Puntúa esta Respuesta"
"Role","Rol"
"Save","Guardar"
"Save Subscription","Guardar Suscripción"
"Your changes will be saved. Are you sure you want to cancel this subscription?","Se guardarán tus cambios. ¿Estás seguro/a de que quieres cancelar esta suscripción?"
"Save Status","Guardar Estado"
"Save Changes","Guardar Cambios"
"School","Escuela"
"School Address","Dirección de la Escuela"
"School City","Ciudad de la Escuela"
"School Contact Information","Información de Contacto de la Escuela"
"School Information","Información de la Escuela"
"School Level","Nivel de la Escuela"
"School Name","Nombre de la Escuela"
"School State","Estado de la Escuela"
"Scores","Puntuaciones"
"Search","Buscar"
"Seats Taken","Asientos Ocupados"
"See All Points","Ver todos los puntos"
"-- Select Answer Status --","-- Elegir Estado de la Respuesta --"
"-- Select Class --","-- Elegir Clase --"
"-- Select Country --","-- Elegir País --"
"-- Select Difficulty --","-- Elegir Nivel de Dificultad --"
"-- Select Gender --","-- Elegir Género --"
"-- Select Grade --","-- Elegir Grado --"
"-- Select Help Request Status --","-- Elegir Estado de Solicitud de Ayuda --"
"-- Select Learning Style --","-- Elegir Estilo de Aprendizaje --"
"-- Select Level --","-- Elegir Nivel --"
"-- Select Rate --","-- Elegir Puntuación --"
"-- Select Role --","-- Elegir Rol --"
"-- Select Status --","-- Elegir Estado --"
"-- Select Subject --","-- Elegir Materia --"
"-- Select Subscription --","-- Elegir Suscripción --"
"Select a picture for your new picture password","Elegir una foto para tu Contraseña de Imagen nueva"
"Select a picture to confirm your new picture password","Elegir una foto para confirmar tu Contraseña de Imagen nueva"
"Sequence Number","Número de Secuencia"
"Sequence No","Número de Secuencia"
"Set New Password","Crear Contraseña Nueva"
"Set Password","Crear Contraseña"
"Sign in via Facebook","Inicia Sesión con Facebook"
"Sign in with Google","Inicia Sesión con Google"
"Sign Up","Crear una Cuenta"
"Skip","Saltar"
"Starting","Empezando"
"State","Estado"
"Status","Estado"
"Step 1","Paso 1"
"Step 2","Paso 2"
"Stop Impersonating","Dejar de Imitar"
"Street Address","Nombre de la Calle"
"Struggling","En Apuros"
"Student","Estudiante"
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","Estudiantes de 13 años o menores no pueden registrarse. Por favor solicita a uno de los Padres a que se registren en"
"Student Name","nombre del estudiante"
"Student List","Lista de Estudiantes"
"Student Login","Login de Estudiantes"
"Student Report","Informe de Estudiante"
"Student Rewards","Recompensas para Estudiantes"
"Student Registration","Registro de Estudiante"
"Student Status","Estado de Estudiante"
"Students to watch","Estudiantes a seguir"
"Subject","Materia"
"Subject Area","Área de la Materia"
"Subscription","Suscripción"
"Submit","Enviar"
"Sub Total","Subtotal"
"Success!","¡Ha sido un Éxito!"
"Successfully Changed","Cambiado con éxito"
"Successful Payment","Pago Completado"
"Successfully added Student","Estudiante Añadido con éxito"
"Successfully added your help request.","Tu Solicitud de ayuda ha sido añadida con éxito."
"Successfully added your tip.","Tu consejo ha sido añadido con éxito."
"You have successfully completed the payment process.","Has completado el proceso de pago con éxito."
"Successfully removed Student","Estudiante eliminado con éxito"
"Successfully submitted your answer.","Respuesta enviada con éxito."
"You have successfully changed your avatar.","Has cambiado tu avatar con éxito."
"Success! You have added a new tip. Your content is currently being reviewed.","¡Completado! Has añadido un consejo nuevo. El contenido está siendo revisado."
"Success! You have added a new help request. Your content is currently being reviewed.","¡Completado! Has añadido una nueva solicitud de amistad. El contenido está siendo revisado."
"Summary Progress","Resúmen del Progreso"
"Teacher","Profesor"
"Teacher Comparison Progress","Comparación del Progreso de los Profesores"
"Teaching Module Content","Contenido del Módulo de Aprendizaje"
"Teacher Management","Gestión de Profesores"
"Teacher Invitation","Invitación de Profesores"
"Teacher List","Lista de Profesores"
"Terms and Conditions","Términos y Condiciones"
"Test Completed","Test Completado"
"Time Remaining","Tiempo Disponible"
"Tips","Consejos"
"Tip List","Lista de Consejos"
"Tip Details","Detalles de los Consejos"
"Tips / Help","Consejos/Ayuda"
"Tips & Help Requests","Consejos & Solicitudes de Ayuda"
"Title","Título"
"To","A"
"to register.","para registrarse."
"Toggle navigation","Navegación por interruptor"
"Total","Total"
"Total # of Seats","Número Total de Asientos"
"Total Price","Precio Total"
"Type","Tipo"
"Update","Actualizar"
"You have successfully updated your profile.","Has actualizado tu perfil con éxito."
"Upload CSV file","Cargar archivo CSV"
"USD$","USD"
"User","Usuario"
,
"Username","Nombre de usuario"
"Username address is available.","La dirección del nombre de usuario está disponible."
"Username or Email","Nombre de usuario o Email"
"Verify","Verificar"
"View Client Account Profile","Ver Perfil de la Cuenta del Cliente"
"View Contents","Ver Contenidos"
"View Class Details","Ver Detalles de la Clase"
"View Image","Ver Imagen"
"View List","Ver Lista"
"View More","Ver Más"
"View Payment","Ver Pago"
"View Payment List","Ver Lista de Pagos"
"View Profile","Ver Perfil"
"View Questions","Ver Preguntas"
"View Student","Ver Estudiante"
"Welcome","Bienvenido"
"Wrong.","Incorrecto."
"Yes","Sí"
"You have successfully registered.","Te has registrado con éxito."
"Your Requests","Tus Solicitudes"
"Your picture password has been reset.","Contraseña de Imagen ha sido cambiada."
"You may now use your new picture password to login.","Puedes usar tu contraseña de imagen para iniciar sesión."
,
,
"Admin Dashboard","Administrar interfaz"
,
,
"Enter Code","Introducir Código"
"Password Reset","Reiniciar contraseña"
,
,
"Forgot Password","¿Has olvidado tu contraseña?"
,
,
"Add Admin User","Añadir Usuario Administrador"
"Super Admin","Super Administrador"
,
,
"Delete Admin","Borrar Administrador"
"Are you sure you want to delete this admin user?","¿Estás seguro de que quieres borrar este usuario administrador?"
,
,
"Edit Email Address","Editar Dirección de Email"
"New Email Address","Nueva Dirección de Email"
,
,
"Admin Management","Gestión del Administrador"
"Add Admin","Añadir Administrador"
"Admin List","Lista de Administradores"
,
,
"An email has been sent to ","Se ha enviado un email a"
"with the password that you have set.","con la contraseña que has creado."
,
,
"View Admin User","Ver Usuario Administrador"
"Edit Admin User","Editar Usuario Administrador"
,
,
"Add Age Group","Añadir Grupo de Edad"
"-- Select Age --","-- Elegir Edad --"
"Total Points Earned","Total Puntos Obtenidos"
,
,
"Edit Age Group","Editar Grupo de Edad"
,
,
"Age Group List","Lista Grupos de Edad"
"Delete Age Group","Borrar Grupo de Edad"
"Are you sure you want to delete this age group?","¿Estás seguro de que quieres borrar este grupo de edad?"
,
,
"Client Announcement","Anuncio de Cliente"
"Successfully created this announcement.","Has creado este anuncio con éxito."
"Your Message","Tu Mensaje"
,
,
"Add Client","Añadir Cliente"
,
,
"Client Details","Detalles del Cliente"
,
,
"Delete Client","Borrar Cliente"
"Are you sure you want to delete this account?","¿Estás seguro de que quieres borrar esta cuenta?"
,
,
"Records Not Inserted","Registros no incluidos"
"Registered Users","Usuarios Registrados"
"Not Registered","No Registrado"
,
,
"Client List","Lista de Clientes"
"Import Teacher","Importar Profesor"
,
,
"Add Content","Añadir Contenido"
"Content Code","Código de Contenido"
"Content Text","Texto del Contenido"
"Module Details","Detalles del Módulo"
"Media Type","Tipo de Material"
"-- Select Media Type --","-- Elegir Tipo de Material --"
"Teaching Module Name","Nombre del Módulo de Enseñanza"
"Video Url","URL del Video"
"Video url should have this format:","La URL del video debería tener este formato:"
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
,
,
"View Content Image","Ver Imagen del Contenido"
,
,
"Delete Module Content","Borrar Contenido del Módulo"
"Are you sure you want to delete this content?","¿Estás seguro de que quieres borrar este contenido?"
,
,
"Module Content List","Lista de Contenido del Módulo"
,
,
"Add Grade","Añadir Grado"
"Grade Name","Nombre del Grado"
"Grade Code","Código del Grado"
"Group","Grupo"
"-- Select Age Group --","-- Elegir Grupo de Edad --"
,
,
"Delete Grade","Borrar Grado"
"Are you sure you want to delete this grade?","¿Estás seguro de que quieres eliminar este grado?"
,
,
"Update Grade","Actualizar Grado"
,
,
"Grade List","Lista de Grados"
"Grade Management","Gestión de Grados"
,
,
"Delete Help Request","Borrar Solicitud de Ayuda"
"Are you sure you want to delete this help request?","¿Estás seguro que quieres borrar esta solicitud de ayuda?"
"Request Content","Solicitar Contenido"
"Request Details","Detalles de la Solicitud"
"-- Select Type --","-- Elegir Tipo --"
,
,
"Request Status","Estado de la Solicitud"
"Help Request Title","Título de la Solicitud de Ayuda"
,
,
"Help Request List","Lista de Solicitudes de Ayuda"
,
,
"Delete Help Request Answer","Borrar la Respuesta de la Solicitud de Ayuda"
"Are you sure you want to delete this help request answer?","¿Estás seguro de que quiere borrar esta respuesta de solicitud de ayuda?"
,
,
"Answer Content","Contenido de la Respuesta"
"Answer Details","Detalles de la Respuesta"
"Request Answer Status","Estado de la Solicitud de Respuesta"
,
,
"Help Answer List","Lista de Respuestas"
,
,
"Invoice List","Lista de Facturas"
"Invoice Management","Gestión de Facturas"
"Order Number","Número de Orden"
"Order #","Orden "
"-- Select Status --","-- Elegir Estado --"
,
,
"Invoice No","Número de Factura"
"Order List","Lista de Facturas"
"View Invoice","Ver Factura"
,
,
"Back to Class List","Volver a Lista de Clase"
"View All Students under this Order","Ver todos los Estudiantes bajo esta Orden"
,
,
"Administrator Logs","Registros del Administrador"
"Error Logs","Registro de Errores"
"Security Logs","Registro de Seguridad"
"System Logs","Registro de Sistemas"
"Users Logs","Registro de Usuarios"
,
,
"Administrator","Administrador"
"Error|Errors","Error|Errores"
"Users","Usuarios"
"Security","Seguridad"
"System","Sistema"
,
,
"API Accessed","API Accedida"
"Info","Información"
"Log Details","Detalles de registro"
"Page Accessed","Página Accedida"
"-- Select Response Code --","-- Elegir Código de Respuesta --"
"Response Status","Estado de la Respuesta"
"-- Select Admin Type --","-- Elegir Tipo de Administrador --"
"Admin Type","Tipo de Administrador"
"Value","Valor"
,
,
"Download","Descargar"
"Log Files","Registro de Archivos"
,
,
"Agent Used","Agente usado"
"HTTP Response","Respuesta HTTP"
"Log Type","Tipo de Registro"
"-- Select Log Type --","-- Elegir Tipo de Registro --"
,
,
"-- Select User Type --","-- Elegir Tipo de Usuario --"
"User Type","Tipo de Usuario"
,
,
"Add Module","Añadir Módulo"
"Common Core Area","Metas Estandard de la Área"
"Common Core URL","URL de Metas Estandard"
"Points to Unlock","Puntos a Desbloquear"
"Points to Finish","Puntos para terminar"
"-- Select Subject --","-- Elegir Materia --"
,
,
"Delete Module","Borrar Módulo"
"Are you sure you want to delete this module?","¿Estás seguro de que quieres borrar este Módulo?"
"Module Management","Gestión de Módulos"
"Module Name","Nombre del Módulo"
"Module List","Lista de Módulos"
,
,
"Contents","Contenidos"
"Module Content","Contenido del Módulo"
"Q & A","Preguntas & Respuestas"
"View Image","Ver Imagen"
"View Module","Ver Módulo"
,
,
"Add Bulk Discount","Añadir Descuento Total"
"Minimum Seats","Mínimo de Asientos"
"Percentage","Porcentaje"
"Percentage List","Lista de Porcentajes"
"Update Bulk Discount","Actualizar Descuento Total"
"Age Group","Grupo de Edad"
,
,
"Add Client Discount","Añadir Descuento al Cliente"
"Client Discount List","Lista de Descuentos del Cliente"
"Update Client Discount","Actualizar Descuento del Cliente"
"Discount Percentage","Porcentaje de Descuento"
,
,
"Add Price","Añadir Precio"
"Days","Días"
"Price List","Lista de Precios"
"Update Price","Actualizar Precios"
"Subscription Name","Nombre de la Suscripción"
,
,
"Bulk Settings","Ajustes Totales"
"Client Discount","Descuento del Cliente"
"Price & Discount","Precio & Descuento"
"Price Settings","Ajustes de Precio"
,
,
"Answer Code","Código de Respuesta"
"Answer Image","Imagen de la Respuesta"
"Answer List","Lista de Respuestas"
"Correct Answer","Respuesta Correcta"
"oordinate","Coordinar"
"Count","Contar"
"Delete Answer","Borrar Respuesta"
"Are you sure you want to delete this Answer?","¿Estás seguro de que quieres borrar esta respuesta?"
"Field","Campo"
"Field Name","Nombre del Campo"
"Label","Etiqueta"
"Points Equivalent","Puntos Equivalentes"
"-- Select Answer --","-- Elegir Respuesta --"
"X Axis","X Eje"
"Y Axis","Y Eje"
"X Coordinates","X Coordenadas"
"Y Coordinates","Y Coordenadas"
,
,
,
"Points Earned","Puntos Conseguidos"
"Fill in the Blanks","Llenar los espacios"
"Graph","Gráfico"
"Horizontal","Horizontal"
"Multiple Choice","Respuesta Múltiple"
"Order|Orders","Orden|Ordenes"
"Orientation","Orientación"
"Provide","Proporcionar"
"Quadrant","Cuadrante"
"Question Details","Detalles de la Pregunta"
"Question Image","Imagen de la Pregunta"
"answer should be comma separated to indicate the order.","La respuesta debería estar separada por comas para indicar el orden."
"required information","información requerida"
"Question Text","Texto de la Pregunta"
"Question Type","Tipo de Pregunta"
"-- Select Orientation --","-- Elegir Orientación --"
"-- Select Question Type --","-- Elegir Tipo de Pegunta --"
"Vertical","Vertical"
,
,
"Add Q & A","Añadir Preguntas & Respuestas"
"Delete Question","Borrar la Pregunta"
"Are you sure you want to delete this question?","¿Estás seguro de que quieres borrar esta pregunta?"
"Question List","Lista de Preguntas"
,
,
"Delete Image","Borrar Imagen"
"Are you sure you want to delete this image?","¿Estás seguro de que quieres borrar esta imagen?"
,
,
"Delete Student","Borrar Estudiante"
"Are you sure you want to delete this account?","¿Estás seguro de que quieres borrar esta cuenta?"
,
,
"Date Earned","Fecha Conseguido"
"Delete Badge","Borrar Insignia"
"Are you sure you want to delete this Badge?","¿Estás seguro de que quieres borrar esta insignia?"
"Edit Points","Editar los Puntos"
"Edit Badges","Editar Insignias"
"Event","Evento"
,
,
"Manual","Manual"
"Student Management","Gestión de Estudiantes"
"Student List","Lista de Estudiantes"
,
,
"Badge name","Nombre de Insignia"
"Point History","Historial de Puntos"
,
,
"Student Details","Detalles del Estudiante"
"View Rewards","Ver recompensas"
,
,
"Add Subject","Añadir Materia"
"Subject Code","Código de Materia"
,
,
"Delete Subject","Borrar Materia"
"Are you sure you want to delete this subject?","¿Estás seguro de que quieres borrar esta materia?"
,
,
"Add Subject Area","Añadir Área de Materia"
"Area Code","Código de área"
"Subject Name","Nombre de Materia"
,
,
"Delete Subject Area","Eliminar área de la materia"
"Are you sure you want to delete this subject area?","¿Estás seguro de que quieres borrar esta área de materia?"
,
,
"Update Subject Area","Actualizar área de materia"
,
,
"Back to Subject","Volver a Materia"
"Subject Area List","Lista de áreas de Materia"
"Subject Area Management","Gestión de áreas de Materia"
,
,
"Update Subject","Actualizar materia"
,
,
"Subject List","Lista de Materias"
"Subject Management","Gestión de Materias"
,
,
"Delete Tip","Borrar Consejo"
"Are you sure you want to delete this tip?","¿Estás seguro de que quieres borrar este consejo?"
,
,
"Rate this tip","Puntua este consejo"
"Tip Content","Contenido del consejo"
"Tip Details","Detalles del consejo"
"Tip Status","Estado del consejo"
,
,
"Tip List","Lista de consejos"
,
,
"Admin Dashboard","Interfaz de Administrador"
"Invoice","Factura"
"Manage Admin","Gestionar Administradores"
"Manage Client","Gestionar clientes"
"Manage Student","Gestionar estudiantes"
"Master Settings","Ajustes Originales"
"Module Management","Gestión de Módulos"
"Price Management","Gestión de Precios"
"Price & Discounts","Precios & Descuentos"
"User Management","Gestión de Usuarios"
,
,
,
"Client Dashboard","Interfaz de Cliente"
,
,
"Confirm Account as","Confirmar Cuenta como"
"Your email account has been successfully confirmed.","Tu email ha sido confirmado con éxito."
"You will be receiving an email shortly by our Admin if your registration has been approved or not.","Recibirás un email de nuestro administrador confirmando si tu registro ha sido aprobado o no."
"If you have not yet receive the email, please check your inbox or your spam folder.","Si no has recibido tu email aún, por favor comprueba que no está en tu bandeja de entrada o en la carpeta de spam."
,
,
"Bulletin Board","Tablón de anuncios"
"Not a Parent / Teacher / School?","¿No eres un Padre/Maestro/Escuela?"
,
,
"Enter Reset Code","Introduzca código"
"Reset Code Resent","Código reenviado"
"Reset Code","Código"
"Resend Code","Reenviar código"
"Proceed","Continuar"
,
,
"Retrieve Password","Recuperar contraseña"
"Reset Code Sent","Código Enviado"
"Please check your inbox or your spam folder for the email.<br />The email contains a reset code that you need to input below.","Por favor comprueba tu bandeja de entrada o la carpeta de spam para ver si te ha llegado el email. El email contiene el código que necesitas incluir abajo."
,
,
"Teacher Registration","Registro de profesores"
"Register New Account","Registrar Cuenta Nueva"
,
,
"Please enter the confirmation code to confirm your email account.","Por favor introduzca el código de confirmación para confirmar su cuenta de email."
,
,
