"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
2016,"Confirmation code should be number only.","Código de confirmación debería ser sólo números."
2017,"Picture Password is required.","Contraseña de imagen es necesaria."
2018,"Username does not exist.","Nombre de usuario no existe."
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","Nombre de usuario o email inválido, o tu cuenta ha sido bloqueada.Por favor, reestablece tu contraseña haciendo click en ""Olvide mi contraseña""."
2020,"Account is deleted.","Cuenta eliminada."
2021,"Username is invalid.","Nombre de usuario no válido."
2022,"The school level field is required.","El campo de Nivel de Escuela es necesario."
2023,"The school level field should be number only.","El campo de Nivel de Escuela sólo debería incluir números."
2024,"Confirmation code is invalid.","Código de confirmación no válido."
2025,"Reset code is required.","Código de confirmación es necesario."
2026,"Reset code should be number only.","Código de confirmación sólo debería incluir números."
2027,"Reset code is invalid.","Código de confirmación no válido."
2028,"The Student has to be 14 years old or above to be able to register.","El estudiante debe tener 14 años o más para poder registrarse."
2029,"Access authentication failure.","Autentificación para acceder fallida."
2030,"Access authorization is required.","Autentificación para acceder es necesaria."
2031,"Access authorization is invalid.","Autentificación para acceder no válida."
2032,"Unauthorized access.","Acceso no autorizado."
2033,"Username/Email or password is invalid","Nombre de usuario/Email o contraseña no válido."
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","Nombre de usuario/Email o contraseña no válido. ¿Has verificado tu email? Por favor ve a tu bandeja de entrada. Tu cuenta puede haber sido bloqueada, por favor haz click en ""olvide mi contraseña"" para reestablecerla."
2035,"Account has been locked. Please click on forgot password to reset your password.","Tu cuenta ha sido bloqueada, por favor haz click en ""olvide mi contraseña"" para reestablecerla."
2036,"Client has active transaction.","El cliente tiene transacciones activas."
2037,"Student has an existing subscription.","Estudiante ya tiene una suscripción."
2038,"No student added.","Ningún estudiante ha sido añadido."
2039,"Student is not associated to the parent.","Estudiante no asociado a un progenitor."
2040,"Student already exist.","Estudiante ya existe."
2042,"Student has already rated this help request answer.","El estudiante ya ha puntuado esta respuesta de solicitud de ayuda."
2043,"Student cannot rate his/her own help request answer.","El estudiante no puede puntuar su propia respuesta de solicitud de ayuda."
2044,"The Postal Code format is invalid.","El formato del código postal no es válido."
2045,"The Postal Code may not be greater than 10 characters.","El código postal no puede tener más de 10 digitos."
2046,"The contact number should not exceed 20 digits.","El número de contacto no puede tener más de 20 digitos."
2049,"Account has already been registered.","La cuenta ya ha sido registrada."
2050,"Student has an active subscription.","El estudiante tiene una suscripción activa."
2051,"Class has already ended.","La clase ya ha terminado."
2052,"No Image","No hay imagen."
2053,"File Location is invalid.","Localización del archivo no válida."
2054,"File deleted.","Archivo borrado."
2055,"Practice Exercise has already been Completed.","Ejercicio de práctica ya completado."
2056,"You need to review the teaching content.","Debes revisar el contenido educativo."
2057,"Unable to Delete record.","No es posible borrar este registro."
2058,"Module is incomplete. Please contact administrator.","Módulo incompleto. Por favor, pongase en contacto con el administrador."
2059,"File does not exist.","Archivo no existe."
2060,"Student is currently login on another device.","Estudiante ha iniciado sesión en otro dispositivo."
2061,"Client is currently login on another device.","Cliente ha iniciado sesión en otro dispositivo."
2062,"Admin is currently login on another device.","Administrador ha iniciado sesión en otro dispositivo."
2063,"User is currently login on another device.","Usuario ha iniciado sesión en otro dispositivo."
2063,"Invalid export file format","Formato de exportación de archivo no válido."
2064,"File does not exist.","Archivo no existe."
2065,"You already have this accessory","Ya tienes este accesorio."
2066,"No Accessories available","No hay accesorios disponibles."
2067,"This accessory is not available for your avatar","Este accesorio no está disponible para tu avatar."
2068,"You do not have enough points to buy this accessory","No tienes suficientes puntos para comprar este accesorio."
2069,"Invalid graph answer.","Gráfico de respuesta inválido."
2070,"Module is not available","Módulo no disponible."
2100,"Reset code is invalid.","Código no válido."
2101,"Password image is invalid.","Contraseña de imagen no válido."
2102,"Access token expired.","Código de Acceso caducado."
2103,"Confirmation code is invalid.","Código no válido."
2104,"Username already exists.","Nombre de usuario ya existe."
2105,"School does not exist.","Escuela no existe."
2106,"Email does not match.","Email no coincide."
2107,"Your current email and new email are the same.","Tu email actual y el nuevo son el mismo."
2108,"New Email does not exist.","Nuevo email no existe."
2109,"Your account has already been confirmed.","Tu cuenta ya ha sido confirmada."
2110,"You have already setup the forgot password steps.","Ya has completado los pasos para recuperar la contraseña."
2111,"You have already setup the email confirmation steps.","Ya has completado los pasos para confirmar el email."
2112,"Password must be at least 8 characters and with at least 1 number.","La contraseña debe tener 8 caracteres como mínimo y debe contener 1 número."
2113,"Username and password is invalid.","Nombre de usuario y contraseña no válidos."
2114,"Your password is incorrect.","Contraseña no es correcta."
2115,"Contact number format is incorrect.","Formato del número de contacto incorrecto."
2116,"School name is not available.","Nombre de Escuela no disponible."
2117,"The Student has to be 14 years old or above.","El estudiante debe tener 14 años o más."
2118,"Your account is being reviewed or contact administrator for assistance.","Tu cuenta está siendo revisada o contacta con un administrador para pedir ayuda."
2119,"This record is being used.","Este registro está siendo usado"
2120,"This record is invalid.","Este registro no es válido."
2121,"Unable to Delete. Principal is associated to a school.","No se puede eliminar. Director ya asociado a una escuela"
2122,"Unable to Delete. Teacher is associate to a class.","No se puede eliminar. Profesor ya asociado a una clase."
2123,"Unable to Delete. Parent is associated to a student.","No se puede eliminar. Progenitior ya asociado a un estudiante."
2124,"Student does not exist.","Estudiante no existe."
2125,"Student is already in a class.","El estudiante ya está en una clase."
2126,"Unable to Delete. Student is associated to a Parent.","No se puede eliminar. Estudiante ya asociado a un Progenitor."
2127,"Unable to Delete. Student has Points.","No se puede eliminar. Estudiante ya tiene puntos."
2128,"Unable to Delete. Student has Badge.","No se puede eliminar. Estudiante tiene insignias."
2129,"Unable to Delete. Student has Class.","No se puede eliminar. Estudiante tiene clase."
2130,"Parent does not have Student.","Progenitores no tienen estudiantes."
2131,"Student is already added.","El Estudiante ya ha sido añadido."
2132,"Invitation code is invalid.","Cóidgo de invitación no válido."
2133,"Registration token is invalid.","Vale de registro no válido."
2134,"Can't change School: Student has active Subscription.","No puedes cambiar la Escuela: el Estudiante tiene una Suscripción Activa."
2135,"The class is already full.","La clase ya está llena."
2136,"Unable to Delete.Tip has rating.","No se puede eliminar. Consejo con puntuación."
2137,"Unable to delete. Help request has answers.","No se puede eliminar. Solicitud de ayuda con respuestas."
2138,"Password image is required.",
2139,"Points to unlock must be lesser than Points to finish.","Los puntos para desbloquear deben ser menos que los Puntos para terminar."
2140,"Unable to Delete. Module has contents.","No se puede eliminar. El Módulo tiene contenido."
2141,"Unable to Delete. Module has questions.","El Módulo tiene preguntas."
2142,"The image must be a file of type: jpeg, jpg, png.","La imagen debe ser un archivo con formato: jpeg, jpg, png."
2143,"The image size had exceeded 2MB.","El tamaño de la imagen es mayor a 2MB."
2144,"Module does not exist","Módulo no existe."
2145,"Student needs to watch the videos again.","El Estudiante debe ver los vídeos otra vez."
2146,"Prevent having dot for an image file name.","El nombre de archivo de la imagen no puede incluir un unto."
2147,"Unable to Delete. Subscription already expired.","No se puede eliminar. La suscripción ya ha caducado."
2148,"Unable to generate report.","No se puede generar este informe."
2149,"The file must be a file of type: csv.","El archivo debe tener el formato: csv."
2150,"This tip has an existing rating.","Este consejo ya tiene puntuación."
2151,"This help answer has an existing rating.","Esta respuesta de ayuda ya tiene puntuación."
2152,"The new email and the current email are the same.","El email nuevo y el actual son iguales."
2153,"Grade","Grado"
2154,"Country","País"
2155,"Subject","Materia"
2156,"Area","Area"
2157,"School","Escuela"
2158,"unlock","desbloquear"
2159,"finish","terminar"
2160,"module","módulo"
2161,"Module","Módulo"
2162,"Question","Pregunta"
2163,"Code","Código"
2164,"Points Equivalent","Puntos Equivalentes"
2165,"answer text","texto de la respuesta"
2166,"image","imagen"
2167,"empty","vacío"
2168,"Difficulty","Dificultad"
2169,"Points earned","Puntos ganados"
2170,"Sequence number","Número de Secuencia"
2171,"Answer","Respuesta"
2172,"Description","Descripción"
2173,"Question order","Orden de la pregunta"
2174,"Student ID","ID del Estudiante"
2175,"Teacher","Profesor"
2176,"Client","Cliente"
2177,"Number of seats","Número de asientos"
2178,"Seats taken","Asientos ocupados"
2179,"Class name","Nombre de la clase"
2180,"Class name should be a minimum of 2 characters.","El nombre de la clase debe tener un mínimo de 2 caracteres."
2181,"Class name may not be greater than 128 characters.","El nombre de la clase no puede tener más de 128 caracteres."
2182,"Class","Clase"
2183,"Date range should be today or after the student was added.","La fecha debe ser hoy o después de que el estudiante fuera añadido."
2184,"Client Name","Nombre del Cliente"
2185,"Name","Nombre"
2186,"Selected country","País seleccionado"
2187,"Postal Code","Código Postal"
2188,"Contact number","Número de Contacto"
2189,"Password image",
2190,"Grade Code","Código del Grado"
2191,"Group","Grupo"
2192,"Student","Estudiante"
2193,"Help request","Solicitud de Ayuda"
2194,"Rating","Puntuación"
2195,"User","Usuario"
2196,"Subject Area","Área de la Materia"
2197,"Link","Link"
2198,"Invoice","Factura"
2199,"Subscription","Suscripción"
2200,"Email already exists.","Email ya existe."
2201,"Username already exists.","Nombre de usuario ya existe."
2202,"School Name already exists.","Escuela ya existe."
2203,"Discount","Descuento"
2204,"Test","Test"
2205,"Section","Sección"
2206,"Selected Answer","Respuesta Elegida"
2207,"Age","Edad"
2208,"Parent","Padre"
2209,"Order","Orden"
2210,"Badge name","Nombre de la insignia"
2211,"Content","Contenido"
2212,"Event","Evento"
2213,"Points","Puntos"
2214,"Tip","Consejo"
2215,"Area Code","Código de Área"
2216,"Subject Code","Código de Materia"
2217,"Learning Style","Estilo de Aprendizaje"
2218,"Media","Material"
2219,"Image","Imagen"
2220,"Content URL","URL de Contenido"
2221,"Teaching Module","Módulo de Enseñanza"
2222,"Minimum Seats already exists.","Número mínimo de asientos ya existe."
"//  Parent Client Error Messages",,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","Tienes que actualizar tus datos de contacto para poder comprar una suscripción."
"//account status messages",,
2230,"Account is inactive.","Cuenta inactiva."
2231,"Account Locked","Cuenta Bloqueada"
2232,"Account Deleted","Cuenta Borrada"
"// login error messages",,
2233,"Password is invalid.","Contraseña no válida."
2234,"Unauthorized Registration","Registro no Autorizado"
"//Announcement messages.",,
2500,"Date range should be between today and future dates.","La fecha debe ser entre hoy y otra fecha futura."
2600,"Cannot delete subject. Subject has subject areas.","No se puede borrar el asunto. El asunto tiene áreas de asunto."
2601,"Cannot delete admin.","No se puede borrar el administrador."
2602,"The school is invalid.","La escuela no es válida."
"// Custom country messages.",,
2603,"The country field is required.","Es necesario rellenar el campo de país."
2604,"The country is invalid","El país no es válido"
7000,"Hmm, something went wrong. Please contact the system administrator.","Hmm, algo ha salido mal. Por favor, contacte el administrador del sistema."
"//  For subscription request error messages",,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number","El :attribute debe ser un número"
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","Es necesario rellenar el campo de Nombre de la Suscripción"
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","El formato del Nombre de la suscripción no es válido."
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","Es necesario rellenar el estilo de aprendizaje"
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","El formato del estilo de aprendizaje no es válido."
"//  For trial module error messages",,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","Se necesitan respuestas"
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","Marca un punto para contestar"
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","Arrastra al menos un objeto para contestar"
,,
"Module Names",,
,"Abbreviations","Abreviaturas"
,"Action Verbs","Verbos de acción"
,"Add And Subtract Decimals","Añadir y sustraer Decimales"
,"Add And Subtract Fractions With Like Denominators","Añadir y sustraer Fracciones con Denominadores"
,"Add And Subtract Integrers","Añadir y sustraer Integrales"
,"Addition","Sumas"
,"Addition And Subtraction","Sumas y Restas"
,"Addition large numbers","Sumar números grandes"
,"Addition- Skill Builders","Sumas- Prácticas"
,"Addition Three Digit","Sumas 3 Dígitos"
,"Addition Two Digit","Sumas 2 Dígitos"
,"Addition, One Digit","Sumas 1 Dígito"
,"Adjectives","Adjetivos"
,"Adjectives And Adverbs","Adjetivos y Adverbios"
,"Adjectives Phrases","Adjetivos Compuestos"
,"Adjectives That Compare","Adjetivos Comparativos"
,"Adverbs","Adverbios"
,"Adverbs That Compare","Adverbios Comparativos"
,"Adverbs-Phrases","Adverbios Compuestos"
,"Algebra","Algebra"
,"Alphabetical Order","Orden alfabético"
,"Analogies","Analogías"
,"Antonyms","Sinónimos"
,"Apostrophes","Apostrofes"
,"Appositive","Aposición"
,"Articles","Artículos"
,"Basic Verbs","Verbos básicos"
,"Capitalization","Mayúsculas"
,"Classification","Clasificación"
,"Colons","Comas"
,"Combining Sentences","Combinar frases"
,"Combining Sentences, Subjects","Combinar frases, Materias"
,"Commas","Comas"
,"Common And Proper Nouns","Nombres propios y comunes"
,"Comparative And Superlative","Comparativos y Superlativos"
,"Comparative And Superlative Adjectives","Adjetivos Comparativos y Superlativos"
,"Comparative And Superlative Adverbs","Adverbios Comparativos y Superlativos"
,"Compare Fractions","Comparar fracciones"
,"Comparing","Comparando"
,"Comparing And Ordering","Comparando y ordenando"
,"Compound Words","Palabras compuestas"
,"Conjuctions","Conjunciones"
,"Consumer Math","Matemáticas del Consumidor"
,"Contractions","Contracciones"
,"Coordinate Graphs","Coordenar Gráficos"
,"Coordinating Conjuctions","Conjunciones coordinadoras"
,"Cordinate Graphs","Gráficos de Coordenadas"
,"Correlative Conjunctions","Conjunciones Correlativas"
,"Counting","Cuentas"
,"Counting And Patterns","Cuentas y patrones"
,"Dashes","Guiones"
,"Data Ad Graphs","Datos y Gráficos"
,"Data And Graphs","Datos y Gráficos"
,"Decimals","Decimales"
,"Describing Words","Describiendo palabras"
,"Dictionary Skills","Herramientas del Diccionario"
,"Direct/Indirect Objects","Objetos Directos/Indirectos"
,"Divide Fractions","Dividir Fracciones"
,"Division","Divisiones"
,"Division With Decimals","Divisiones con decimales"
,"Double Negatives","Negativos dobles"
,"Equations And Variables","Ecuaciones y Variables"
,"Equivalent Fractions","Fracciones Equivalentes"
,"Estimation","Estimaciones"
,"Estimation And Rounding","Estimaciones y redondeo"
,"Exclamatory Sentences In Response To Prompts","Frases exclamatorias en respuesta a órdenes"
,"Exponents","Exponentes"
,"Exponents And Square Roots","Exponentes y raíces cuadradas"
,"Figures Of Speech","Expresiones"
,"Formal And Informal Language","Lenguaje formal y coloquial"
,"Fraction Equivalence And Ordering","Equivalencia de fracciones y órden"
,"Fractions","Fracciones"
,"Fractions And Mixed Numbers","Fracciones y Números mezclados"
,"Frequently Confused Words","Errores frecuentes con palabras"
,"Functions","Funciones"
,"Future Tense","Tiempo futuro"
,"Geometry","Geometría"
,"Greek And Latin Roots","Raíces Griegas y Latinas"
,"Helping Verbs","Verbos de ayuda"
,"Homophones","Homófonos"
,"Idioms And Adages","Modismos y Proverbios"
,"Inappropriate Pronoun Shifts","Cambios de Pronombre erroneos"
,"Inappropriate Shifts In Verb Tense","Cambios de Tiempo Verbal erroneos"
,"Indefinite Pronouns","Pronombres indefinidos"
,"Integers","Números Enteros"
,"Irregular Past Tense","Tiempos verbales irregulares"
,"Irregular Plural Nouns","Nombres plurales irregulares"
,"Irregular Verbs","Verbos irregulares"
,"Letters","Letras"
,"Logical Reasoning","Razonamiento lógico"
,"Measurement","Medición"
,"Measuremnt","Medición"
,"Methaphors","Metáforas"
,"Mixed Operations","Operaciones mezcladas"
,"Modal Auxiliaries","Auxiliares modales"
,"Money","Dinero"
,"Multiple Meaning Words","Palabras con múltiples significados"
,"Multiplication","Multiplicaciones "
,"Multiplication (Intro)","Multiplicaciones (introducción)"
,"Multiply And Divide Divisions","Multiplicar y Dividir Divisiones"
,"Multiply Decimals","Multiplicar Decimales"
,"Multiply Fractions","Multiplicar Fracciones"
,"Names Of Numbers","Nombres de los números"
,"Nouns","Nombres"
,"Number Sense","Sentido de los números"
,"Number Theory","Teoría de los números"
,"Numbers And Comparing","Nombres y comparaciones"
,"Operations With Fractions","Operaciones con fracciones"
,"Order Sentences","Ordenar frases"
,"Patterns","Patrones"
,"Patterns And Sequence","Patrones y Secuencias"
,"Patterns Sequencing","Ordenar Patrones"
,"Perfect Verb Tenses","Verbos de tiempo perfecto"
,"Personal Pronouns","Pronombres personales"
,"Personifications","Personificaciones"
,"Place Values","Valores de lugar"
,"Place Values And Number Sense","Valores de lugar y sentido de los números"
,"Plural Nouns","Nombres plurales"
,"Possessive Nouns","Nombres posesivos"
,"Possessive Pronouns","Pronombres posesivos"
,"Prefixes","Prefijos"
,"Prefixes And Suffixes","Prefijos y Sufijos"
,"Prepositions","Preposiciones"
,"Probability","Probabilidad"
,"Probability And Statistics","Probabilidad y Estadísticas"
,"Problem Solving","Solución de Problemas"
,"Problem Solving And Estimation","Solución de Problemas y Estimaciones"
,"Progressive Verb Tenses","Tiempos verbales progresivos"
,"Pronouns","Pronombres"
,"Pronouns And Antecedents","Pronombres y antecedentes"
,"Properties","Propiedades"
,"Punctuation","Puntuación"
,"Quotations And Dialogue","Citas y Diálogos"
,"Rational Numbers","Números Racionales"
,"Ratios , Portions And Percents","Ratios, porciones y porcentajes"
,"Reflexive And Intensive Pronouns","Pronombres reflexivos e intensivos"
,"Reflexive Pronouns","Pronombres reflexivos"
,"Regular Past Tense","Pasado regular"
,"Regular Plural Nouns","Nombres plurales regulares"
,"Relative Pronouns","Pronombres relativos"
,"Relative Pronouns And Relative Adverbs","Pronombres relativos y Adverbios Relativos"
,"Restrictive And Nonrestrictive Elements","Elementos reestrictivos y no reestrictivos"
,"Rounding","Redondeo"
,"Sentence Types","Tipos de frases"
,"Sentences, Fragments, And Run-Ons","Frases, fragmentos y oraciones mal construidas"
,"Shading Of Meaning","Significados ambiguos"
,"Similes","Similes"
,"Similes And Metaphors","Similes y metaforas"
,"Simple Complete Sentences","Frases simples completas"
,"Simple Predicates","Predicados simples"
,"Simple Verb Tense Review","Revisión de tiempos verbales simples"
,"Simple, Compound, And Complex Sentences","Frases simples completas"
,"Single Nouns","Nombres singulares"
,"Spatial Sense","Sentido espacial"
,"Statistics","Estadísticas"
,"Subject And Object Pronouns","Pronombre de sujeto y objeto"
,"Subject And Predicate","Sujeto y Predicado"
,"Subject Pronouns","Pronombres de sujeto"
,"Subject-Verb Agreement","Acuerdo Sujeto-Verbo"
,"Subordinating Conjunctions","Conjunciones subordinadas"
,"Subtraction","Restas"
,"Subtraction One Digit","Restas 1 Número"
,"Subtraction Three Digit","Restas 2 Números"
,"Subtraction Two Digit","Restas 3 Números"
,"Suffixes","Sufijos"
,"Synonyms","Sinónimos"
,"Thesarus Skills","Herramientas Thesarus"
,"Time","Tiempo"
,"Titles","Títulos"
,"To Be And To Have","Ser y Tener"
,"Use of commas","Uso de comas"
,"Vague Pronoun References","Referencias de Pronombres vagos"
,"Verb Phrases","Verbos compuestos"
,"Verb-Actions Or To Be","Verbos de acción o Ser"
,"Verbs","Verbos"
,"Verbs Infinitive","Verbos infinitivos"
,"Vocab Grade 1 A-C","Vocabulario Grado 1 A-C"
,"Vocab Grade 1 D-H","Vocabulario Grado 1 D-H"
,"Vocab Grade 1 I-L","Vocabulario Grado 1 I-L"
,"Vocab Grade 1 M-P","Vocabulario Grado 1 M-P"
,"Vocab Grade 1 Q-T","Vocabulario Grado 1 Q-T"
,"Vocab Grade 1 U-Z","Vocabulario Grado 1 U-Z"
,"Vocab Grade 2 A-C","Vocabulario Grado 2 A-C"
,"Vocab Grade 2 D-H","Vocabulario Grado 2 D-H"
,"Vocab Grade 2 I-L","Vocabulario Grado 2 I-L"
,"Vocab Grade 2 M-P","Vocabulario Grado 2 M-P"
,"Vocab Grade 2 Q-T","Vocabulario Grado 2 Q-T"
,"Vocab Grade 2 U-Z","Vocabulario Grado 2 U-Z"
,"Vocab Grade 3 A-C","Vocabulario Grado 3 A-C"
,"Vocab Grade 3 D-H","Vocabulario Grado 3 D-H"
,"Vocab Grade 3 I-L","Vocabulario Grado 3 I-L"
,"Vocab Grade 3 M-P","Vocabulario Grado 3 M-P"
,"Vocab Grade 3 Q-T","Vocabulario Grado 3 Q-T"
,"Vocab Grade 3 U-Z","Vocabulario Grado 3 U-Z"
,"Vocab Grade 4 A-C","Vocabulario Grado 4 A-C"
,"Vocab Grade 4 D-H","Vocabulario Grado 4 D-H"
,"Vocab Grade 4 I-L","Vocabulario Grado 4 I-L"
,"Vocab Grade 4 M-P","Vocabulario Grado 4 M-P"
,"Vocab Grade 4 Q-T","Vocabulario Grado 4 Q-T"
,"Vocab Grade 4 U-Z","Vocabulario Grado 4 U-Z"
,"Vocab Grade 5 A-C","Vocabulario Grado 5 A-C"
,"Vocab Grade 5 D-H","Vocabulario Grado 5 D-H"
,"Vocab Grade 5 I-L","Vocabulario Grado 5 I-L"
,"Vocab Grade 5 M-P","Vocabulario Grado 5 M-P"
,"Vocab Grade 5 Q-T","Vocabulario Grado 5 Q-T"
,"Vocab Grade 5 U-Z","Vocabulario Grado 5 U-Z"
,"Vocab Grade 6 A-C","Vocabulario Grado 6 A-C"
,"Vocab Grade 6 D-H","Vocabulario Grado 6 D-H"
,"Vocab Grade 6 I-L","Vocabulario Grado 6 I-L"
,"Vocab Grade 6 M-P","Vocabulario Grado 6 M-P"
,"Vocab Grade 6 Q-T","Vocabulario Grado 6 Q-T"
,"Vocab Grade 6 U-Z","Vocabulario Grado 6 U-Z"
,"Which, That ,Who Clause","Regla cual, ese, quién"
,"Whole Numbers","Números enteros"
,"Word Order","Orden de las palabras"
