"DO NOT EDIT","Vietnamese"
"Change Password","Đổi mật khẩu"
"Change Rating","thay đổi đánh giá"
"Change Avatar","thay đổi ảnh đại điện"
"Change Student Email","Thay đổi email học viên"
"Choose Image...","Chọn hình ảnh..."
"City","Thành phố"
"Class","Lớp"
"Class Dashboard","Bảng điều khiển lớp"
"Class Handled","Quản lý lớp"
"Class Level","Trình độ của lớp"
"Class List","Danh sách lớp"
"Class Management","Quản lý lớp"
"Class Name","Tên lớp"
"Class Progress Report","Báo cáo tiến độ lớp học"
"Clear","Xóa"
"Click","Nhấp chuột"
"Click here to Login","Nhấn vào đây để Đăng nhập"
"Click on Confirm Email Address","Nhấp vào địa chỉ email xác nhận"
"Client","Khách hàng"
"client site","Trang web dành cho khách hàng"
"Close","Đóng"
"Close This Request","Đóng Yêu cầu này"
"Close Request","Đóng Yêu cầu"
"Code","Mã"
"Completed","Đã hoàn thành"
"Confirm","Xác nhận"
"Confirmation Code","Mã xác nhận"
"Confirm Email Address","Xác nhận địa chỉ Email"
"To confirm your new Email Address, follow these steps:","Để xác nhận địa chỉ email mới của bạn, hãy làm theo các bước sau"
"Confirm Your Email Address","Xác nhận địa chỉ Email của bạn"
"Confirm Invitation","Xác nhận Lời mời"
"Confirm New Password","Xác nhận mật khẩu mới"
"Confirm Password","Xác nhận mật khẩu"
"Confirm Registration","Xác nhận đăng ký"
"Contact Person","Người liên hệ"
"Contact Number","Số điện thoại liên lạc"
"Content","Nội dung"
"Content Not Available","Nội dung không khả dụng"
"Country","Quốc gia"
"Correct!","Đúng!"
"Created By","Được tạo bởi"
"Credentials Information","Thông tin về chứng chỉ"
"Current","Hiện hành"
"Current Email Address","Địa chỉ e-mail hiện tại"
"Current Learning","KIến thức hiện hành"
"Current Password","Mật khẩu hiện hành"
"Data Privacy Policy","Chính sách Bảo mật dữ liệu"
"Date","Ngày tháng năm"
"Date Added","Ngày đã bổ sung"
"Date Created","Ngày tạo"
"Date End","ngày kết thúc"
"Date of Last Answer","Ngày trả lời cuối cùng"
"Date Removed","Ngày xóa"
"Date Start","Ngày bắt đầu"
"Date Started","Ngáy được bắt đầu"
"Delete","Xóa"
"Delete Subscription","Xóa đăng ký"
"Delete Student","Xóa học viên"
"Delete This Request","Xóa Yêu cầu này"
"Delete Request","Xóa yêu cầu"
"Description","Mô tả"
"Detail","Thông tin chi tiết"
"Difficulty","Độ khó"
"Direct Credit to","Gửi tín dụng cho"
"Disabled","Đã vô hiệu hóa"
"Discount","Chiết khấu"
"Displayed At","Hiển thị tại"
"Download Template","Tải bản mẫu"
"Drag the items to reorder.","Kéo các mục để sắp xếp lại."
"Edit","Chỉnh sửa"
"Edit Client Account Profile","Chỉnh sửa hồ sơ tài khoản khách hàng"
"Edit Profile","Chỉnh sửa hồ sơ"
"Edit Status","Chỉnh sửa trạng thái"
"Edit Student","Chỉnh sửa học viên"
"Electronic Invoice","Hóa đơn điện tử"
"Email","Email"
"Email Address","Địa chỉ email"
"Email address is available.","Địa chỉ email khả dụng"
"Email or Username","Email hoặc tên đăng nhập"
"Enter Confirmation Code:","Nhập mã xác nhận"
"Enabled","Bật"
"Enter Password","Nhập mật khẩu"
"Enter your Password","Nhập mật khẩu của bạn"
"Enter Your Username or Email","Nhập tên đăng nhập hoặc email của bạn"
"Existing Student","Học viên hiện có"
"Exit Module","Thoát mô-đun"
"Export","Ekspor"
"Excelling","Xuất sắc"
"Failed Payment","Thanh toán thất bại"
"You have failed to complete the payment process.","Bạn không thể hoàn tất quá trình thanh toán"
"Female","Phái nữ"
"First Name","Tên"
"for Student Site","Dành cho trang web của học viên"
"For Students 13 years old and below","Dành cho học viên 13 tuổi trở xuống"
"for Parent / Teacher / School Site","Dành cho cha mẹ/ giáo viên/ trường học"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","Vui lòng kiểm tra email trong hộp thư đến hoặc thư mục thư rác của bạn . <br/> Email có chứa mã xác nhận mà bạn cần phải nhập vào bên dưới."
"An email to reset your password has been sent to your email account.","Một email để đặt lại mật khẩu của bạn đã được gửi đến tài khoản email của bạn."
"Home","Trang chủ"
"A new reset code has been sent to your email account.","Một mã đặt lại mới đã được gửi vào tài khoản email của bạn."
"Please enter the reset code to create your new password.","Vui lòng nhập mã đặt lại để tạo mật khẩu mới."
"Send","Gửi"
"Forgot your password?","Quên mật khẩu?"
"Forgot your picture password?","Quên mật khẩu hình ảnh của bạn ?"
"From your Classmates","Từ bạn cùng lớp của bạn"
"From You","Từ bạn"
"FutureEd Online Education Platform","Nền tảng giáo dục trực tuyến FutureEd"
"Gender","giới tính"
"General","Chung"
"General Tips","Mẹo chung"
"General Help Requests","Các yêu cầu trợ giúp chung"
"Give Tips","Chia sẻ mẹo"
"Grade|Grades","Cấp | Các cấp"
"Grade Code","Mã cấp"
"Go to link","Tới liên kết"
"Go to My Profile","Tới hồ sơ của tôi"
"Help Request|Help Requests","Yêu cầu trợ giúp | Những yêu cầu trợ giúp"
"Help Request Details","Chi tiết yêu cầu trợ giúp"
"Help Request Answers","Trả lời yêu cầu trợ giúp"
"Help Request Answer Details","Chi tiết câu trả lời yêu cầu trợ giúp"
"here","Tại đây"
"Hi","Xin chào"
"Hi there","Xin chào đằng ấy"
"Highest Score","Điểm cao nhất"
"I agree on the","Tôi đồng ý với"
"Image","hình ảnh"
"Image Uploaded...","Hình ảnh đã tải lên ..."
"Import","nhập khẩu"
"Inactive","Không hoạt động"
"Indicates a required field.","Chỉ ra một lĩnh vực bắt buộc."
"Instructions","hướng dẫn"
"IP Address","Địa chỉ IP"
"Keys","Chìa khóa"
"Launch","Bất đầu"
"Last Name","Họ"
"Later","Sau này"
"Learning Style","Phong cách học tập"
"Learning Style Quiz","Câu hỏi vấn đáp phong cách học tập"
"Let\s","Chúng ta hãy"
"Loading...","Đang tải..."
"Locked","Đã khóa"
"Login","Đăng nhập"
"Login Credentials","Chứng chỉ đăng nhập"
"Forgot your password?","Quên mật khẩu?"
"Login to your account","Đăng nhập vào tài khoản của bạn"
"Logout","Đăng xuất"
"You have been logged out due to inactivity. Please login again.","Bạn đã bị đăng xuất do không hoạt động. Hãy đăng nhập lại."
"Logs","Bảng ghi chi tiết hoạt động"
"Lowest Score","Điểm thấp nhất"
"Male","Nam giới"
"Medals","huy chương"
"Module|Modules","Mô-đun | Các Mô-đun"
"Module Status","Trạng thái Mô-đun"
"My Account","Tài khoản của tôi"
"My Profile","Hồ sơ của tôi"
"My Reports","Báo cáo của tôi"
"My Help Requests","Các yêu cầu trợ giúp của tôi"
"Name","Tên"
"New","Mới"
"New Email Address","Địa chỉ email mới"
"New Password","Mật khẩu mới"
"New Student","Học viên mới"
"Next","Kế tiếp"
"No","Không"
"No Available Link","Không có liên kết khả dụng"
"No Answers for Now","Hiện không có câu trả lời"
"No Available Points","Không có điểm khả dụng"
"No Available Badges","Không có phù hiệu khả dụng"
"No Medals Available","Không có huy chương"
"No available questions for this module.</br>Please contact the system administrator.","Không có câu hỏi khả dụng cho mô-đun này. </ Br> Xin vui lòng liên hệ với ban quản trị hệ thống."
"No Modules Found.","Không tìm thấy mô-đun."
"No Content Available","Không có nội dung"
"No Questions Available","Không có câu hỏi"
"No records found","Không tìm thấy dữ liệu"
"No Results...","Không có kết quả"
"Number of Seats","Số lượng chỗ ngồi"
"No. of seats Enrolled","Số lượng chỗ ngồi ghi danh"
"No. of Seats Taken","Số lượng chỗ đã có người ngồi"
"No signature required.","Không có chữ ký yêu cầu."
"No Tips for now...","Hiện không có mẹo nào..."
"No Tips Found","Hiện không tìm thấy mẹo nào"
"No Help Requests for now...","Hiện không có yêu cầu trợ giúp..."
"No Help Request Found","Hiện không tìm thấy yêu cầu trợ giúp nào"
"Not yet started","Vẫn chưa bắt đầu"
"Not a Student?","Không phải là học viên?"
"Number of Students","Số lượng học viên"
"On Going","Đang tiến hành"
"or","hoặc là"
"Other Address Information (Optional)","Thông tin địa chỉ khác (Tùy chọn)"
"Other Requests","Các yêu cầu khác"
"out of","Hết"
"Overall School Progress","Tổng thể tiến độ của trường"
"Paid","Đã thanh toán"
"Parent","Cha mẹ"
"Parents should be the one to register, please click","Cha mẹ nên là người đăng ký, xin vui lòng nhấp chọn"
"Password","Mật khẩu"
"Password must be at least 8 characters and with at least 1 number.","Mật khẩu phải có ít nhất 8 ký tự và có chứa ít nhất 1 chữ số"
"You may now use your new password to login.","Bây giờ bạn có thể sử dụng mật khẩu mới để đăng nhập."
"Your password has been set.","Mật khẩu của bạn đã được thiết lập."
"Pay Subscription","Thanh toán tiền đăng ký trước"
"Payment","Thanh toán"
"Payment List","Danh sách thanh toán"
"Payment Management","Quản lý tiền thanh toán"
"Payment Methods","Phương thức thanh toán"
"Payment Status","Tình trạng thanh toán"
"Pending","Đang xử lý"
"Pending Email","Đang xử lý email"
"Pending Email Address","Đang xử lý địa chỉ email"
"Personal Information","Thông tin cá nhân"
"Picture Password","Mật khẩu hình"
"Pick an Avatar for your Profile","Hãy chọn ảnh đại diện cho hồ sơ của bạn"
"Please Login","Vui lòng đăng nhập"
"Please add a classroom.","Vui lòng thêm phòng học"
"Please select a subject.","Vui lòng chọn môn học"
"Please select an email or a name of a student.","Vui lòng chọn email hoặc tên của một học viên."
"Please select a subscription.","Vui lòng chọn một thuê bao đăng ký."
"Points","Điểm"
"Post Status","Trạng thái bài đăng"
"Postal Code","Mã bưu chính"
"Posted by","Được đăng bởi"
"Posted Since","Được đăng từ"
"Previous","Trước"
"Principal","Hiệu trưởng"
"Price","Giá"
"Print","In"
"Profile","Hồ sơ"
"Proceed to Dashboard","Đến bảng điều khiển"
"Proceed to Questions","Đến mục câu hỏi"
"Proceed to next Question","Đến câu hỏi tiếp theo"
"Progress","Tiến độ"
"Question","Câu hỏi"
"Quick","Nhanh chóng"
"Quick Stats","Thống kê nhanh"
"Rate","Tỷ lệ"
"Rating","Đánh giá"
"Regards","Trân trọng"
"Register","Đăng ký"
"Registration Success","Đăng ký thành công"
"Reject","Từ chối"
"Rejected","Đã từ chối"
"Remove Invoice","Xóa bỏ hóa đơn"
"Remove Student","Xóa bỏ học viên"
"Renew Subscription","Xóa bỏ đăng ký"
"Review Contents","Xem xét nội dung"
"You need to review the teaching content.","Bạn cần xem xét giáo trình giảng dạy"
"Reports","Báo cáo"
"Report Card","Thẻ báo cáo"
"Resend","Gửi lại"
"Reset","đặt lại"
"RESET","đặt lại"
"Resume","Tiếp tục"
"Reset Password","đặt lại mậu khẩu"
"Reset Password Success","đặt lại mậu khẩu thành công"
"Retrieve Picture Password","Phục hồi mậu khẩu hình ảnh"
"Review Contents","Xem xét nội dung"
"Rewards","Phần thưởng"
"Reward Points","Điểm thưởng"
"Reward points to earn","Điểm thường cần đạt được"
"Rate this Answer","Đánh giá trả lời này"
"Role","Vai trò"
"Save","Lưu"
"Save Subscription","Lưu đăng ký"
"Your changes will be saved. Are you sure you want to cancel this subscription?","Những thay đổi của bạn sẽ được lưu lại. Bạn có chắc là bạn muốn hủy bỏ đăng ký này ?"
"Save Status","Lưu trạng thái"
"Save Changes","Lưu thay đổi"
"School","Trường học"
"School Address","Địa chỉ trường học"
"School City","Trường học thành phố"
"School Contact Information","Thông tin liên hệ của trường"
"School Information","Thông tin về trường học"
"School Level","Cấp trường"
"School Name","Tên trường"
"School State","Tình trạng trường học"
"Scores","Điểm"
"Search","Tìm kiếm"
"Seats Taken","Chỗ đã có người ngồi"
"See All Points","Xem tất cả các điểm"
"-- Select Answer Status --","-- Chọn trạng thái câu trả lời --"
"-- Select Class --","-- Chọn lớp --"
"-- Select Country --","-- Chọn quốc gia --"
"-- Select Difficulty --","-- Chọn độ khó --"
"-- Select Gender --","-- Chọn giới tính --"
"-- Select Grade --","-- Chọn cấp --"
"-- Select Help Request Status --","-- Chọn yêu cầu trợ giúp --"
"-- Select Learning Style --","-- Chọn cách học --"
"-- Select Level --","-- Chọn trình độ --"
"-- Select Rate --","-- Chọn mức độ --"
"-- Select Role --","-- Chọn vai trò --"
"-- Select Status --","-- Chọn trạng thái --"
"-- Select Subject --","-- Chọn môn học --"
"-- Select Subscription --","-- Chọn đăng ký --"
"Select a picture for your new picture password","Chọn một hình ảnh cho mật khẩu hình ảnh mới của bạn"
"Select a picture to confirm your new picture password","Chọn một hình ảnh để xác nhận mật khẩu hình ảnh mới của bạn"
"Sequence Number","Dãy số"
"Sequence No","Dãy số"
"Set New Password","Đặt mật khẩu mới"
"Set Password","Đặt mật khẩu"
"Sign in via Facebook","Đăng nhập thông qua Facebook"
"Sign in with Google","Đăng nhập với Google"
"Sign Up","Đăng ký"
"Skip","Bỏ qua"
"Starting","bắt đầu"
"State","Tiểu bang"
"Status","Trạng thái"
"Step 1","Bước 1"
"Step 2","Bước 2"
"Stop Impersonating","Dừng mạo nhận"
"Street Address","Địa chỉ đường"
"Struggling","Cố gắng"
"Student","Học viên"
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","Học viên từ 13 tuổi trở xuống không thể đăng ký. Vui lòng yêu cầu cha để đăng ký"
"Student Name","Tên học viên"
"Student List","Danh sách học viên"
"Student Login","Học viên đăng nhập"
"Student Report","Báo cáo của học viên"
"Student Rewards","Phần thưởng cho học viên"
"Student Registration","Đăng ký học viên"
"Student Status","Tình trạng học viên"
"Students to watch","Trông coi học viên"
"Subject","Môn học"
"Subject Area","Phạm vi môn học"
"Subscription","Đăng ký"
"Submit","Đệ trình"
"Sub Total","Tổng số một phần"
"Success!","Hoàn tất"
"Successfully Changed","Hoàn tất thay đổi"
"Successful Payment","Hoàn tất thanh toán"
"Successfully added Student","Hoàn tất thêm học viên"
"Successfully added your help request.","Hoàn tất thêm yêu cầu trợ giúp"
"Successfully added your tip.","Hoàn tất thêm mẹo"
"You have successfully completed the payment process.","Bạn đã hoàn tất quá trình thanh toán."
"Successfully removed Student","Hoàn tất xóa học viên"
"Successfully submitted your answer.","Hoàn tất gửi câu trả lời"
"You have successfully changed your avatar.","Bạn đã thay đổi thành công ảnh đại diện của bạn."
"Success! You have added a new tip. Your content is currently being reviewed.","Hoàn tất! Bạn đã thêm được một mẹo mới. Nội dung của bạn hiện đang được xem xét."
"Success! You have added a new help request. Your content is currently being reviewed.","Hoàn tất! Bạn đã thêm được một yêu cầu trợ giúp mới. Nội dung của bạn hiện đang được xem xét."
"Summary Progress","Tóm tắt tiến độ"
"Teacher","Giáo viên"
"Teacher Comparison Progress","Tiến độ đánh giá giáo viên"
"Teaching Module Content","Nội dung giảng dạy học phần"
"Teacher Management","Quản lý giáo viên"
"Teacher Invitation","Thư mời giáo viên"
"Teacher List","Danh sách giáo viên"
"Terms and Conditions","Các điều khoản và điều kiện"
"Test Completed","Kiểm tra hoàn tất"
"Time Remaining","Thời gian còn lại"
"Tips","Mẹo"
"Tip List","Danh sách mẹo"
"Tip Details","Chi tiết Mẹo"
"Tips / Help","Mẹo / trợ giúp"
"Tips & Help Requests","Mẹo & yêu cầu trợ giúp"
"Title","Tiêu đề"
"To","Đến"
"to register.","đăng ký."
"Toggle navigation","Thay đổi chức năng chuyển hướng"
"Total","Tổng số"
"Total # of Seats","Tổng số chỗ ngồi"
"Total Price","Tổng giá"
"Type","Loại"
"Update","Cập nhật"
"You have successfully updated your profile.","Bạn đã cập nhật thành công hồ sơ của bạn."
"Upload CSV file","Tải lên tập tin CSV"
"USD$","Đô-la Mỹ"
"User","Người dùng"
"Username","Tên truy nhập"
"Username or Email","Tên truy nhập hoặc email"
"View Client Account Profile","Xem hồ sơ tài khoản khách hàng"
"View Contents","Xem nội dung"
"View Class Details","Xem chi tiết lớp"
"View Image","Xem hình"
"View List","Xem danh sách"
"View More","Xem thêm"
"View Payment","Xem thanh toán"
"View Payment List","Xem danh sách thanh toán"
"View Profile","Xem hồ sơ"
"View Questions","Xem câu hỏi"
"View Student","Xem học viên"
"Welcome","Chào mừng"
"Wrong.","Sai"
"Yes","Vâng"
"You have successfully registered.","Bạn đã đăng ký thành công"
"Your Requests","Các yêu cầu của bạn"
"Your picture password has been reset.","Mật khẩu hình ảnh của bạn đã được đặt lại"
"You may now use your new picture password to login.","Bây giờ bạn có thể sử dụng mật khẩu hình ảnh mới để đăng nhập."
"Admin Dashboard","Bảng điều khiển quản trị viên"
"Enter Code","Nhập mã"
"Password Reset","đặt lại mậu khẩu"
"Forgot Password","Quên mật khẩu"
"Add Admin User","Thêm tài khoản quản trị viên"
"Super Admin","Quản trị viên cao cấp"
"Delete Admin","Xóa quản trị viên"
"Are you sure you want to delete this admin user,?","Bạn có chắc chắn muốn xóa quản trị viên này,?"
"Edit Email Address","Chỉnh sửa địa chỉ email"
"New Email Address","Địa chỉ email mới"
"Add Admin","Thêm quản trị viên"
"Admin List","Danh sách quản trị viên"
"An email has been sent to ","Một email đã được gửi đến"
"with the password that you have set.","với mật khẩu mà bạn đã thiết lập."
"View Admin User","Xem tài khoản quản trị viên"
"Edit Admin User","Chỉnh sửa tài khoản quản trị viên"
"Add Age Group","Thêm nhóm tuổi"
"-- Select Age --","-- Chọn tuổi --"
"Total Points Earned","Tổng số điểm đạt được"
"Edit Age Group","Chỉnh sửa nhóm tuổi"
"Age Group List","Danh sách nhóm tuổi"
"Delete Age Group","Xóa nhóm tuổi"
"Are you sure you want to delete this age group?","Bạn có chắc chắn muốn xóa nhóm tuổi này?"
"Client Announcement","Thông báo dành cho khách hàng"
"Successfully created this announcement.","Hoàn tất tạo thông báo này"
"Your Message","Tin nhắn của bạn"
"Add Client","Thêm khách hàng"
"Client Details","Chi tiết khách hàng"
"Delete Client","Xóa khách hàng"
"Are you sure you want to delete this account?","Bạn có chắc chắn muốn xóa tài khoản này?"
"Records Not Inserted","Hồ sơ lý lịch chưa chèn"
"Registered Users","Người dùng đã đăng ký"
"Not Registered","Chưa đăng ký"
"Client List","Danh sách khách hàng"
"Import Teacher","Giáo viên nước ngoài"
"Add Content","Thêm nội dung"
"Content Code","Mã nội dung"
"Content Text","Tiêu đề Nội dung"
"Module Details","Chi tiết học phần"
"Media Type","Kiểu phương tiện truyền thông"
"-- Select Media Type --","-- Chọn kiểu phương tiện truyền thông --"
"Teaching Module Name","Tên học phần giảng dạy"
"Video Url","Url của video"
"Video url should have this format:","Url của video nên có dạng này:"
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
"View Content Image","Xem nội dung hình ảnh"
"Delete Module Content","Xóa nội dung học phần"
"Are you sure you want to delete this content?","Bạn có chắc chắn muốn xóa nội dung này?"
"Module Content List","Danh sách nội dung học phần"
"Add Grade","Thêm cấp"
"Grade Name","Tên cấp"
"Grade Code","Mã cấp"
"Group","Nhóm"
"-- Select Age Group --","-- Chọn nhóm tuổi --"
"Delete Grade","Xóa cấp"
"Are you sure you want to delete this grade?","Bạn có chắc chắn muốn xóa cấp này?"
"Update Grade","Cập nhật cấp"
"Grade List","Danh sách cấp"
"Grade Management","Quản lý cấp"
"Delete Help Request","Xóa yêu cầu trợ giúp"
"Are you sure you want to delete this help request?","Bạn có chắc chắn bạn muốn xóa các yêu cầu trợ giúp này?"
"Request Content","Nội dung yêu cầu"
"Request Details","Chi tiết yêu cầu"
"-- Select Type --","-- Chọn loại --"
"Request Status","Trạng thái yêu cầu"
"Help Request Title","Tiêu đề yêu cầu trợ giúp"
"Help Request List","Danh sách yêu cầu trợ giúp"
"Delete Help Request Answer","Xóa câu trả lời yêu cầu trợ giúp"
"Are you sure you want to delete this help request answer?","Bạn có chắc chắn muốn xóa câu trả lời yêu cầu trợ giúp này?"
"Answer Content","Nội dung câu trả lời"
"Answer Details","Chi tiết câu trả lời"
"Request Answer Status","Trạng thái trả lời yêu cầu"
"Help Answer List","Danh sách câu trả lời trợ giúp"
"Invoice List","Danh sách hóa đơn"
"Invoice Management","Quản lý hóa đơn"
"Order Number","Số thứ tự"
"Order #","Thứ tự số"
"-- Select Status --","-- Chọn trạng thái --"
"Invoice No","Số hóa đơn"
"Order List","Danh sách thứ tự"
"Back to Class List","Trở về danh sách lớp"
"View All Students under this Order","Xem tất cả học viên theo thứ tự này"
"Administrator Logs","Bảng ghi chi tiết hoạt động của quản trị viên"
"Error Logs","Bảng ghi chi tiết lỗi"
"Security Logs","Bảng ghi chi tiết bảo mật"
"System Logs","Hệ thống bảng ghi"
"Users Logs","Bảng ghi chi tiết hoạt động người dùng"
"Administrator","Quản trị viên"
"Error|Errors","Lỗi | lỗi"
"Users","Người dùng"
"Security","Bảo mật"
"System","Hệ thống"
"API Accessed","Giao diện lập trình ứng dụng (API) được truy cập"
"Info","Thông tin"
"Log Details","Chi tiết bảng ghi"
"Page Accessed","Trang đã truy cập"
"-- Select Response Code --","-- Chọn mã phản hồi --"
"Response Status","Traạng thái phản hồi"
"-- Select Admin Type --","- Chọn loại quản trị viên-"
"Admin Type","Phân loại quản trị viên"
"Value","Giá trị"
"Download","Tải về"
"Log Files","Tập tin bản ghi"
"Agent Used","Chương trình nhận dạng trình duyệt đã sử dụng"
"HTTP Response","Phản hồi HTTP"
"Log Type","Loại bản ghi"
"-- Select Log Type --","-- Chọn loại bản ghi --"
"-- Select User Type --","- Chọn loại người dùng -"
"User Type","Loại người dùng"
"Add Module","Thêm mô-đun"
"Common Core Area","Phạm vi cốt lõi"
"Common Core URL","URL cốt lõi"
"Points to Unlock","Số điểm cần để mở khóa"
"Points to Finish","Số điểm cần để kết thúc"
"-- Select Subject --","-- Chọn môn học --"
"Delete Module","Xóa học phần"
"Are you sure you want to delete this module?","Bạn có chắc chắn muốn xóa học phần này ?"
"Module Management","Quản lý học phần"
"Module Name","Tên học phần"
"Module List","Danh sách học phần"
"Contents","Nội dung"
"Module Content","Nội dung học phần"
"Q & A","Hỏi & Đáp"
"View Image","Xem hình"
"View Module","Xem học phần"
"Add Bulk Discount","Thêm chiết khấu khủng"
"Minimum Seats","Lượng ghế tối thiểu"
"Percentage","Tỷ lệ phần trăm"
"Percentage List","Danh sách tỷ lệ phần trăm"
"Update Bulk Discount","Cập nhật chiết khấu khủng"
"Age Group","Nhóm tuổi"
"Add Client Discount","Thêm chiết khấu khách hàng"
"Client Discount List","Danh sách chiết khấu khách hàng"
"Update Client Discount","Cập nhật chiết khấu khách hàng"
"Discount Percentage","Phần trăm chiết khấu"
"Add Price","Thêm Giá"
"Days","ngày"
"Price List","Danh sách giá"
"Update Price","Cập nhật giá"
"Subscription Name","Tên đăng ký"
"Bulk Settings","Cài đặt số lượng lớn"
"Client Discount","Chiết khấu khách hàng"
"Price & Discount","Giá & chiết khấu"
"Price Settings","Cài đặt giá"
"Answer Code","Mã câu trả lời"
"Answer Image","Hình ảnh câu trả lời"
"Answer List","Danh mục trả lời"
"Correct Answer","Câu trả lời chính xác"
"Coordinate","Phối hợp"
"Count","Đếm"
"Delete Answer","Xóa câu trả lời"
"Are you sure you want to delete this Answer?","Bạn có chắc chắn muốn xóa câu trả lời này ?"
"Field","Lĩnh vực"
"Field Name","Tên lĩnh vực"
"Label","Nhãn"
"Points Equivalent","Điểm tương đương"
"-- Select Answer --","-- Chọn câu trả lời --"
"X Axis","Tia X"
"Y Axis","Tia Y"
"X Coordinates","Tọa độ X"
"Y Coordinates","Tọa độ Y"
"Points Earned","Số điểm đạt được"
"Graph","đồ thị"
"Horizontal","Trục hoành"
"Multiple Choice","Nhiều lựa chọn"
"Order|Orders","Chỉ thị"
"Orientation","Sự định hướng"
"Provide","cung cấp"
"Quadrant","Góc phần tư"
"Question Details","Chi tiết câu hỏi"
"Question Image","Câu hỏi hình ảnh"
"answer should be comma separated to indicate the order.","Câu trả lời nên được ngắt bằng dấy phẩy để chỉ ra thứ tự"
"required information","Thông tin bắt buộc"
"Question Text","Tiêu để câu hỏi"
"Question Type","Loại Câu Hỏi"
"-- Select Orientation --","-- Chọn định hướng --"
"-- Select Question Type --","-- Chọn loại câu hỏi --"
"Vertical","Trục tung"
"Add Q & A","Thêm Hỏi & Đáp"
"Delete Question","Xóa câu hỏi"
"Question List","Danh sách câu hỏi"
"Delete Image","Xóa ảnh"
"Are you sure you want to delete this image?","Bạn có chắc chắn muốn xóa ảnh này?"
"Delete Student","Xóa học viên"
"Are you sure you want to delete this account?","Bạn có chắc chắn muốn xóa tài khoản này?"
"Date Earned","Ngày đạt được"
"Delete Badge","Xóa huy hiệu"
"Are you sure you want to delete this Badge?","Bạn có chắc chắn muốn xóa huy hiệu này?"
"Edit Points","Chỉnh sửa điểm"
"Edit Badges","Chỉnh sửa huy hiệu"
"Event","Sự kiện"
"Manual","Sách hướng dẫn"
"Student Management","Quản lý học viên"
"Student List","Danh sách học viên"
"Badge name","Tên huy hiệu"
"Point History","Lịch sử điểm"
"Student Details","Chi tiết học viên"
"View Rewards","Xem phần thưởng"
"Add Subject","Thêm môn học"
"Subject Code","Mả môn học"
"Delete Subject","Xóa môn học"
"Are you sure you want to delete this subject?","Bạn có chắc chắn muốn xóa môn học này?"
"Add Subject Area","Thêm phạm vi môn học"
"Area Code","Mã vùng"
"Subject Name","Tên môn học"
"Delete Subject Area","Xóa phạm vi môn học"
"Are you sure you want to delete this subject area?","Bạn có chắc chắn muốn phạm vi môn học này?"
"Update Subject Area","Cập nhật phạm vi môn học"
"Back Links","Các liên kết còn lại"
"Back to Subject","Quay lại môn học"
"Subject Area Management","Quản lý phạm vi môn học"
"Update Subject","Cập nhật môn học"
"Subject List","Danh sách môn học"
"Subject Management","Quản lý môn học,."
"Delete Tip","Xóa mẹo"
"Are you sure you want to delete this tip?","Bạn có chắc chắn muốn xóa mẹo này?"
"Rate this tip","Đánh giá mẹo này"
"Tip Content","Nội dung Mẹo"
"Tip Details","Chi tiết Mẹo"
"Tip Status","Trạng thái Mẹo"
