"Class Level","Tingkat Kelas","kelas Tingkat"
"Class List","Daftar Kelas","Daftar kelas"
"Class Management","Manajemen Kelas","Manajemen kelas"
"Class Name","Nama kelas","Nama kelas"
"Class Progress Report","Laporan Perkembangan Kelas","Kelas Laporan Kemajuan"
"Clear","Kosongkan","Bersih"
"Click","Klik","Klik"
"Click here to Login","Klik di sini untuk Login","Klik di sini untuk Login"
"Click on Confirm Email Address","Klik untuk konfirmasi alamat Email","Klik Konfirmasi Alamat Email"
"Client","Klien","Klien"
"client site","situs klien","situs klien"
"Close","Tutup","Dekat"
"Close This Request","Tutup Permintaan ini","Tutup Permintaan ini"
"Close Request","Tutup Permintaan","Tutup Permintaan"
"Code","Kode","Kode"
"Completed","Lengkap","Lengkap"
"Confirm","Konfirmasi","Memastikan"
"Confirmation Code","Kode konfirmasi","Kode konfirmasi"
"Confirm Email Address","konfirmasi alamat email","konfirmasi alamat email"
"To confirm your new Email Address, follow these steps:","Untuk mengkonfirmasi Alamat Email baru Anda, ikuti langkah-langkah ini","Untuk mengkonfirmasi Alamat Email baru Anda, ikuti langkah-langkah ini"
"Confirm Your Email Address","Konfirmasi Alamat Email Anda","Konfirmasi Alamat Email Anda"
"Confirm Invitation","konfirmasi Undangan","konfirmasi Undangan"
"Confirm New Password","Konfirmasi Kata Sandi Baru","Konfirmasi password baru"
"Confirm Password","konfirmasi Kata Sandi","konfirmasi sandi"
"Confirm Registration","konfirmasi Pendaftaran","konfirmasi Pendaftaran"
"Contact Person","Kontak Nama","Orang yang dapat dihubungi"
"Contact Number","Nomor kontak","Nomor kontak"
"Content","Konten","kadar"
"Content Not Available","Konten Tidak Tersedia","Konten Tidak Tersedia"
"Country","Negara","Negara"
"Correct!","Benar!","Benar!"
"Created By","Dibuat oleh","Dibuat oleh"
"Credentials Information","Informasi Kredensial","Informasi kredensial"
"Current","Saat ini","Arus"
"Current Email Address","Alamat email saat ini","Alamat email saat ini"
"Current Learning","Pengetahuan saat ini","Belajar saat"
"Current Password","kata sandi saat ini","kata sandi saat ini"
"Data Privacy Policy","Kebijakan Data Privasi","Kebijakan Privasi Data"
"Date","Tanggal","Tanggal"
"Date Added","Tanggal Ditambahkan","Tanggal Ditambahkan"
"Date Created","Tanggal Dibuat","Tanggal Diciptakan"
"Date End","Tanggal Akhir","Tanggal akhir"
"Date of Last Answer","Tanggal Jawaban terakhir","Tanggal Jawaban terakhir"
"Date Removed","Tanggal Dihapus","tarikh Dikeluarkan"
"Date Start","Tanggal mulai","Tanggal mulai"
"Date Started","Tanggal Dimulai","Tanggal Mulai"
"Delete","Hapus","Menghapus"
"Delete Subscription","Hapus Subskripsi","Hapus Berlangganan"
"Delete Student","Hapus murid","Hapus Mahasiswa"
"Delete This Request","Hapus Permintaan ini","Hapus Permintaan ini"
"Delete Request","Hapus Permintaan","Hapus Permintaan"
"Description","Deskripsi","Deskripsi"
"Detail","Rincian","detail"
"Difficulty","Tingkat Kesulitan","Kesulitan"
"Direct Credit to","Dikreditkan ke","Kredit langsung ke"
"Disabled","Dinonaktifkan","Cacat"
"Discount","Diskon","Diskon"
"Displayed At","Ditampilkan Pada","Ditampilkan Pada"
"Download Template","Unduh Template","Download Template"
"Drag the items to reorder.","Tarik item untuk menyusun ulang.","Tarik item untuk menyusun ulang."
"Edit","Ubah","Edit"
"Edit Client Account Profile","Ubah Profil Akun Klien","Profil Akun mengedit Client"
"Edit Profile","Ubah Profil","Edit Profile"
"Edit Status","Ubah Status","Mengedit Status"
"Edit Student","Ubah Murid","Mengedit Mahasiswa"
"Electronic Invoice","Faktur Elektronik","Faktur elektronik"
"Email","Email","E-mail"
"Email Address","Alamat email","Alamat email"
"Email address is available.","Alamat email tersedia","alamat email tersedia."
"Email or Username","Email atau Nama Pengguna","Email atau nama pengguna"
"Enter Confirmation Code:","Masukkan Kode Konfirmasi","Isilah dengan kode konfirmasi:"
"Enabled","Diaktifkan","Diaktifkan"
"Enter Password","Masukkan kata sandi","Masukkan kata kunci"
"Enter your Password","Masukkan kata sandi anda","Masukkan Password"
"Enter Your Username or Email","Masukkan Nama Pengguna atau Email Anda","Masukkan Username Anda atau Email"
"Existing Student","Murid saat ini","Ada mahasiswa"
"Exit Module","Keluar dari Modul","Modul keluar"
"Export","Ekspor","Ekspor"
"Excelling","Unggul","Unggul"
"Failed Payment","Pembayaran Gagal","Gagal Pembayaran"
"You have failed to complete the payment process.","Anda telah gagal untuk menyelesaikan proses pembayaran.","Anda telah gagal untuk menyelesaikan proses pembayaran."
"Female","Wanita","Wanita"
"First Name","Nama depan","Nama depan"
"for Student Site","untuk Situs murid","Mahasiswa Site"
"For Students 13 years old and below","Untuk murid berusia dibawah 13 tahun","Untuk Siswa berusia 13 tahun dan di bawah"
"for Parent / Teacher / School Site","untuk Situs Orang Tua / Guru / Sekolah","untuk Orang Tua / Guru / Sekolah Site"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","Silakan periksa kotak masuk atau folder spam Anda untuk email bersangkutan. <br/> Email tersebut berisi kode konfirmasi yang perlu Anda masukkan dibawah ini","Silakan periksa kotak masuk atau folder spam Anda untuk email. <br/> Email berisi kode konfirmasi yang Anda perlu untuk memasukkan di bawah ini."
"An email to reset your password has been sent to your email account.","Email untuk mengubah kata sandi telah dikirim ke akun email Anda.","Email untuk mereset password Anda telah dikirim ke akun email Anda."
"Home","Beranda","Rumah"
"A new reset code has been sent to your email account.","Sebuah kode reset baru telah dikirim ke akun email Anda.","Sebuah kode reset baru telah dikirimkan ke akun email Anda."
"Please enter the reset code to create your new password.","Masukkan kode reset untuk membuat kata sandi baru","Masukkan kode ulang untuk membuat password baru Anda."
"Send","Kirim","Kirim"
"Forgot your password?","Lupa kata sandi Anda?","Lupa kata sandi Anda?"
"Forgot your picture password?","Lupa gambar sandi anda ?","Lupa kata laluan bergambar anda ?"
"From your Classmates","Dari teman kelas anda","Dari Classmates Anda"
"From You","Dari Anda","Darimu"
"FutureEd Online Education Platform","Platform Pendidikan Online FutureEd","FutureEd Pendidikan Online Platform"
"Gender","Jenis kelamin","Jenis kelamin"
"General","Umum","Umum"
"General Tips","petunjuk umum","General Tips"
"General Help Requests","Permintaan bantuan umum","Bantuan Umum Permintaan"
"Give Tips","Beri petunjuk","Berikan Tips"
"Grade|Grades","Tingkatan | Tingkatan","Grade | Kelas"
"Grade Code","Kode Tingkatan","Kelas Code"
"Go to link","Ke Tautan","Pergi untuk menghubungkan"
"Go to My Profile","Ke Profil saya","Pergi ke My Profile"
"Help Request|Help Requests","permintaan bantuan | permintaan bantuan","Bantuan Permintaan | bantuan Permintaan"
"Help Request Details","Rincian permintaan bantuan","Bantuan Detail Permintaan"
"Help Request Answers","Jawaban permintaan bantuan","Bantuan Permintaan Answers"
"Help Request Answer Details","Rincian jawaban permintaan bantuan","Bantuan Permintaan Jawaban Detail"
"here","sini","sini"
"Hi","Hai","Hai"
"Hi there","Hai","Hi ada"
"Highest Score","Skor tertinggi","Skor tertinggi"
"I agree on the","Saya setuju dengan","Saya setuju pada"
"Image","Gambar","Gambar"
"Image Uploaded...","Gambar sedang diunggah","Gambar Upload ..."
"Import","Impor","Impor"
"Inactive","tidak aktif","tidak aktif"
"Indicates a required field.","Menandakan bidang yang diperlukan.","Menunjukkan bidang yang diperlukan."
"Instructions","instruksi","instruksi"
"IP Address","Alamat IP","Alamat IP"
"Keys","Kunci","Keys"
"Launch","Meluncurkan","Meluncurkan"
"Last Name","Nama keluarga","Nama keluarga"
"Later","Kemudian","Kemudian"
"Learning Style","Gaya belajar","Gaya belajar"
"Learning Style Quiz","Kuis Gaya Belajar","Belajar Gaya Kuis"
"Let\s","Ayo...'","started...'"
"Loading...","Memuat...","Pemuatan..."
"Locked","Terkunci","Terkunci"
"Login","Login","Masuk"
"Login Credentials","Kredensial Login","Kredensial Login"
"Forgot your password?","Lupa kata sandi Anda?","Lupa kata sandi Anda?"
"Login to your account","Login ke akun Anda","Masuk ke akun Anda"
"Logout","Logout","Keluar"
"You have been logged out due to inactivity. Please login again.","Anda telah keluar karena tidak aktif. Silahkan login lagi.","Anda telah keluar karena tidak aktif. Silahkan login lagi."
"Logs","Catatan","log"
"Lowest Score","Skor terendah","Skor terendah"
"Male","Pria","Pria"
"Medals","medali","medali"
"Module|Modules","Modul | Modul","Modul | Modul"
"Module Status","Status modul","Status modul"
"My Account","Akun saya","Akun saya"
"My Profile","Profil saya","Profil saya"
"My Reports","Laporan saya","Laporan saya"
"My Help Requests","permintaan bantuan saya","Saya Bantuan Permintaan"
"Name","Nama","Nama"
"New","Baru","Baru"
"New Email Address","Alamat email baru","Alamat email baru"
"New Password","Kata sandi baru","Kata sandi baru"
"New Student","murid baru","Murid baru"
"Next","Berikutnya","Berikutnya"
"No","Tidak","Tidak"
"No Available Link","Tautan tidak tersedia","Tidak Tersedia Link"
"No Answers for Now","Tidak ada Jawaban untuk Sekarang","Tidak ada Jawaban untuk Sekarang"
"No Available Points","Poin tidak tersedia","Tidak Tersedia Poin"
"No Available Badges","Lencana tidak tersedia","Tidak Tersedia Lencana"
"No Medals Available","Medali tidak tersedia","Tidak ada Medali Tersedia"
"No available questions for this module.</br>Please contact the system administrator.","Tidak ada pertanyaan yang tersedia untuk modul ini. </ Br> Silakan hubungi administrator sistem.","Tidak ada pertanyaan yang tersedia untuk modul ini. </ Br> Silahkan hubungi administrator sistem."
"No Modules Found.","Modul tidak ditemukan","Tidak Modul Ditemukan."
"No Content Available","Konten tidak tersedia","Tidak ada Konten Tersedia"
"No Questions Available","Pertanyaan tidak tersedia","Tidak ada Pertanyaan Tersedia"
"No records found","Rekaman tidak ditemukan","Tidak ada hasil yang ditemukan"
"No Results...","Tidak ada hasil...","Tidak ada hasil..."
"Number of Seats","Jumlah kursi","Jumlah tempat duduk"
"No. of seats Enrolled","Jumlah kursi Terdaftar","Jumlah kursi Terdaftar"
"No. of Seats Taken","Jumlah Kursi terisi","Jumlah Kursi Diambil"
"No signature required.","Tanda tangan tidak dibutuhkan","Tidak ada tanda tangan yang dibutuhkan."
"No Tips for now...","Tidak ada petunjuk untuk saat ini ...","Tidak ada Tips untuk saat ini ..."
"No Tips Found","petunjuk tidak ditemukan","Tidak ada Trips Ditemukan"
"No Help Requests for now...","Tidak ada permintaan bantuan untuk saat ini ...","Tidak ada Bantuan Permintaan untuk saat ini ..."
"No Help Request Found","permintaan bantuan tidak ditemukan","Tidak ada Bantuan Permintaan Ditemukan"
"Not yet started","Belum dimulai","Belum dimulai"
"Not a Student?","Bukan murid ?","Tidak Mahasiswa sebuah ?"
"Number of Students","Jumlah murid","Jumlah Siswa"
"On Going","Sedang berjalan","Berjalan"
"or","atau","atau"
"Other Address Information (Optional)","Alamat lainnya (opsional","Lainnya Informasi Alamat (pilihan)"
"Other Requests","Permintaan lainnya","Permintaan lainnya"
"out of","dari","dari"
"Overall School Progress","Perkembangan Sekolah secara Keseluruhan","Secara keseluruhan Kemajuan Sekolah"
"Paid","Telah dibayar","dibayar"
"Parent","Orang tua","Induk"
"Parents should be the one to register, please click","Pendaftaran harus dilakukan oleh orang tua, silakan klik","Orang tua harus menjadi orang yang mendaftar, silakan klik"
"Password","Kata sandi","Kata sandi"
"Password must be at least 8 characters and with at least 1 number.","Kata sandi harus minimal 8 karakter dan memiliki setidaknya 1 angka","Sandi harus minimal 8 karakter dan dengan setidaknya 1 angka."
"You may now use your new password to login.","Anda dapat menggunakan kata sandi baru untuk login","Anda sekarang dapat menggunakan password baru Anda untuk login."
"Your password has been set.","Kata sandi telah dibuat","sandi telah ditetapkan."
"Pay Subscription","Bayar Subskripsi","Bayar Langganan"
"Payment","Pembayaran","Pembayaran"
"Payment List","Daftar pembayaran","Daftar pembayaran"
"Payment Management","Manajemen pembayaran","Manajemen pembayaran"
"Payment Methods","Metode pembayaran","Cara Pembayaran"
"Payment Status","Status pembayaran","Status pembayaran"
"Pending","Tertunda","tertunda"
"Pending Email","Email Tertunda","Tertunda Email"
"Pending Email Address","Alamat Email Tertunda","Tertunda Alamat Email"
"Personal Information","Informasi Pribadi","Informasi pribadi"
"Picture Password","Gambar sandi","Gambar Password"
"Pick an Avatar for your Profile","Pilih sebuah untuk profil anda","Pilih sebuah Avatar untuk Profil Anda"
"Please Login","Silahkan Login","Silahkan masuk"
"Please add a classroom.","Silakan tambah ruang kelas","Harap tambahkan ruang kelas."
"Please select a subject.","Silakan pilih subjek.","Silakan pilih subjek."
"Please select an email or a name of a student.","Silakan pilih email atau nama murid.","Silakan pilih email atau nama dari mahasiswa."
"Please select a subscription.","Silakan pilih subskripsi.","Silakan pilih berlangganan."
"Points","poin","poin"
"Post Status","Kirim status","Posting Status"
"Postal Code","Kode Pos","Kode Pos"
"Posted by","Dikirim oleh","Dikirim oleh"
"Posted Since","Dikirim sejak","Diposting Sejak"
"Previous","Sebelumnya","Sebelumnya"
"Principal","Kepala Sekolah","Kepala Sekolah"
"Price","Harga","Harga"
"Print","Cetak","Mencetak"
"Profile","Profil","Profil"
"Proceed to Dashboard","Lanjutkan ke Dasbor","Lanjutkan ke Dasbor"
"Proceed to Questions","Lanjutkan ke Pertanyaan","Lanjutkan ke Pertanyaan"
"Proceed to next Question","Lanjutkan ke Pertanyaan berikutnya","Lanjutkan ke Pertanyaan berikutnya"
"Progress","Perkembangan","Kemajuan"
"Question","Pertanyaan","Pertanyaan"
"Quick","Cepat","Cepat"
"Quick Stats","Statistik ringkas","Stats cepat"
"Rate","Nilai","Menilai"
"Rating","Rating","Rating"
"Regards","Salam","Salam"
"Register","Daftar","Daftar"
"Registration Success","Pendaftaran berhasil","Registrasi berhasil"
"Reject","Tolak","Menolak"
"Rejected","Ditolak","Ditolak"
"Remove Invoice","Hapus Faktur","Hapus Faktur"
"Remove Student","Hapus murid","Hapus Mahasiswa"
"Renew Subscription","Perbaharui subskripsi","Memperbaharui Berlangganan"
"Review Contents","Tinjau konten","Isi review"
"You need to review the teaching content.","Anda perlu meninjau isi pengajaran.","Anda perlu meninjau isi pengajaran."
"Reports","laporan","laporan"
"Report Card","Kartu laporan","Kartu laporan"
"Resend","Kirim ulang","Kirim ulang"
"Reset","Reset","Kirim ulang"
"RESET","RESET","RESET"
"Resume","Lanjut","Lanjut"
"Reset Password","Reset kata sandi","Reset Password"
"Reset Password Success","Reset kata sandi berhasil","Reset Password Sukses"
"Retrieve Picture Password","Pulihkan gambar sandi","Ambil Gambar Password"
"Review Contents","Tinjau konten","Isi review"
"Rewards","Hadiah","imbalan"
"Reward Points","Poin Hadiah","Poin Hadiah"
"Reward points to earn","Poin hadiah untuk didapat","Reward poin untuk mendapatkan"
"Rate this Answer","Nilai jawaban ini","Beri Jawaban ini"
"Role","Peran","Peran"
"Save","Simpan","Menyimpan"
"Save Subscription","Simpan subskripsi","Simpan Berlangganan"
"Your changes will be saved. Are you sure you want to cancel this subscription?","Perubahan akan disimpan. Apakah Anda yakin ingin membatalkan subskripsi ini ?","Perubahan Anda akan disimpan. Apakah Anda yakin ingin membatalkan langganan ini ?"
"Save Status","Simpan Status","Simpan Status"
"Save Changes","Simpan perubahan","Simpan perubahan"
"School","Sekolah","Sekolah"
"School Address","alamat sekolah","Sekolah Alamat"
"School City","Kota Sekolah","Sekolah Kota"
"School Contact Information","Kontak sekolah","Sekolah Informasi Kontak"
"School Information","Informasi Sekolah","Informasi Sekolah"
"School Level","Tingkat sekolah","Sekolah Tingkat"
"School Name","Nama sekolah","Nama sekolah"
"School State","Propinsi Sekolah","Sekolah Negeri"
"Scores","skor","skor"
"Search","Pencarian","Pencarian"
"Seats Taken","Kursi terisi","Kursi Diambil"
"See All Points","Lihat Semua Poin","Lihat Semua Points"
"-- Select Answer Status --","- Pilih status jawaban -","- Pilih Jawaban Status -"
"-- Select Class --","- Pilih Kelas -","- Pilih Kelas -"
"-- Select Country --","-- Pilih negara --","-- Pilih negara --"
"-- Select Difficulty --","- Pilih tingkat kesulitan -","- Pilih Kesulitan -"
"-- Select Gender --","-- Pilih jenis kelamin --","-- Pilih jenis kelamin --"
"-- Select Grade --","- Pilih Tingkatan -","- Pilih kelas -"
"-- Select Help Request Status --","- Pilih Status Permintaan Bantuan -","- Pilih Bantuan Permintaan Status -"
"-- Select Learning Style --","- Pilih Gaya Belajar -","- Pilih Gaya Belajar -"
"-- Select Level --","- Pilih Level -","- Pilih Level -"
"-- Select Rate --","- Pilih Nilai -","- Pilih Rate -"
"-- Select Role --","- Pilih Peran -","- Pilih Peran -"
"-- Select Status --","- Pilih Status -","- Pilih Status -"
"-- Select Subject --","- Pilih Subyek -","- Pilih Subjek -"
"-- Select Subscription --","- Pilih Subskripsi -","- Pilih Berlangganan -"
"Select a picture for your new picture password","Pilih gambar untuk gambar sandi baru Anda","Pilih gambar untuk sandi gambar baru Anda"
"Select a picture to confirm your new picture password","Pilih gambar untuk mengkonfirmasi gambar sandi baru Anda","Pilih gambar untuk mengkonfirmasi password gambar baru Anda"
"Sequence Number","Urutan Nomor","Urutan Nomor"
"Sequence No","Urutan No.","Urutan ada"
"Set New Password","Buat kata sandi baru","Set Password Baru"
"Set Password","buat kata sandi","Set Password"
"Sign in via Facebook","Masuk melalui Facebook","Masuk melalui Facebook"
"Sign in with Google","Masuk melalui Google","Masuk dengan Google"
"Sign Up","Daftar","Daftar"
"Skip","Lewatkan","Melewatkan"
"Starting","mulai","mulai"
"State","Propinsi","Negara"
"Status","Status","Status"
"Step 1","Langkah 1","Langkah 1"
"Step 2","Langkah 2","Langkah 2"
"Stop Impersonating","Berhenti meniru","Berhenti meniru"
"Street Address","Alamat jalan","Alamat jalan"
"Struggling","berjuang","berjuang"
"Student","murid","Mahasiswa"
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","murid berusia dibawah 13 tahun tidak diperbolehkan mendaftar. Persilakan orang tua untuk mendaftarkan anda","Mahasiswa berusia 13 tahun atau lebih muda tidak bisa mendaftar. Silakan meminta Induk untuk mendaftar di"
"Student Name","Nama murid","Nama siswa"
"Student List","Daftar murid","Mahasiswa Daftar"
"Student Login","Murid Login","Mahasiswa Login"
"Student Report","Laporan murid","Mahasiswa Report"
"Student Rewards","Hadiah murid","Imbalan siswa"
"Student Registration","Pendaftaran murid","Pendaftaran Mahasiswa"
"Student Status","Status murid","Status mahasiswa"
"Students to watch","murid untuk diperhatikan","Siswa untuk menonton"
"Subject","Subyek","Subyek"
"Subject Area","Bidang Subyek","Kawasan Subjek"
"Subscription","Subskripsi","berlangganan"
"Submit","Ajukan","Menyerahkan"
"Sub Total","Sub Total","Sub Total"
"Success!","Berhasil","Keberhasilan!"
"Successfully Changed","Perubahan berhasil","Berhasil Berubah"
"Successful Payment","Pembayaran berhasil","Pembayaran sukses"
"Successfully added Student","Penambahan murid berhasil","Berhasil ditambahkan Mahasiswa"
"Successfully added your help request.","permintaan bantuan anda berhasil","Berhasil menambahkan permintaan bantuan Anda."
"Successfully added your tip.","penambahan petunjuk berhasil","Berhasil ditambahkan tip Anda."
"You have successfully completed the payment process.","Anda telah berhasil menyelesaikan proses pembayaran.","Anda telah berhasil menyelesaikan proses pembayaran."
"Successfully removed Student","penghapusan murid berhasil","Berhasil dihapus Mahasiswa"
"Successfully submitted your answer.","pengajuan jawaban anda berhasil","Berhasil disampaikan jawaban Anda."
"You have successfully changed your avatar.","Anda telah berhasil mengubah avatar Anda.","Anda telah berhasil mengubah avatar Anda."
"Success! You have added a new tip. Your content is currently being reviewed.","Berhasil ! Anda telah menambah petunjuk baru. Konten anda sedang ditinjau.","Keberhasilan! Anda telah menambahkan tip baru. konten Anda sedang dikaji."
"Success! You have added a new help request. Your content is currently being reviewed.","Berhasil ! Anda telah menambah permintaan bantuan baru. Konten anda sedang ditinjau.","Keberhasilan! Anda telah menambahkan permintaan bantuan baru. konten Anda sedang dikaji."
"Summary Progress","Ringkasan Perkembangan","Ringkasan Kemajuan"
"Teacher","Guru","Guru"
"Teacher Comparison Progress","Perbandingan Perkembangan guru","Guru Perbandingan Kemajuan"
"Teaching Module Content","Konten Modul Pengajaran","Pengajaran Modul Konten"
"Teacher Management","Manajemen guru","Manajemen guru"
"Teacher Invitation","Undangan untuk guru","Guru Undangan"
"Teacher List","Daftar guru","Guru Daftar"
"Terms and Conditions","Syarat dan ketentuan","Syarat dan ketentuan"
"Test Completed","Ujian selesai","Uji Tuntas"
"Time Remaining","Waktu yang tersisa","Waktu yang tersisa"
"Tips","petunjuk","Tips"
"Tip List","Daftar petunjuk","Tip Daftar"
"Tip Details","Rincian petunjuk","Detail Tip"
"Tips / Help","petunjuk / Bantuan","Tips / Bantuan"
"Tips & Help Requests","petunjuk & Permintaan Bantuan","Tips & Bantuan Permintaan"
"Title","Judul","Judul"
"To","Kepada","Untuk"
"to register.","untuk mendaftar","mendaftar."
"Toggle navigation","Aktifkan navigasi","navigasi beralih"
"Total","Total","Total"
"Total # of Seats","Total # dari kursi ","Total # Kursi"
"Total Price","Total harga","Total harga"
"Type","Jenis","Mengetik"
"Update","Perbaharui","Memperbarui"
"You have successfully updated your profile.","Anda telah berhasil memperbaharui profil Anda.","Anda telah berhasil memperbarui profil Anda."
"Upload CSV file","Unggah file CSV","Upload file CSV"
"USD$","USD","USD $"
"User","Pengguna","pengguna"
"Username","Nama pengguna","Nama pengguna"
"Username or Email","Nama pengguna atau Email","Username atau email"
"View Client Account Profile","Lihat profil klien","Tercatat Rekening Nasabah"
"View Contents","Lihat konten","Lihat Isi"
"View Class Details","Lihat Rincian Kelas","Lihat Rincian Kelas"
"View Image","Lihat gambar","View Image"
"View List","Lihat Daftar","Lihat Daftar"
"View More","Lihat lebih banyak","Lihat Lebih"
"View Payment","Lihat Pembayaran","Lihat Pembayaran"
"View Payment List","Lihat Daftar Pembayaran","Lihat Daftar Pembayaran"
"View Profile","Lihat Profil","Tampilkan profil"
"View Questions","Lihat Pertanyaan","Lihat Pertanyaan"
"View Student","Lihat murid","Lihat Mahasiswa"
"Welcome","Selamat Datang","Menyambut"
"Wrong.","Salah","Salah"
"Yes","Benar","iya nih"
"You have successfully registered.","Anda telah berhasil mendaftar","Anda telah berhasil terdaftar"
"Your Requests","Permintaan Anda","Permintaan Anda"
"Your picture password has been reset.","gambar sandi anda telah di-reset","sandi gambar Anda telah disetel ulang"
"You may now use your new picture password to login.","Anda dapat menggunakan gambar sandi baru anda untuk login","sandi gambar Anda telah disetel ulang"
"Admin Dashboard","Dasbor admin","Dashboard Admin"
"Enter Code","masukkan kode","Memasukkan kode"
"Password Reset","Reset kata sandi","Password reset"
"Forgot Password","Lupa kata sandi","Lupa kata sandi"
"Add Admin User","tambah pengguna admin","Tambahkan Pengguna Admin"
"Super Admin","super Admin","super Admin"
"Delete Admin","Hapus Admin","Hapus Admin"
"Are you sure you want to delete this admin user,?","Apakah Anda yakin ingin menghapus pengguna admin ini ?","Apakah Anda yakin ingin menghapus user admin ini"
"Edit Email Address","ubah Alamat Email","Mengedit Alamat Email"
"New Email Address","alamat email baru","alamat email baru"
"Add Admin","Tambah admin","Tambahkan Admin"
"Admin List","Daftar admin","admin List"
"An email has been sent to ","Email telah dikirim ke ","Email yang dikirim ke BI"
"with the password that you have set.","dengan kata sandi yang telah anda tetapkan","with the password that you have set"
"View Admin User","Lihat pengguna admin","Lihat Admin Pengguna"
"Edit Admin User","ubah pengguna admin","Edit Admin User"
"Add Age Group","tambah kelompok umur","Tambahkan Kelompok Umur"
"-- Select Age --","pilih umur","Select Age"
"Total Points Earned","Total perolehan poin","Total Poin Earned"
"Edit Age Group","ubah kelompok umur","Edit Age Group"
"Age Group List","Daftar Kelompok Umur","Daftar Kelompok Umur"
"Delete Age Group","Hapus Kelompok Umur","Delete Age Group"
"Are you sure you want to delete this age group?","Apakah Anda yakin ingin menghapus kelompok umur ini?","Apakah Anda yakin ingin menghapus kelompok usia ini?"
"Client Announcement","Pengumuman klien","client Announcement"
"Successfully created this announcement.","Berhasil membuat pengumuman","Berhasil dibuat pengumuman ini."
"Your Message","Pesan anda","your Message"
"Add Client","Tambah Klien","Tambahkan Client"
"Client Details","Rincian klien","client Rincian"
"Delete Client","Hapus klien","Hapus Client"
"Are you sure you want to delete this account?","Apakah anda yakin ingin menghapus akun ini ?","Are you sure you want to delete this account ?"
"Records Not Inserted","Rekaman tidak dimasukkan","Catatan Tidak dimasukkan"
"Registered Users","Pengguna terdaftar","User terdaftar"
"Not Registered","Tidak Terdaftar","Tidak Terdaftar"
