"DO NOT EDIT","Mynmmar"
"Credentials Information","အထောက်အထား အချက်အလက်"
"Current","လက်ရှိ"
"Current Email Address","လက်ရှိအီးမေးလ်လိပ်စာ"
"Current Learning","လက်ရှိသင်ယူမှု"
"Current Password","လက်ရှိစကားဝှက်"
"Data Privacy Policy","ဒေတာ လုံခြုံရေး မူဝါဒ"
"Date","ရက်စွဲ"
"Date Added","ရက်စွဲ ပေါင်းထည့်ပြီးပြီ"
"Date Created","ရက်စွဲ ဖန်တီးပြီးပြီ"
"Date End","နောက်ဆုံးရက်"
"Date of Last Answer","နောက်ဆုံးဖြေခဲ့သည့် ရက်စွဲ"
"Date Removed","ရက်စွဲ ဖယ်ရှားပြီးပြီ"
"Date Start","စတင်ရက်စွဲ"
"Date Started","ရက်စွဲ စတင်ပြီ"
"Delete","ဖျက်ပစ်ပါ"
"Delete Subscription","စာရင်းသွင်းမှုကို ပယ်ဖျက်ရန်"
"Delete Student","ကျောင်းသားကို ပယ်ဖျက်ရန်"
"Delete This Request","ဤတောင်းဆိုမှုကို ပယ်ဖျက်ပါ"
"Delete Request","တောင်းဆိုမှုကို ပယ်ဖျက်ပါ"
"Description","ဖော်ပြချက်"
"Detail","အသေးစိတ်"
"Difficulty","အခက်အခဲ"
"Direct Credit to","ထံသို့ တိုက်ရိုက်ချေးငွေ"
"Disabled","ပိတ်ထားသည်"
"Discount","လျှော့စျေး"
"Displayed At","မှာ ပြသထားသည်"
"Download Template","တမ်းပလိတ်ကို ဒေါင်းလုတ်ယူပါ"
"Drag the items to reorder.","ပြန်စီရန် အကြောင်းအရာများကို ဆွဲပါ"
"Edit","တည်းဖြတ်ပါ"
"Edit Client Account Profile","ဖောက်သည်အကောင့် ကိုယ်ရေးအကျဉ်းကို တည်းဖြတ်ပါ"
"Edit Profile","ကိုယ်ရေးအကျဉ်းကို တည်းဖြတ်ပါ"
"Edit Status","အခြေအနေကို တည်းဖြတ်ပါ"
"Edit Student","ကျောင်းသားကို တည်းဖြတ်ပါ"
"Electronic Invoice","အီလက်ထရောနစ်ငွေတောင်းခံလွှာ"
"Email","အီးမေးလ်"
"Email Address","အီးမေးလ်လိပ်စာ"
"Email address is available.","အီးမေးလ်လိပ်စာ ရရှိနိုင်ပါသည်"
"Email or Username","အီးမေးလ် သို့မဟုတ် သုံးစွဲသူအမည်"
"Enter Confirmation Code:","အတည်ပြုသည့်ကုဒ်ကို ဖြည့်ပါ"
"Enabled","ဖွင့်ထားသည်"
"Enter Password","စကားဝှက် ဖြည့်ပါ"
"Enter your Password","သင့်စကားဝှက် ဖြည့်ပါ"
"Enter Your Username or Email","သင့်သုံးစွဲသူအမည် သို့မဟုတ် အီးမေးလ် ဖြည့်ပါ"
"Existing Student","လက်ရှိကျောင်းသား"
"Exit Module","မော်ဂျူးမှ ထွက်ပါ"
"Export","ထုတ်ယူပါ"
"Excelling","ထူးချွန်သော"
"Failed Payment","ငွေပေးချေမှု အောင်မြင်ပါ"
"You have failed to complete the payment process.","ငွေပေးချေမှုလုပ်ငန်းစဉ်ကို ပြီးစီးအောင် မဆောင်ရွက်ခဲ့ပါ"
"Female","မ"
"First Name","နာမည် ပထမစာလုံး"
"for Student Site","ကျောင်းသားဝက်ဘ်ဆိုက်သို့"
"For Students 13 years old and below","အသက် ၁၃ နှစ်နှင့်အောက် ကျောင်းသားများအတွက်"
"for Parent / Teacher / School Site","မိဘ/ဆရာ/ကျောင်း ဆိုက်"
"Please check your inbox or your spam folder for the email.<br/>The email contains a confirmation code that you need to input below.","အီးမေးလ်ကို သင့်စာပုံး သို့မဟုတ် စပမ်ဖိုဒါတွင် ကြည့်ပါ။<br/>အောက်တွင် သင်ဖြည့်ရမည့် အတည်ပြရန်ကုဒ်သည် အီးမေးလ်ထဲ၌ ပါဝင်ပါသည်"
"An email to reset your password has been sent to your email account.","သင့်စကားဝှက်ကို ပြန်သတ်မှတ်ရန် အီးမေးလ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"Home","မူလစာမျက်နှာ"
"A new reset code has been sent to your email account.","အသစ်ပြန်သတ်မှတ်ရန် ကုဒ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"Please enter the reset code to create your new password.","သင့်စကားဝှက်အသစ် ဖန်တီးရန် ပြန်သတ်မှတ်ထားသော ကုဒ်ကိုဖြည့်ပါ"
"Send","ပေးပို့ပါ"
"Forgot your password?","စကားဝှက် မေ့နေသလား"
"Forgot your picture password?","သင့်ရုပ်ပုံစကားဝှက်ကို မေ့နေသလား"
"From your Classmates","သင့်ရဲ့အတန်းဖော်များထံမှ"
"From You","သင့်ထံမှ"
"FutureEd Online Education Platform","FutureEd အွန်လိုင်းပညာရေး ပလက်ဖောင်း"
"Gender","လိင်"
"General","အထွေထွေ"
"General Tips","အထွေထွေသိကောင်းစရာများ"
"General Help Requests","အထွေထွေအကူအညီတောင်းဆိုမှုများ"
"Give Tips","သိကောင်းစရာများ ပေးပါ"
"Grade|Grades","အဆင့် | အဆင့်များ"
"Grade Code","အဆင့် ကုဒ်"
"Go to link","လင့်ကို သွားပါ"
"Go to My Profile","ကျွန်ုပ်၏ ကိုယ်ရေးအကျဉ်းသို့ သွားပါ"
"Help Request|Help Requests","အကူအညီတောင်းဆိုမှု | အကူအညီတောင်းဆိုမှုများ"
"Help Request Details","အကူအညီတောင်းဆိုမှု အသေးစိတ်"
"Help Request Answers","အကူအညီတောင်းဆိုမှု အဖြေများ"
"Help Request Answer Details","အကူအညီတောင်းဆိုမှု အဖြေ အသေးစိတ်"
"here","ဒီမှာ"
"Hi","ဟိုင်း"
"Hi there","ဟိုင်းပါ"
"Highest Score","အမြင့်ဆုံးရမှတ်"
"I agree on the","ကို ကျွန်ုပ် သဘောတူသည်"
"Image","ရုပ်ပုံ"
"Image Uploaded...","ရုပ်ပုံ တင်ပြီးပြီ"
"Import","သွင်းယူပါ"
"Inactive","အသက်မဝင်ပါ"
"Indicates a required field.","လိုအပ်သော ကွက်လပ်ကို ဖော်ပြပါ"
"Instructions","ညွှန်ကြားချက်များ"
"IP Address","အိုင်ပီ လိပ်စာ"
"Keys","သော့ချက်များ"
"Launch","စတင်ရန်"
"Last Name","နာမည် နောက်ဆုံးစာလုံး"
"Later","နောက်ပိုင်းတွင်"
"Learning Style","သင်ယူမှု စတိုင်လ်"
"Learning Style Quiz","သင်ယူမှု စတိုင်လ် ပဟေဠိ"
"Let\s","ခွင့်ပြုစို့"
"Loading...","ဆောင်ရွက်ဆဲ"
"Locked","သော့ခတ်ထားသည်"
"Login","အကောင့်ဝင်ရန်"
"Login Credentials","အကောင့် သတ်မှတ်ချက်များ"
"Forgot your password?","သင့်စကားဝှက် မေ့နေသလား"
"Login to your account","သင့်အကောင့်ထဲ ဝင်ပါ"
"Logout","အကောင့်ထွက်ပါ"
"You have been logged out due to inactivity. Please login again.","သင့်အကောင့် အသက်မဝင်သည့်အတွက် အကောင့်ထွက်ထားပါသည်။ နောက်ထပ် အကောင့်ဝင်ပါ"
"Logs","မှတ်တမ်းများ"
"Lowest Score","အနိမ့်ဆုံးရမှတ်"
"Male","ကျား"
"Medals","ဆုတံဆိပ်"
"Module|Modules","မော်ဂျူး | မော်ဂျူးများ"
"Module Status","မော်ဂျူး အခြေအနေ"
"My Account","ကျွန်ုပ် အကောင့်"
"My Profile","ကျွန်ုပ် ကိုယ်ရေးအကျဉ်း"
"My Reports","ကျွန်ုပ် အစီရင်ခံစာများ"
"My Help Requests","ကျွန်ုပ်၏ အကူအညီတောင်းဆိုမှုများ"
"Name","အမည်"
"New","အသစ်"
"New Email Address","အီးမေးလ်လိပ်စာ အသစ်"
"New Password","စကားဝှက် အသစ်"
"New Student","ကျောင်းသား အသစ်"
"Next","နောက်တစ်ခု"
"No","မဟုတ်ပါ"
"No Available Link","လင့် မရှိပါ"
"No Answers for Now","ယခုထိ အဖြေမရှိပါ"
"No Available Points","အမှတ်များ မရှိပါ"
"No Available Badges","ဆုတံဆိပ်အမှတ်အသား မရှိပါ"
"No Medals Available","ဆုတံဆိပ် မရှိပါ"
"No available questions for this module.</br>Please contact the system administrator.","ဤမော်ဂျူးအတွက် တောင်းဆိုမှု မရှိပါ။</ br>စနစ် ကြီးကြပ်သူကို ဆက်သွယ်ပါ"
"No Modules Found.","မော်ဂျူး မရှိပါ"
"No Content Available","အကြောင်းအရာ မရှိပါ"
"No Questions Available","မေးခွန်း မရှိပါ"
"No records found","မှတ်တမ်း မရှိပါ"
"No Results...","ရလဒ် မရှိပါ..."
"Number of Seats","ထိုင်ခုံအရေအတွက်"
"No. of seats Enrolled","စာရင်းသွင်းထားသော ထိုင်ခုံအရေအတွက်"
"No. of Seats Taken","ယူထားသော ထိုင်ခုံအရေအတွက်"
"No signature required.","လက်မှတ် မလိုအပ်ပါ"
"No Tips for now...","ယခုထိ သိကောင်းစရာများ မရှိပါ..."
"No Tips Found","သိကောင်းစရာ မရှိပါ"
"No Help Requests for now...","ယခုထိ အကူအညီတောင်းဆိုမှုများ မရှိပါ..."
"No Help Request Found","ယခုထိ အကူအညီတောင်းဆိုမှု မရှိပါ..."
"Not yet started","မစတင်ရသေး"
"Not a Student?","ကျောင်းသား မဟုတ်ဘူးလား"
"Number of Students","ကျောင်းသား အရေအတွက်"
"On Going","သွားနေစဉ်တွင်"
"or","သို့မဟုတ်"
"Other Address Information (Optional)","အခြားလိပ်စာ အချက်အလက် (ရွေးချယ်နိုင်သည်)"
"Other Requests","အခြား တောင်းဆိုမှုများ"
"out of","ထဲက"
"Overall School Progress","ကျောင်း အထွေထွေတိုးတက်မှု"
"Paid","ငွေပေးပြီးပြီ"
"Parent","မိဘ"
"Parents should be the one to register, please click","မိဘက မှတ်ပုံတင်ပေးသင့်သည်။ နှိပ်ပါ"
"Password","စကားဝှက်"
"Password must be at least 8 characters and with at least 1 number.","စကားဝှက်သည် အနည်းဆုံး အက္ခရာ ၈ လုံးနှင့် ဂဏန်း ၁ လုံးပါဝင်ရမည်"
"You may now use your new password to login.","အကောင့်ဝင်ရန် သင့်စကားဝှက် အသစ်ကို ယခုသုံးနိုင်ပါသည်"
"Your password has been set.","သင့်စကားဝှက်ကို သတ်မှတ်ပြီးပြီ"
"Pay Subscription","စာရင်းသွင်းမှု ပေးဆောင်ပါ"
"Payment","ငွေပေးချေမှု"
"Payment List","ငွေပေးချေမှု စာရင်း"
"Payment Management","ငွေပေးချေရန် စီမံခန့်ခွဲမှု"
"Payment Methods","ငွေပေးချေမှုရန် နည်းလမ်းများ"
"Payment Status","ငွေပေးချေမှု အခြေအနေ"
"Pending","လုပ်ဆောင်ဆဲ"
"Pending Email","လုပ်ဆောင်ဆဲ အီးမေးလ်"
"Pending Email Address","လုပ်ဆောင်ဆဲ အီးမေးလ်လိပ်စာ"
"Personal Information","ကိုယ်ရေးကိုယ်တာ အချက်အလက်"
"Picture Password","ရုပ်ပုံစကားဝှက်"
"Pick an Avatar for your Profile","သင့်ကိုယ်ရေးအကျဉ်းအတွက် ဇာတ်ကောင်ရွေးချယ်ပါ"
"Please Login","အကောင့်ဝင်ပါ"
"Please add a classroom.","စာသင်ခန်း ပေါင်းထည့်ရန်"
"Please select a subject.","ဘာသာရပ်ရွေးချယ်ပါ"
"Please select an email or a name of a student.","ကျောင်းသား၏ အီးမေးလ် သို့မဟုတ် အမည် ရွေးချယ်ပါ"
"Please select a subscription.","စာရင်းသွင်းမှု ရွေးချယ်ပါ"
"Points","အမှတ်"
"Post Status","ပို့စ် အခြေအနေ"
"Postal Code","စာတိုက်သင်္ကေတ"
"Posted by","စာပို့သူ"
"Posted Since","စာပို့လိုက်ချိန်"
"Previous","ယခင်"
"Principal","ကျောင်းအုပ်"
"Price","စျေးနှုန်း"
"Print","ပုံနှိပ်ပါ"
"Profile","ကိုယ်ရေးအကျဉ်း"
"Proceed to Dashboard","မူလနေရာသို့ ဆက်သွားပါ"
"Proceed to Questions","မေးခွန်းများသို့ ဆက်သွားပါ"
"Proceed to next Question","နောက်ထပ်မေးခွန်းများသို့ ဆက်သွားပါ"
"Progress","တိုးတက်မှု"
"Question","မေးခွန်း"
"Quick","အမြန်"
"Quick Stats","အမြန် စာရင်းအင်း"
"Rate","အကဲဖြတ်ပါ"
"Rating","အကဲဖြတ်ချက်"
"Regards","လေးစားစွာဖြင့်"
"Register","မှတ်ပုံတင်ပါ"
"Registration Success","မှတ်ပုံတင်မှု အောင်မြင်သည်"
"Reject","ငြင်းပယ်ပါ"
"Rejected","ငြင်းပယ်သည်"
"Remove Invoice","ငွေတောင်းခံလွှာကိုဖယ်ရှားရန်"
"Remove Student","ကျောင်းသားကို ဖယ်ရှားရန်"
"Renew Subscription","စာရင်းသွင်းမှု သက်တမ်းတိုးရန်"
"Review Contents","အကြောင်းအရာများကို သုံးသပ်ပါ"
"You need to review the teaching content.","သင်ကြားမှု အကြောင်းအရာများကို ပြန်သုံးသပ်ရန် လိုပါသည်"
"Reports","အစီရင်ခံစာများ"
"Report Card","အစီရင်ခံစာကဒ်"
"Resend","ပြန်ပို့ပါ"
"Reset","ပြန်သတ်မှတ်ပါ"
"RESET","ပြန်သတ်မှတ်ပါ"
"Resume","ပြန်စတင်ပါ"
"Reset Password","စကားဝှက် ပြန်သတ်မှတ်ပါ"
"Reset Password Success","စကားဝှက် ပြန်သတ်မှတ်မှု အောင်မြင်သည်"
"Retrieve Picture Password","ရုပ်ပုံစကားဝှက် ထုတ်ယူပါ"
"Review Contents","အကြောင်းအရာများကို သုံးသပ်ပါ"
"Rewards","ဆုများ"
"Reward Points","ဆုရ အမှတ်များ"
"Reward points to earn","ရနိုင်သော ဆုရ အမှတ်များ"
"Rate this Answer","ဤအဖြေကို အကဲဖြတ်ပါ"
"Role","အခန်းကဏ္ဍ"
"Save","သိမ်းပါ"
"Save Subscription","စာရင်းသွင်းမှုကို သိမ်းပါ"
"Your changes will be saved. Are you sure you want to cancel this subscription?","သင့်အပြောင်းအလဲများကို သိမ်းပါမည်။ ဤစာရင်းသွင်းမှုကို ပယ်ဖျက်လိုတာ သေချာသလား"
"Save Status","အခြေအနေကို သိမ်းပါ"
"Save Changes","အပြောင်းအလဲကို သိမ်းပါ"
"School","ကျောင်း"
"School Address","ကျောင်းလိပ်စာ"
"School City","ကျောင်းရှိရာ မြို့"
"School Contact Information","ကျောင်းသို့ ဆက်သွယ်ရန် အချက်အလက်"
"School Information","ကျောင်း အချက်အလက်"
"School Level","ကျောင်း၏ အဆင့်"
"School Name","ကျောင်းအမည်"
"School State","ကျောင်းရှိရာ ပြည်နယ်"
"Scores","ရမှတ်များ"
"Search","ရှာရန်"
"Seats Taken","ယူထားသော ထိုင်ခုံများ"
"See All Points","အမှတ်အားလုံးကို ကြည့်ပါ"
"-- Select Answer Status --","အဖြေ အခြေအနေကို ရွေးပါ"
"-- Select Class --","အတန်းကို ရွေးပါ"
"-- Select Country --","နိုင်ငံကို ရွေးပါ"
"-- Select Difficulty --","အခက်အခဲကို ရွေးပါ"
"-- Select Gender --","လိင်ကို ရွေးပါ"
"-- Select Grade --","အဆင့်ကို ရွေးပါ"
"-- Select Help Request Status --","အကူအညီတောင်းဆိုမှု အခြေအနေကို ရွေးပါ"
"-- Select Learning Style --","သင်ယူမှုစတိုင်လ်ကို ရွေးပါ"
"-- Select Level --","အဆင့်ကို ရွေးပါ"
"-- Select Rate --","နှုန်းကို ရွေးပါ"
"-- Select Role --","အခန်းကဏ္ဍကို ရွေးပါ"
"-- Select Status --","အခြေအနေကို ရွေးပါ"
"-- Select Subject --","ဘာသာရပ်ကို ရွေးပါ"
"-- Select Subscription --","စာရင်းသွင်းမှုကို ရွေးပါ"
"Select a picture for your new picture password","သင့်ရုပ်ပုံစကားဝှက် အသစ်အတွက် ရုပ်ပုံရွေးပါ"
"Select a picture to confirm your new picture password","သင့်ရုပ်ပုံစကားဝှက် အသစ်ကို အတည်ပြုရန် ရုပ်ပုံရွေးပါ"
"Sequence Number","အစီအစဉ် နံပါတ်"
"Sequence No","အစီအစဉ် နံပါတ်"
"Set New Password","စကားဝှက်အသစ် သတ်မှတ်ပါ"
"Set Password","စကားဝှက် သတ်မှတ်ပါ"
"Sign in via Facebook","Facebook ဖြင့် အကောင့်ဝင်ပါ"
"Sign in with Google","Google ဖြင့် အကောင့်ဝင်ပါ"
"Sign Up","စာရင်းသွင်းပါ"
"Skip","ကျော်သွားပါ"
"Starting","စတင်နေသည်"
"State","ဖော်ပြပါ"
"Status","အခြေအနေ"
"Step 1","အဆင့် ၁"
"Step 2","အဆင့် ၂"
"Stop Impersonating","ကိုယ်စားအယောင်ဆောင်မှု ရပ်တန့်ပါ"
"Street Address","လမ်းလိပ်စာ"
"Struggling","ရုန်းကန်နေရသည်"
"Student","ကျောင်းသား"
"Students 13 years old or younger cannot register. Please ask a Parent to sign up in the","အသက် ၁၃ နှစ်အောက် ကျောင်းသားများ မှတ်ပုံတင်၍မရပါ။ အောက်ပါတို့တွင် မိဘကို စာရင်းသွင်းခိုင်းပါ"
"Student Name","ကျောင်းသားအမည်"
"Student List","ကျောင်းသားစာရင်း"
"Student Login","ကျောင်းသား အကောင့်ဝင်ရန်"
"Student Report","ကျောင်းသား အစီရင်ခံစာ"
"Student Rewards","ကျောင်းသား၏ ဆုများ"
"Student Registration","ကျောင်းသား မှတ်ပုံတင်ခြင်း"
"Student Status","ကျောင်းသား ခြေအနေ"
"Students to watch","စောင့်ကြည့်ရမည့် ကျောင်းသားများ"
"Subject","ဘာသာရပ်"
"Subject Area","ဘာသာရပ် နယ်ပယ်"
"Subscription","စာရင်းသွင်းမှု"
"Submit","ပေးပို့ရန်"
"Sub Total","စုစုပေါင်း"
"Success!","အောင်မြင်သည်"
"Successfully Changed","ပြောင်းပြီးမှု အောင်မြင်သည်"
"Successful Payment","ငွေပေးချေမှု အောင်မြင်သည်"
"Successfully added Student","ကျောင်းသား ပေါင်းထည့်မှု အောင်မြင်သည်"
"Successfully added your help request.","သင့်အကူအညီ တောင်းဆိုမှုကို အောင်မြင်စွာ ပေါင်းထည့်ပြီးပြီ"
"Successfully added your tip.","သင့်လမ်းညွှန်မှုကို အောင်မြင်စွာ ပေါင်းထည့်ပြီးပြီ"
"You have successfully completed the payment process.","သင့်ငွေပေးချေမှုလုပ်ငန်းစဉ် အောင်မြင်စွာပြီးသွားပြီ"
"Successfully removed Student","ကျောင်းသားကို အောင်မြင်စွာ ဖယ်ရှားပြီးပြီ"
"Successfully submitted your answer.","သင့်အဖြေကို အောင်မြင်စွာ ပို့ပြီးပြီ"
"You have successfully changed your avatar.","သင့်ဇာတ်ကောင်ကို အောင်မြင်စွာ ပြောင်းပြီးပြီး"
"Success! You have added a new tip. Your content is currently being reviewed.","အောင်မြင်သည်။ သင့်လမ်းညွှန်ကို ပေါင်းထည့်ပြီးပြီ။ သင့်အကြောင်းအရာကို ယခုသုံးသပ်နေပါသည်"
"Success! You have added a new help request. Your content is currently being reviewed.","အောင်မြင်သည်။ သင့်အကူညအညီ တောင်းဆိုမှုကို ပေါင်းထည့်ပြီးပြီ။ သင့်အကြောင်းအရာကို ယခုသုံးသပ်နေပါသည်"
"Summary Progress","အနှစ်ချုပ် တိုးတက်မှု"
"Teacher","ဆရာ"
"Teacher Comparison Progress","ဆရာနှိုင်းယှဉ်ခြင်း တိုးတက်မှု"
"Teaching Module Content","သင်ကြားရေးမော်ဂျူး အကြောင်းအရာ"
"Teacher Management","ဆရာ စီမံခန့်ခွဲမှု"
"Teacher Invitation","ဆရာ ဖိတ်ကြားလွှာ"
"Teacher List","ဆရာ စာရင်း"
"Terms and Conditions","စည်းမျဉ်းစည်းကမ်းများ"
"Test Completed","စာမေးပွဲ ပြီးပြီ"
"Time Remaining","လက်ကျန်အချိန်"
"Tips","သိကောင်းစရာများ"
"Tip List","သိကောင်းစရာစာရင်း"
"Tip Details","သိကောင်းစရာအသေးစိတ်"
"Tips / Help","သိကောင်းစရာများ / အကူအညီ"
"Tips & Help Requests","သိကောင်းစရာများနှင့် အကူအညီ တောင်းဆိုမှုများ"
"Title","ခေါင်းစဉ်"
"To","သို့"
"to register.","မှတ်ပုံတင်ရန်"
"Toggle navigation","ကျော်လွှား ကြည့်ရှုခြင်း"
"Total","စုစုပေါင်း"
"Total # of Seats","ထိုင်ခုံ စုစုပေါင်း"
"Total Price","စုစုပေါင်းစျေးနှုန်း"
"Type","အမျိုးအစား"
"Update","အသစ်ပြင်ဆင်ပါ"
"You have successfully updated your profile.","သင့်ကိုယ်ရေးအကျဉ်းကို အောင်မြင်စွာ အသစ်ပြင်ဆင်ပြီးပြီ"
"Upload CSV file","CSV ဖိုင်ကို တင်ပါ"
"USD$","အမေရိကန်ဒေါ်လာ"
"User","အသုံးပြုသူ"
"Username","အသုံးပြုသူအမည်"
"Username or Email","အသုံးပြုသူအမည် သို့မဟုတ် အီးမေးလ်"
"View Client Account Profile","ဖောက်သည်အကောင့် ကိုယ်ရေးအကျဉ်းကို တည်းကြည့်ပါ"
"View Contents","အကြောင်းအရာကို ကြည့်ပါ"
"View Class Details","အတန်း အသေးစိတ်ကို ကြည့်ပါ"
"View Image","ရုပ်ပုံကို ကြည့်ပါ"
"View List","စာရင်းကို ကြည့်ပါ"
"View More","နောက်ထပ်ကြည့်ပါ"
"View Payment","ငွေပေးချေမှုကို ကြည့်ပါ"
"View Payment List","ငွေပေးချေမှုစာရင်းကို ကြည့်ပါ"
"View Profile","ကိုယ်ရေးအကျဉ်းကို ကြည့်ပါ"
"View Questions","မေးခွန်းများကို ကြည့်ပါ"
"View Student","ကျောင်းသားကို ကြည့်ပါ"
"Welcome","ကြိုဆိုပါတယ်"
"Wrong.","မှားသည်"
"Yes","ဟုတ်ပါသည်"
"You have successfully registered.","သင်အောင်မြင်စွာ မှတ်ပုံတင်ပြီးပြီ"
"Your Requests","သင့်တောင်းဆိုမှုများ"
"Your picture password has been reset.","သင့်ရုပ်ပုံစကားဝှက် ပြန်သတ်မှတ်ပြီးပြီ"
"You may now use your new picture password to login.","ယခု သင့်ရုပ်ပုံစကားဝှက်ကိုသုံးပြီး အကောင့်ဝင်နိုင်ပါပြီ"
"Admin Dashboard","ကြီးကြပ်သူ မူလနေရာ"
"Enter Code","ကုဒ်ကို ဖြည့်ပါ"
